jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Alabama,2020-05-07,"Title 100, Part X, Chapter 1",board administration and general provisions,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000127,39,2560,36,0,1,0,2,16.0,7.62,3.205128205128205,36.490338164251206
Alabama,2020-05-07,"Title 100, Part X, Chapter 2",registration and renewal,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000128,26,2055,18,5,0,0,3,16.0,7.69,6.106870229007633,41.72635933806146
Alabama,2020-05-07,"Title 100, Part X, Chapter 3",continuing education,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000129,20,1254,12,5,0,0,3,19.0,7.82,5.970149253731343,44.68975332068311
Alabama,2020-05-07,"Title 100, Part X, Chapter 4",scope of practice,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000130,15,1546,3,1,1,4,6,24.0,7.48,19.047619047619047,40.50513833992095
Alabama,2020-05-07,"Title 100, Part X, Chapter 5",practice requirements,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000131,26,2414,15,7,2,0,2,23.0,7.99,14.018691588785046,41.30843840931135
Alabama,2020-05-07,"Title 100, Part X, Chapter 6",complaints and discipline actions,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000132,10,798,10,0,0,0,0,19.0,7.2,9.75609756097561,36.530701754385966
Alabama,2020-05-07,"Title 100, Part X, Chapter 7",code of professional conduct,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000133,38,1915,36,0,0,0,2,30.0,7.98,34.92063492063492,38.99095022624434
Alabama,2020-05-07,"Title 100, Part X, Chapter 8",certificates of authorization,alabama state board for registration of architects,,"Industry, Commerce, and Development",1100000134,17,801,7,5,2,0,3,22.0,7.4,13.88888888888889,40.28977272727273
Alabama,2020-05-07,"Title 105, Part X, Chapter 1",aid to fairs standards and criteria for judging fairs,alabama agricultural center board,,"Industry, Commerce, and Development",1100000135,18,2012,14,2,0,0,2,18.0,8.04,14.545454545454543,32.95226730310262
Alabama,2020-05-07,"Title 108, Part 1, Chapter 1",legal authority,agricultural development authority,,"Industry, Commerce, and Development",1100000136,0,152,0,0,0,0,0,15.0,5.45,0.0,51.93269230769231
Alabama,2020-05-07,"Title 108, Part 1, Chapter 2",definitions,agricultural development authority,,"Industry, Commerce, and Development",1100000137,2,406,2,0,0,0,0,16.0,6.35,3.8461538461538463,49.5
Alabama,2020-05-07,"Title 108, Part 1, Chapter 3",loan programs,agricultural development authority,,"Industry, Commerce, and Development",1100000138,28,1921,5,17,0,0,6,21.0,7.1,14.130434782608695,35.05397562391178
Alabama,2020-05-07,"Title 108, Part 1, Chapter 4",adoption of rules and regulations,agricultural development authority,,"Industry, Commerce, and Development",1100000139,5,460,5,0,0,0,0,17.0,6.66,0.0,41.459154929577466
Alabama,2020-05-07,"Title 110, Part X, Chapter 1",general rules,alabama department of archives and history,,"Culture, Recreation, and the Arts",1100000140,7,795,3,2,0,0,2,18.0,7.69,2.272727272727273,36.888888888888886
Alabama,2020-05-07,"Title 130, Part X, Chapter 1",policy and procedures,alabama state council on the arts and humanities,,"Culture, Recreation, and the Arts",1100000141,88,5951,65,14,0,0,9,17.0,9.06,7.471264367816093,35.65480751687648
Alabama,2020-05-07,"Title 135, Part X, Chapter 1",authority and title,alabama board of examiners of assisted living administrators,,Health Services,1100000142,1,200,1,0,0,0,0,22.0,6.16,0.0,34.0375
Alabama,2020-05-07,"Title 135, Part X, Chapter 10",issuance of emergency permits,alabama board of examiners of assisted living administrators,,Health Services,1100000151,8,426,5,3,0,0,0,30.0,6.84,14.285714285714285,39.888888888888886
Alabama,2020-05-07,"Title 135, Part X, Chapter 11",required personal and business information,alabama board of examiners of assisted living administrators,,Health Services,1100000152,6,240,4,0,0,0,2,22.0,6.52,18.181818181818183,40.073891625615765
Alabama,2020-05-07,"Title 135, Part X, Chapter 12",reciprocal licensure,alabama board of examiners of assisted living administrators,,Health Services,1100000153,3,268,0,0,0,0,3,38.0,6.54,0.0,44.10416666666666
Alabama,2020-05-07,"Title 135, Part X, Chapter 13",fees,alabama board of examiners of assisted living administrators,,Health Services,1100000154,3,264,3,0,0,0,0,16.0,6.63,0.0,45.45348837209303
Alabama,2020-05-07,"Title 135, Part X, Chapter 14",effective date of rules and regulations,alabama board of examiners of assisted living administrators,,Health Services,1100000155,1,83,1,0,0,0,0,17.0,5.64,0.0,46.280701754385966
Alabama,2020-05-07,"Title 135, Part X, Chapter 2",general definitions,alabama board of examiners of assisted living administrators,,Health Services,1100000143,9,1137,6,3,0,0,0,31.0,7.97,27.027027027027028,40.547507055503296
Alabama,2020-05-07,"Title 135, Part X, Chapter 3",meetings,alabama board of examiners of assisted living administrators,,Health Services,1100000144,4,236,4,0,0,0,0,20.0,6.49,8.333333333333332,30.16
Alabama,2020-05-07,"Title 135, Part X, Chapter 4",general powers of the board,alabama board of examiners of assisted living administrators,,Health Services,1100000145,26,648,25,0,0,0,1,29.0,7.05,18.181818181818183,31.34899328859061
Alabama,2020-05-07,"Title 135, Part X, Chapter 5",examination information,alabama board of examiners of assisted living administrators,,Health Services,1100000146,75,3460,38,24,1,0,12,25.0,8.08,10.638297872340424,37.664924885695626
Alabama,2020-05-07,"Title 135, Part X, Chapter 6",continuing education,alabama board of examiners of assisted living administrators,,Health Services,1100000147,12,513,11,0,0,0,1,28.0,7.28,5.555555555555555,41.091684434968016
Alabama,2020-05-07,"Title 135, Part X, Chapter 7",license information,alabama board of examiners of assisted living administrators,,Health Services,1100000148,59,3309,44,3,3,2,7,32.0,8.36,16.666666666666664,36.22178348140836
Alabama,2020-05-07,"Title 135, Part X, Chapter 8",complaints,alabama board of examiners of assisted living administrators,,Health Services,1100000149,11,625,11,0,0,0,0,25.0,7.14,16.0,31.551601423487543
Alabama,2020-05-07,"Title 135, Part X, Chapter 9",non disciplinary refusal of license,alabama board of examiners of assisted living administrators,,Health Services,1100000150,9,430,9,0,0,0,0,24.0,6.83,27.77777777777778,30.556430446194227
Alabama,2020-05-07,"Title 140, Part X, Chapter 1",organization and administration,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000156,15,654,15,0,0,0,0,20.0,7.07,3.0303030303030303,35.43272727272727
Alabama,2020-05-07,"Title 140, Part X, Chapter 2",license application,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000157,5,388,2,3,0,0,0,18.0,6.68,0.0,34.49664429530201
Alabama,2020-05-07,"Title 140, Part X, Chapter 3",issuance of license,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000158,3,1239,1,1,0,0,1,25.0,7.85,8.0,37.5402504472272
Alabama,2020-05-07,"Title 140, Part X, Chapter 4",renewal of license,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000159,34,1381,23,2,2,0,7,19.0,7.29,13.88888888888889,39.08581436077058
Alabama,2020-05-07,"Title 140, Part X, Chapter 5",administrative fees,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000160,1,353,1,0,0,0,0,18.0,7.05,5.263157894736842,45.02429149797571
Alabama,2020-05-07,"Title 140, Part X, Chapter 6",compliance and disciplinary action,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000161,24,2837,15,3,0,5,1,24.0,8.51,14.40677966101695,38.14456928838951
Alabama,2020-05-07,"Title 140, Part X, Chapter 7",award of education grants,alabama board of athletic trainers,,"Culture, Recreation, and the Arts",1100000162,4,504,4,0,0,0,0,23.0,7.26,0.0,40.495327102803735
