jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Alaska,2022-03-21,"Title 10, Chapter 10",reimbursement of veterans service organizations for rehabilitation and service work,military and veterans affairs,,"Security, Justice, and Corrections",2700001120,26,1412,16,7,1,0,2,28.0,7.57,12.0,36.77810650887574
Alaska,2022-03-21,"Title 10, Chapter 20",state emergency response commission,military and veterans affairs,,"Security, Justice, and Corrections",2700001121,6,529,5,0,0,0,1,72.0,6.83,,38.35807860262009
Alaska,2022-03-21,"Title 10, Chapter 30",veterans memorial and monument grants,military and veterans affairs,,"Security, Justice, and Corrections",2700001122,10,1147,2,7,0,0,1,46.0,7.55,16.666666666666664,37.038022813688215
Alaska,2022-03-21,"Title 10, Chapter 40",military facility zones,military and veterans affairs,,"Security, Justice, and Corrections",2700001123,4,403,0,2,0,0,2,93.0,6.46,75.0,33.27164179104478
Alaska,2022-03-21,"Title 11, Chapter 112",statewide standards of the alaska coastal management program,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001174,0,34,0,0,0,0,0,12.0,4.44,0.0,39.0
Alaska,2022-03-21,"Title 11, Chapter 12",public use,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001131,50,4188,8,16,21,1,4,46.0,8.51,62.92134831460674,30.30264170300077
Alaska,2022-03-21,"Title 11, Chapter 15",trails and footpaths grant program,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001132,4,825,0,1,0,0,3,66.0,7.71,16.666666666666664,35.3728362183755
Alaska,2022-03-21,"Title 11, Chapter 16",historic prehistoric and archaeological resources,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001133,15,2345,11,1,2,0,1,49.0,8.33,29.78723404255319,36.67578659370725
Alaska,2022-03-21,"Title 11, Chapter 17",outdoor recreational open space and historic properties development fund grant program,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001134,0,826,0,0,0,0,0,,6.99,57.14285714285714,36.60321715817695
Alaska,2022-03-21,"Title 11, Chapter 18",special park use permits,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001135,13,2017,4,3,1,2,3,71.0,8.15,21.428571428571427,33.47455811462239
Alaska,2022-03-21,"Title 11, Chapter 2",appeals,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001124,14,2229,0,12,2,0,0,45.0,7.65,,35.30535798956851
Alaska,2022-03-21,"Title 11, Chapter 20",state park land and water,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001136,125,13776,21,25,47,29,3,50.0,9.03,50.74626865671642,29.47832
Alaska,2022-03-21,"Title 11, Chapter 21",alaska chilkat bald eagle preserve,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001137,25,2712,8,4,3,3,7,49.0,8.57,33.33333333333333,35.65633690901867
Alaska,2022-03-21,"Title 11, Chapter 25",royalty election under alaska gasline inducement act,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001138,155,20163,32,77,25,1,20,71.0,8.95,73.11827956989248,34.10156990833421
Alaska,2022-03-21,"Title 11, Chapter 26",alaska royalty oil and gas development advisory board,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001139,38,2152,21,14,0,0,3,24.0,7.92,11.494252873563218,37.409965466206216
Alaska,2022-03-21,"Title 11, Chapter 3",disposition of royalty oil gas or gas liquids,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001125,12,4268,2,7,0,0,3,43.0,7.75,43.29896907216495,36.16573239093346
Alaska,2022-03-21,"Title 11, Chapter 32",marketing and grading,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001140,46,2879,34,9,0,1,2,40.0,8.34,40.0,31.950513196480937
Alaska,2022-03-21,"Title 11, Chapter 34",plant health and quarantine,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001141,53,5767,23,12,0,7,11,57.0,8.9,56.99999999999999,31.85973597359736
Alaska,2022-03-21,"Title 11, Chapter 35",bees and beneficial insects,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",2700001142,8,785,4,2,0,1,1,46.0,7.52,29.411764705882355,34.207267833109015
