jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Arizona,2020-05-04,"Title 10, Chapter 1",department of law attorney general s office,law,,"Security, Justice, and Corrections",4500000133,29,2002,28,0,0,0,1,13.0,7.98,5.161290322580645,33.834429824561404
Arizona,2020-05-04,"Title 10, Chapter 2",attorney general fair housing,law,,"Security, Justice, and Corrections",4500000134,77,9812,56,2,1,13,5,18.0,9.2,10.902255639097744,37.98365478914678
Arizona,2020-05-04,"Title 10, Chapter 3",department of law civil rights division,law,,"Security, Justice, and Corrections",4500000135,137,9197,118,3,0,2,14,16.0,8.7,13.14878892733564,36.53362466618111
Arizona,2020-05-04,"Title 10, Chapter 4",arizona criminal justice commission,law,,"Security, Justice, and Corrections",4500000136,155,15878,127,2,0,0,26,13.0,9.12,7.909604519774012,35.51646922854666
Arizona,2020-05-04,"Title 11, Chapter 1",state mine inspector,mines,,"Environmental Protection, Public Utilities, and Natural Resources",4500000137,1198,48653,1048,94,0,26,30,11.0,9.79,11.78595619778731,35.75732573257326
Arizona,2020-05-04,"Title 11, Chapter 2",state mine inspector mined land reclamation,mines,,"Environmental Protection, Public Utilities, and Natural Resources",4500000138,157,8963,143,0,3,0,11,15.0,8.62,12.106135986733,36.76910729719719
Arizona,2020-05-04,"Title 11, Chapter 3",state mine inspector aggregate mined land reclamation,mines,,"Environmental Protection, Public Utilities, and Natural Resources",4500000139,166,13199,134,1,0,0,31,14.0,8.9,9.46808510638298,37.401288463168605
Arizona,2020-05-04,"Title 12, Chapter 14",arizona power authority,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000144,166,11901,146,7,0,0,13,12.0,8.7,7.684630738522954,35.454876064695185
Arizona,2020-05-04,"Title 12, Chapter 15",department of water resources,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000145,1049,86229,923,6,6,3,111,16.0,9.67,13.089005235602096,34.8825999870776
Arizona,2020-05-04,"Title 12, Chapter 17",arizona navigable stream adjudication commission,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000146,25,1659,24,0,0,0,1,9.0,7.62,7.017543859649122,34.33774373259053
Arizona,2020-05-04,"Title 12, Chapter 4",game and fish commission,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000140,1541,152466,1263,15,6,38,219,14.0,10.11,10.385321100917432,33.42163686959174
Arizona,2020-05-04,"Title 12, Chapter 5",state land department,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000141,642,55262,545,27,3,6,61,11.0,9.42,7.25031341412453,33.61309954462272
Arizona,2020-05-04,"Title 12, Chapter 7",oil and gas conservation commission,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000142,419,18211,353,1,1,5,59,13.0,9.04,8.045977011494253,35.38236244908515
Arizona,2020-05-04,"Title 12, Chapter 8",arizona state parks board,natural resources,,"Environmental Protection, Public Utilities, and Natural Resources",4500000143,119,14016,93,5,0,7,14,13.0,8.9,5.379442843419788,33.88020143122184
Arizona,2020-05-04,"Title 13, Chapter 1",department of public safety criminal identification section,public safety,,"Security, Justice, and Corrections",4500000147,83,9463,76,2,0,0,5,12.0,9.04,5.013192612137203,36.762064423422345
Arizona,2020-05-04,"Title 13, Chapter 10",department of public safety alcohol testing,public safety,,"Security, Justice, and Corrections",4500000156,85,10181,74,4,0,0,7,13.0,8.91,5.721716514954486,37.05074762120525
Arizona,2020-05-04,"Title 13, Chapter 11",board of fingerprinting,public safety,,"Security, Justice, and Corrections",4500000157,38,3805,27,5,0,3,3,10.0,7.72,5.322128851540616,34.88173414089895
Arizona,2020-05-04,"Title 13, Chapter 12",private investigator and security guard hearing board,public safety,,"Security, Justice, and Corrections",4500000158,16,1632,15,0,0,0,1,12.0,7.7,9.848484848484848,35.02225312934632
