jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
California,2020-05-21,"Title 10, Chapter 1",commissioner of business oversight division of financial institutions,commissioner of business oversight division of financial institutions,investment,"Banking, Insurance, and Securities",2500000458,1494,125251,1230,61,29,8,166,34.0,9.62,32.002158661629785,34.84125533963802
California,2020-05-21,"Title 10, Chapter 12",california health benefit exchange,california health benefit exchange,investment,Health Services,2500000486,990,73557,804,66,16,5,99,50.0,9.51,47.36129905277402,36.49303557039254
California,2020-05-21,"Title 10, Chapter 13",governor s office of business and economic development,governor s office of business and economic development,investment,"Industry, Commerce, and Development",2500000487,168,14175,113,42,1,0,12,38.0,9.44,30.706521739130437,35.39189877099847
California,2020-05-21,"Title 10, Chapter 14",california achieving a better life experience able act board,california achieving a better life experience able act board,investment,Social Assistance,2500000488,16,1368,7,6,2,0,1,18.0,7.7,8.0,39.92561983471074
California,2020-05-21,"Title 10, Chapter 15",california secure choice retirement savings investment board,california secure choice retirement savings investment board,investment,"Banking, Insurance, and Securities",2500000489,60,3383,46,7,0,2,5,31.0,8.3,14.018691588785046,40.359344894026975
California,2020-05-21,"Title 10, Chapter 2",savings and loan commissioner,savings and loan commissioner,investment,"Banking, Insurance, and Securities",2500000459,753,48917,621,41,9,7,75,39.0,9.88,36.07342378292099,36.05766027870892
California,2020-05-21,"Title 10, Chapter 3",commissioner of business oversight division of corporations,commissioner of business oversight division of corporations,investment,"Industry, Commerce, and Development",2500000460,3492,240443,2189,568,81,24,630,40.0,10.46,35.04980584163431,35.37588572518885
California,2020-05-21,"Title 10, Chapter 5",insurance commissioner,insurance commissioner,investment,"Banking, Insurance, and Securities",2500000461,7981,507640,5846,882,132,87,1034,36.0,10.78,35.65532223026792,35.67732881514853
California,2020-05-21,"Title 10, Chapter 5-5",major risk medical insurance board,major risk medical insurance board,investment,"Banking, Insurance, and Securities",2500000462,242,13889,224,2,0,0,16,32.0,9.03,30.069930069930063,37.27870595382746
California,2020-05-21,"Title 10, Chapter 5-6",access for infants and mothers program,access for infants and mothers program,investment,Social Assistance,2500000463,148,10724,124,13,0,0,11,33.0,9.6,34.5679012345679,38.04886088221037
California,2020-05-21,"Title 10, Chapter 5-7",voluntary alliance uniting employers purchasing pool the health insurance plan of california,voluntary alliance uniting employers purchasing pool the health insurance plan of california,investment,Health Services,2500000464,655,36562,598,6,4,0,47,30.0,8.84,30.44925124792013,36.1898272719382
California,2020-05-21,"Title 10, Chapter 5-8",managed risk medical insurance board healthy families program,managed risk medical insurance board healthy families program,investment,Health Services,2500000465,514,37848,419,36,2,3,54,29.0,9.69,30.787401574803148,35.4553417496246
California,2020-05-21,"Title 10, Chapter 6",real estate commissioner,real estate commissioner,investment,"Industry, Commerce, and Development",2500000466,1085,82247,824,106,23,19,113,38.0,10.31,37.5,35.78824166414828
California,2020-05-21,"Title 10, Chapter 6-5",real estate appraisers,real estate appraisers,investment,Taxes and Public Finance,2500000467,250,13152,193,35,2,2,18,41.0,9.37,27.9874213836478,37.796374670606085
California,2020-05-21,"Title 10, Chapter 6-50",personal responsibility and work opportunity reconciliation,personal responsibility and work opportunity reconciliation,investment,Administration,2500000468,56,7360,46,8,0,0,2,23.0,8.25,13.564668769716087,29.558207217695
California,2020-05-21,"Title 10, Chapter 6-51",business transportation and housing agency emergency small business and farm enterprise guarantees,business transportation and housing agency emergency small business and farm enterprise guarantees,investment,"Industry, Commerce, and Development",2500000469,74,3847,66,5,0,0,3,31.0,8.31,26.4,32.82351358622545
California,2020-05-21,"Title 10, Chapter 6-52",defense adjustment matching grant program,defense adjustment matching grant program,investment,Taxes and Public Finance,2500000470,48,3187,46,0,0,0,2,27.0,8.37,18.103448275862068,38.38842173350582
California,2020-05-21,"Title 10, Chapter 6-56",manufacturing technology grant program,manufacturing technology grant program,investment,"Industry, Commerce, and Development",2500000471,41,2937,38,1,0,0,2,29.0,8.31,19.19191919191919,39.988002822865205
California,2020-05-21,"Title 10, Chapter 6-58",defense retention grant program,defense retention grant program,investment,"Industry, Commerce, and Development",2500000472,34,2279,34,0,0,0,0,31.0,8.23,20.27027027027027,38.024234110653865
California,2020-05-21,"Title 10, Chapter 6-7",conflict of interest code,conflict of interest code,investment,"Banking, Insurance, and Securities",2500000473,0,18,0,0,0,0,0,18.0,3.7,0.0,53.75
California,2020-05-21,"Title 10, Chapter 7",business transportation and housing agency small business loans and guarantees,business transportation and housing agency small business loans and guarantees,investment,"Industry, Commerce, and Development",2500000474,355,15302,323,18,0,0,14,32.0,8.98,28.60169491525424,34.00424871864041
California,2020-05-21,"Title 10, Chapter 7-1",business transportation and housing agency metal plating facility loan guarantees,business transportation and housing agency metal plating facility loan guarantees,investment,"Industry, Commerce, and Development",2500000475,53,3470,44,3,0,0,6,32.0,8.46,24.299065420560748,36.927337701012505
California,2020-05-21,"Title 10, Chapter 7-65",tourism marketing act,tourism marketing act,investment,"Culture, Recreation, and the Arts",2500000476,106,5633,90,4,0,0,12,35.0,9.06,19.49685534591195,42.7930262912549
California,2020-05-21,"Title 10, Chapter 7-66",technology trade and commerce agency hyperlink criteria for central reservation services,technology trade and commerce agency hyperlink criteria for central reservation services,investment,"Industry, Commerce, and Development",2500000477,71,3037,67,1,0,0,3,27.0,7.86,15.315315315315312,38.055363321799305
California,2020-05-21,"Title 10, Chapter 7-67",california welcome centers,california welcome centers,investment,Transportation,2500000478,62,1950,56,1,0,0,5,20.0,8.24,5.1020408163265305,36.41179624664879
California,2020-05-21,"Title 10, Chapter 7-7",department of commerce competitive technology program,department of commerce competitive technology program,investment,"Industry, Commerce, and Development",2500000479,247,10205,212,23,0,0,12,35.0,9.07,19.047619047619047,38.08112260575643
California,2020-05-21,"Title 10, Chapter 7-71",defense conversion matching grant program,defense conversion matching grant program,investment,Taxes and Public Finance,2500000480,54,3560,53,0,0,0,1,19.0,8.34,8.60215053763441,37.96952827424553
California,2020-05-21,"Title 10, Chapter 7-72",rural investment tax exemption,rural investment tax exemption,investment,Taxes and Public Finance,2500000481,49,3597,34,6,0,0,9,35.0,8.09,32.0,35.14416273584906
California,2020-05-21,"Title 10, Chapter 7-75",california film commission,california film commission,investment,"Industry, Commerce, and Development",2500000482,213,11543,174,7,0,3,29,25.0,9.26,23.77777777777778,36.82099547511312
California,2020-05-21,"Title 10, Chapter 7-85",local area military base recovery area designation,local area military base recovery area designation,investment,"Security, Justice, and Corrections",2500000483,59,3277,52,2,0,0,5,26.0,8.52,16.0,39.73243933588761
