jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 1",procedural rules,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001332,327,27404,177,93,1,1,55,21.0,9.28,15.929203539823009,36.41379703534778
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 10",regulation number 8 control of hazardous air pollutants,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001340,808,84172,524,95,6,2,181,17.0,10.03,9.727790673137791,37.61196001243137
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 11",regulation number 9 open burning prescribed fire and permitting,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001341,128,18376,94,20,1,1,12,24.0,9.32,13.143631436314362,36.570996803254864
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 12",regulation number 10 criteria for analysis of conformity,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001342,131,8078,96,19,1,0,15,22.0,8.75,10.614525139664805,40.48807651991614
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 13",regulation number 11 motor vehicle emissions inspection program,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001343,879,56208,590,147,8,7,127,22.0,10.04,10.333988212180746,37.47166149806891
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 14",air quality standards designations and emission budgets,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001344,104,22489,42,22,3,0,37,24.0,9.27,7.296137339055794,38.82622425184609
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 15",regulation number 12 reduction of diesel vehicle emissions,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001345,268,24780,154,45,4,0,65,16.0,9.42,10.702113156100886,34.91250375842962
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 18",regulation no 16 street sanding emissions,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001346,47,4025,37,1,0,0,9,20.0,8.73,5.88235294117647,35.33502538071066
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 19",regulation number 15 control of emissions of ozone depleting compounds,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001347,38,3571,30,2,1,0,5,19.0,8.45,1.5957446808510638,40.88060606060606
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 2",common provisions regulation,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001333,110,34357,46,21,5,1,37,25.0,10.26,13.230994152046785,38.93053446940356
Colorado,2020-04-22,"Department 1000, Division 1001, Air Quality Control Commission, Chapter 20",state implementation plan specific regulations for nonattainment attainment maintenance areas,air quality control commission,department of public health and environment,"Environmental Protection, Public Utilities, and Natural Resources",4600001348,126,9635,84,25,0,0,17,21.0,8.94,6.451612903225806,39.29193299537139
