jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Connecticut,2022-04-25,"Title 10a, Subtitle 169",student financial aid,state systems of higher education,,College and University,10400003140,14,883,13,0,0,0,1,24.0,7.59,11.11111111111111,38.84192037470726
Connecticut,2022-04-25,"Title 10a, Subtitle 170d",connecticut high technology graduate scholarship program,state systems of higher education,,College and University,10400003141,12,896,8,3,1,0,0,27.0,7.44,9.375,40.97596153846154
Connecticut,2022-04-25,"Title 10a, Subtitle 22k",approval of private occupational schools requiring certification,state systems of higher education,,College and University,10400003136,211,8255,190,6,0,0,15,33.0,8.83,33.06122448979592,37.825295151971865
Connecticut,2022-04-25,"Title 10a, Subtitle 22x",private occupational school student protection account,state systems of higher education,,College and University,10400003138,23,1235,16,5,0,0,2,35.0,7.57,28.57142857142857,33.78951747088186
Connecticut,2022-04-25,"Title 10a, Subtitle 34",licensure and accreditation of institutions and programs of higher learning,state systems of higher education,,College and University,10400003139,240,9051,211,5,1,0,23,25.0,8.81,12.429378531073446,42.8097645031591
Connecticut,2022-04-25,"Title 10a, Subtitle 5",organizational description and rules of practice,state systems of higher education,,College and University,10400003134,8,872,6,1,0,0,1,33.0,7.65,0.0,45.063604240282686
Connecticut,2022-04-25,"Title 10a, Subtitle 6",personal data systems,state systems of higher education,,College and University,10400003135,34,3844,28,1,0,1,4,17.0,8.55,13.953488372093023,38.87173135150014
Connecticut,2022-04-25,"Title 10a, Subtitle a",approval of private occupational schools requiring certification,state systems of higher education,,College and University,10400003137,13,604,12,0,0,0,1,100.0,6.99,33.33333333333333,39.32761578044597
Connecticut,2022-04-25,"Title 10, Subtitle 145d",standards for the issuance of a certificate for the position of school business administrator,education and culture,,Primary and Secondary Education,10400003104,1044,62474,840,2,13,0,189,55.0,8.9,30.672645739910315,41.519705260330994
Connecticut,2022-04-25,"Title 10, Subtitle 145g",reports of child abuse by a certified school employee,education and culture,,Primary and Secondary Education,10400003105,1,144,1,0,0,0,0,70.0,5.34,50.0,39.28888888888889
Connecticut,2022-04-25,"Title 10, Subtitle 153e",school board teacher negotiations,education and culture,,Primary and Secondary Education,10400003106,156,5598,144,1,0,9,2,34.0,8.39,33.54430379746836,31.565624414903574
Connecticut,2022-04-25,"Title 10, Subtitle 153f",impartial arbitrator selection,education and culture,,Primary and Secondary Education,10400003107,56,2244,38,12,0,0,6,26.0,8.06,15.476190476190476,43.44485981308412
Connecticut,2022-04-25,"Title 10, Subtitle 17h",programs of bilingual education,education and culture,,Primary and Secondary Education,10400003091,128,4062,82,1,0,0,45,35.0,7.76,31.30434782608696,35.77962577962578
Connecticut,2022-04-25,"Title 10, Subtitle 183aa",eligibility and determination of benefits under the teachers retirement board,education and culture,,Primary and Secondary Education,10400003108,3,150,1,0,0,0,2,50.0,5.36,0.0,33.95862068965517
Connecticut,2022-04-25,"Title 10, Subtitle 183l",eligibility and determination of benefits under the teachers retirement system,education and culture,,Primary and Secondary Education,10400003109,194,12672,168,8,2,0,16,29.0,9.09,24.193548387096776,33.32101372756072
Connecticut,2022-04-25,"Title 10, Subtitle 19m",the youth service bureau grant program,education and culture,,Primary and Secondary Education,10400003092,45,2009,43,0,1,0,1,30.0,8.1,15.625,39.74375332270069
Connecticut,2022-04-25,"Title 10, Subtitle 204a",school immunizations requirements,education and culture,,Primary and Secondary Education,10400003110,31,2167,26,4,0,0,1,49.0,7.53,45.45454545454545,37.07749627421759
Connecticut,2022-04-25,"Title 10, Subtitle 212",school nurses and nurse practitioners,education and culture,,Primary and Secondary Education,10400003111,10,724,9,0,0,0,1,62.0,7.01,27.27272727272727,37.84931506849315
Connecticut,2022-04-25,"Title 10, Subtitle 212a",administration of medication by school personnel and administration of medication during before and after school programs and school readiness programs,education and culture,,Primary and Secondary Education,10400003112,110,7238,96,3,2,0,9,85.0,8.2,61.44578313253012,40.65063731170336
Connecticut,2022-04-25,"Title 10, Subtitle 214",vision audiometric and postural screenings,education and culture,,Primary and Secondary Education,10400003113,41,1292,39,0,0,0,2,27.0,7.81,8.51063829787234,36.88487394957984
Connecticut,2022-04-25,"Title 10, Subtitle 214a",use of eye protective devices in schools,education and culture,,Primary and Secondary Education,10400003114,17,607,13,0,0,0,4,66.0,7.3,33.33333333333333,35.83876500857633
Connecticut,2022-04-25,"Title 10, Subtitle 215b",child feeding programs,education and culture,,Primary and Secondary Education,10400003115,3,183,3,0,0,0,0,36.0,5.52,0.0,29.491525423728813
Connecticut,2022-04-25,"Title 10, Subtitle 215d",nutrition standards for breakfasts and lunches,education and culture,,Primary and Secondary Education,10400003116,13,417,13,0,0,0,0,34.0,6.49,0.0,28.122194513715712
Connecticut,2022-04-25,"Title 10, Subtitle 220a",cooperating teacher and beginning educator support and assessment programs,education and culture,,Primary and Secondary Education,10400003117,84,4630,77,1,0,0,6,49.0,8.05,38.70967741935484,41.94010358027472
Connecticut,2022-04-25,"Title 10, Subtitle 226e",regulations to implement the racial imbalance law,education and culture,,Primary and Secondary Education,10400003118,46,2377,43,0,0,0,3,37.0,7.67,23.809523809523807,37.37104677060134
Connecticut,2022-04-25,"Title 10, Subtitle 261b",penalties and the waiver of penalties for failure to comply with certain state reporting requirements,education and culture,,Primary and Secondary Education,10400003119,17,465,7,3,0,0,7,51.0,6.87,33.33333333333333,31.80709534368071
Connecticut,2022-04-25,"Title 10, Subtitle 287c",school construction grants,education and culture,,Primary and Secondary Education,10400003120,82,4727,78,0,1,1,2,42.0,8.61,39.09090909090909,38.20013568521031
Connecticut,2022-04-25,"Title 10, Subtitle 293",agency organization practice and procedure,education and culture,,Primary and Secondary Education,10400003121,124,9136,116,2,0,0,6,38.0,9.12,24.57627118644068,36.9683734939759
Connecticut,2022-04-25,"Title 10, Subtitle 295",program for deaf blind adults,education and culture,,Primary and Secondary Education,10400003122,72,5628,58,7,1,0,6,31.0,8.95,27.11864406779661,36.43980117820324
Connecticut,2022-04-25,"Title 10, Subtitle 300a",labeling of goods made by blind persons,education and culture,,Primary and Secondary Education,10400003123,13,601,11,0,0,0,2,31.0,6.85,31.57894736842105,36.18165784832451
Connecticut,2022-04-25,"Title 10, Subtitle 303",vending facilities in public buildings,education and culture,,Primary and Secondary Education,10400003124,174,10934,155,9,1,0,9,51.0,9.15,29.85781990521327,35.12722035525684
Connecticut,2022-04-25,"Title 10, Subtitle 306",vocational rehabilitation services,education and culture,,Primary and Secondary Education,10400003102,144,11971,127,1,2,0,14,39.0,8.9,27.302631578947366,46.203152060962935
Connecticut,2022-04-25,"Title 10, Subtitle 308",vocational rehabilitation services,education and culture,,Primary and Secondary Education,10400003103,20,984,16,0,3,0,1,81.0,7.04,,44.23486430062631
Connecticut,2022-04-25,"Title 10, Subtitle 320j",historic homes rehabilitation tax credit,education and culture,,Primary and Secondary Education,10400003125,115,3114,107,1,0,0,7,29.0,7.44,35.57692307692308,38.46415222562012
Connecticut,2022-04-25,"Title 10, Subtitle 321",course and method of operation,education and culture,,Primary and Secondary Education,10400003126,37,1457,37,0,0,0,0,35.0,7.94,12.195121951219512,39.32434350603265
Connecticut,2022-04-25,"Title 10, Subtitle 324",categories of planning,education and culture,,Primary and Secondary Education,10400003127,4,272,4,0,0,0,0,42.0,6.26,0.0,44.11206896551724
Connecticut,2022-04-25,"Title 10, Subtitle 369",agency description and functions,education and culture,,Primary and Secondary Education,10400003128,16,1781,10,2,0,1,3,30.0,8.71,13.79310344827586,38.78922716627635
Connecticut,2022-04-25,"Title 10, Subtitle 384",state archaeological preserves,education and culture,,Primary and Secondary Education,10400003129,18,712,17,1,0,0,0,35.0,6.93,15.0,45.671575846833576
Connecticut,2022-04-25,"Title 10, Subtitle 386",archaeological permits,education and culture,,Primary and Secondary Education,10400003130,33,1232,28,1,0,0,4,36.0,7.63,41.17647058823529,45.65410385259632
Connecticut,2022-04-25,"Title 10, Subtitle 392",organization and rules of practice,education and culture,,Primary and Secondary Education,10400003131,131,7124,115,2,0,1,13,29.0,8.77,24.896265560165972,37.37183428487776
Connecticut,2022-04-25,"Title 10, Subtitle 3a",description of organization,education and culture,,Primary and Secondary Education,10400003087,0,512,0,0,0,0,0,28.0,6.79,5.555555555555555,44.6040404040404
Connecticut,2022-04-25,"Title 10, Subtitle 4",organization description rules of practice public inspection,education and culture,,Primary and Secondary Education,10400003088,128,12161,120,1,0,0,7,18.0,8.9,9.876543209876544,38.51492856531782
Connecticut,2022-04-25,"Title 10, Subtitle 416a",historic structures rehabilitation tax credits,education and culture,,Primary and Secondary Education,10400003132,171,6490,156,1,0,0,14,37.0,8.19,37.2093023255814,40.04711787564767
Connecticut,2022-04-25,"Title 10, Subtitle 416b",historic preservation tax credit,education and culture,,Primary and Secondary Education,10400003133,173,6542,158,1,0,0,14,38.0,8.24,37.8698224852071,39.98151422600868
Connecticut,2022-04-25,"Title 10, Subtitle 4b",procedures to implement section 10 4b of the connecticut general statutes as amended by pa 79 128 section 14,education and culture,,Primary and Secondary Education,10400003089,41,2598,41,0,0,0,0,35.0,7.64,41.0958904109589,34.394951140065146
Connecticut,2022-04-25,"Title 10, Subtitle 64",operating vocational agriculture programs,education and culture,,Primary and Secondary Education,10400003093,4,89,4,0,0,0,0,20.0,5.4,0.0,35.72289156626506
Connecticut,2022-04-25,"Title 10, Subtitle 65",operating vocational agriculture programs procedure,education and culture,,Primary and Secondary Education,10400003094,25,737,24,1,0,0,0,24.0,7.22,13.79310344827586,39.88936170212766
Connecticut,2022-04-25,"Title 10, Subtitle 66j",standards for the review and approval of regional educational service centers,education and culture,,Primary and Secondary Education,10400003095,23,829,22,0,0,0,1,43.0,7.07,21.052631578947366,36.224935732647815
Connecticut,2022-04-25,"Title 10, Subtitle 66mm",operation of a charter school,education and culture,,Primary and Secondary Education,10400003096,22,1028,22,0,0,0,0,34.0,6.92,16.666666666666664,39.10478128179044
Connecticut,2022-04-25,"Title 10, Subtitle 76a",children requiring special education,education and culture,,Primary and Secondary Education,10400003097,7,1048,6,0,0,0,1,37.0,7.43,22.22222222222222,38.30520833333333
Connecticut,2022-04-25,"Title 10, Subtitle 76b",children requiring special education,education and culture,,Primary and Secondary Education,10400003098,49,2869,44,0,0,0,5,48.0,7.82,44.82758620689656,34.96095526914329
Connecticut,2022-04-25,"Title 10, Subtitle 76d",children requiring special education,education and culture,,Primary and Secondary Education,10400003099,239,9738,217,0,0,0,22,37.0,8.35,36.25954198473282,36.57160990057119
Connecticut,2022-04-25,"Title 10, Subtitle 76h",children requiring special education,education and culture,,Primary and Secondary Education,10400003100,168,6898,163,0,0,1,4,32.0,8.34,31.100478468899524,32.612666566851324
Connecticut,2022-04-25,"Title 10, Subtitle 8a",exemption of educational institutions from licensing requirements by the department of children and youth services,education and culture,,Primary and Secondary Education,10400003090,77,3112,77,0,0,0,0,42.0,8.05,31.944444444444443,36.82196842458851
Connecticut,2022-04-25,"Title 10, Subtitle 94j",appointment of surrogate parents,education and culture,,Primary and Secondary Education,10400003101,27,1296,27,0,0,0,0,70.0,7.15,66.66666666666666,35.28768233387358
Connecticut,2022-04-25,"Title 11, Subtitle 1",minimum standards for principal public libraries and procedures for naming such libraries,libraries,,"Culture, Recreation, and the Arts",10400003142,0,13,0,0,0,0,0,9.0,2.86,0.0,64.0
Connecticut,2022-04-25,"Title 11, Subtitle 10b",minimum standards for the tier system of state law libraries,libraries,,"Culture, Recreation, and the Arts",10400003145,8,1056,8,0,0,0,0,,7.59,0.0,38.95960591133005
Connecticut,2022-04-25,"Title 11, Subtitle 24",grants to public libraries,libraries,,"Culture, Recreation, and the Arts",10400003146,9,268,7,0,0,0,2,43.0,5.78,0.0,31.770750988142293
Connecticut,2022-04-25,"Title 11, Subtitle 24b",state grant payment,libraries,,"Culture, Recreation, and the Arts",10400003147,26,1178,24,2,0,0,0,43.0,7.37,11.11111111111111,33.604524886877826
Connecticut,2022-04-25,"Title 11, Subtitle 24d",administration of library automation grants,libraries,,"Culture, Recreation, and the Arts",10400003148,19,1996,13,6,0,0,0,28.0,7.96,19.718309859154928,39.9768875192604
Connecticut,2022-04-25,"Title 11, Subtitle 26",certificates for head librarians of public libraries,libraries,,"Culture, Recreation, and the Arts",10400003149,11,704,8,0,1,0,2,36.0,6.82,31.57894736842105,36.84558823529412
Connecticut,2022-04-25,"Title 11, Subtitle 31c",procedures to govern the administration of the connecticard program,libraries,,"Culture, Recreation, and the Arts",10400003150,36,2005,28,4,1,0,3,28.0,7.35,30.985915492957744,33.76322547508988
Connecticut,2022-04-25,"Title 11, Subtitle 8",standard for fire resistive vaults and safes,libraries,,"Culture, Recreation, and the Arts",10400003143,135,4226,117,6,0,0,12,24.0,8.64,17.441860465116278,32.9675390035229
Connecticut,2022-04-25,"Title 11, Subtitle 8a",transferring archival records from the state library,libraries,,"Culture, Recreation, and the Arts",10400003144,18,936,16,2,0,0,0,23.0,7.38,21.951219512195124,41.03307607497244
Connecticut,2022-04-25,"Title 12, Subtitle 107d",policies and standards for evaluating land proposed for classification as forest land,taxation,,Taxes and Public Finance,10400003169,59,4168,52,0,2,0,5,56.0,8.22,42.465753424657535,35.2301848569258
Connecticut,2022-04-25,"Title 12, Subtitle 120",penalties and the waiver of penalties for failure to comply with certain state reporting requirements,taxation,,Taxes and Public Finance,10400003159,14,466,7,3,0,0,4,51.0,6.92,33.33333333333333,31.07300884955752
Connecticut,2022-04-25,"Title 12, Subtitle 129b",penalties and the waiver of penalties regarding certain elderly total disability tax relief programs,taxation,,Taxes and Public Finance,10400003166,14,527,7,3,0,0,4,58.0,7.04,33.33333333333333,32.25925925925926
