jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
District of Columbia,2020-06-01,"Title 10, Chapter A1",introduction,planning and development,,"Industry, Commerce, and Development",6000001892,3,5795,0,3,0,0,0,20.0,8.85,7.829181494661921,35.05018587360595
District of Columbia,2020-06-01,"Title 10, Chapter A10",historic preservation,planning and development,,"Industry, Commerce, and Development",6000001901,16,13537,3,9,1,0,3,25.0,9.28,11.154598825831702,42.66742504265865
District of Columbia,2020-06-01,"Title 10, Chapter A11",community services and facilities element,planning and development,,"Industry, Commerce, and Development",6000001902,11,10646,5,6,0,0,0,25.0,9.31,8.433734939759036,39.04886060357216
District of Columbia,2020-06-01,"Title 10, Chapter A12",educational facilities element,planning and development,,"Industry, Commerce, and Development",6000001903,5,9555,0,5,0,0,0,26.0,9.11,9.659090909090908,39.34217599626037
District of Columbia,2020-06-01,"Title 10, Chapter A13",infrastructure element,planning and development,,"Industry, Commerce, and Development",6000001904,14,10571,0,5,1,0,8,24.0,9.5,6.619385342789598,39.62166632210048
District of Columbia,2020-06-01,"Title 10, Chapter A14",arts and culture element,planning and development,,"Industry, Commerce, and Development",6000001905,3,7494,0,1,1,0,1,26.0,8.9,12.589928057553957,37.5353208988104
District of Columbia,2020-06-01,"Title 10, Chapter A15",capitol hill area,planning and development,,"Industry, Commerce, and Development",6000001906,6,14191,0,5,0,0,1,25.0,9.57,8.058608058608058,36.96975790857761
District of Columbia,2020-06-01,"Title 10, Chapter A16",central washington area element penn quarter monumental core,planning and development,,"Industry, Commerce, and Development",6000001907,8,20677,1,6,0,0,1,26.0,9.78,6.167979002624672,37.092321513502085
District of Columbia,2020-06-01,"Title 10, Chapter A17",far northeast southeast area element,planning and development,,"Industry, Commerce, and Development",6000001908,11,12401,0,10,0,1,0,27.0,9.34,6.997742663656885,37.87111387457808
District of Columbia,2020-06-01,"Title 10, Chapter A18",far southeast southwest area element,planning and development,,"Industry, Commerce, and Development",6000001909,22,13391,10,9,0,0,3,26.0,9.49,7.569721115537849,36.997537754432045
District of Columbia,2020-06-01,"Title 10, Chapter A19",lower anacostia waterfront near southwest area element,planning and development,,"Industry, Commerce, and Development",6000001910,10,12708,3,6,0,0,1,25.0,9.54,4.781704781704782,37.90935798842133
District of Columbia,2020-06-01,"Title 10, Chapter A2",framework element,planning and development,,"Industry, Commerce, and Development",6000001893,36,18567,0,28,4,0,4,22.0,9.68,9.66183574879227,36.07604607428303
District of Columbia,2020-06-01,"Title 10, Chapter A20",mid city area element,planning and development,,"Industry, Commerce, and Development",6000001911,12,14841,2,9,1,0,0,25.0,9.58,8.333333333333332,37.648562537048015
District of Columbia,2020-06-01,"Title 10, Chapter A21",northwest area element,planning and development,,"Industry, Commerce, and Development",6000001912,7,13868,3,3,1,0,0,26.0,9.57,8.171206225680933,36.95634227655184
District of Columbia,2020-06-01,"Title 10, Chapter A22",rock creek east area element,planning and development,,"Industry, Commerce, and Development",6000001913,10,13609,2,8,0,0,0,25.0,9.53,8.851224105461393,37.13929230522346
District of Columbia,2020-06-01,"Title 10, Chapter A23",rock creek west area element,planning and development,,"Industry, Commerce, and Development",6000001914,15,12150,1,12,0,0,2,25.0,9.65,9.761388286334055,37.77776787306115
District of Columbia,2020-06-01,"Title 10, Chapter A24",upper northeast area element,planning and development,,"Industry, Commerce, and Development",6000001915,5,14159,4,1,0,0,0,26.0,9.53,8.778625954198473,37.2162980209546
District of Columbia,2020-06-01,"Title 10, Chapter A25",implementation,planning and development,,"Industry, Commerce, and Development",6000001916,60,11605,33,6,2,0,19,28.0,8.99,16.290726817042607,38.15832002255004
District of Columbia,2020-06-01,"Title 10, Chapter A3",land use element,planning and development,,"Industry, Commerce, and Development",6000001894,31,21698,6,15,1,2,7,29.0,9.83,13.085399449035812,39.8258233986664
District of Columbia,2020-06-01,"Title 10, Chapter A4",transportation element,planning and development,,"Industry, Commerce, and Development",6000001895,14,18057,2,9,1,0,2,26.0,9.76,8.270676691729323,38.81324153193582
District of Columbia,2020-06-01,"Title 10, Chapter A5",housing element,planning and development,,"Industry, Commerce, and Development",6000001896,17,16272,1,10,1,0,5,26.0,9.55,9.68280467445743,37.39711538461538
District of Columbia,2020-06-01,"Title 10, Chapter A6",environmental protection,planning and development,,"Industry, Commerce, and Development",6000001897,30,22611,2,16,1,1,10,26.0,9.89,11.907654921020656,40.30332403191854
District of Columbia,2020-06-01,"Title 10, Chapter A7",economic development,planning and development,,"Industry, Commerce, and Development",6000001898,10,19454,1,7,0,0,2,26.0,9.81,7.638888888888889,40.439900446857855
District of Columbia,2020-06-01,"Title 10, Chapter A8",parks recreation and open space,planning and development,,"Industry, Commerce, and Development",6000001899,7,15901,2,3,0,0,2,25.0,9.45,10.084033613445378,37.87668754349339
District of Columbia,2020-06-01,"Title 10, Chapter A9",urban design,planning and development,,"Industry, Commerce, and Development",6000001900,7,14887,0,6,1,0,0,25.0,9.61,9.363957597173144,38.68492540636829
District of Columbia,2020-06-01,"Title 10, Chapter B20",redevelopment land agency,planning and development,,"Industry, Commerce, and Development",6000001917,141,5871,125,2,0,0,14,30.0,8.75,38.02083333333333,31.51149641914813
District of Columbia,2020-06-01,"Title 10, Chapter B21",disposition of real property,planning and development,,"Industry, Commerce, and Development",6000001918,162,7792,145,5,0,0,12,37.0,9.14,34.31372549019608,36.8244453630977
District of Columbia,2020-06-01,"Title 10, Chapter B22",relocation assistance,planning and development,,"Industry, Commerce, and Development",6000001919,194,10665,173,2,0,0,19,40.0,9.04,38.40304182509506,34.73224155578301
District of Columbia,2020-06-01,"Title 10, Chapter B23",large tract review procedures,planning and development,,"Industry, Commerce, and Development",6000001920,39,2256,32,0,0,0,7,38.0,8.47,12.06896551724138,38.53705486044273
District of Columbia,2020-06-01,"Title 10, Chapter B24",chinatown design review procedures,planning and development,,"Industry, Commerce, and Development",6000001921,21,1105,17,0,0,0,4,30.0,7.78,27.77777777777778,40.51769464105157
District of Columbia,2020-06-01,"Title 10, Chapter B27",office of the surveyor subdivision regulations,planning and development,,"Industry, Commerce, and Development",6000001922,76,3309,69,0,0,0,7,33.0,8.46,29.29292929292929,31.599043715847
District of Columbia,2020-06-01,"Title 10, Chapter B28",registered land surveyors,planning and development,,"Industry, Commerce, and Development",6000001923,106,5108,98,1,0,0,7,32.0,8.69,22.58064516129032,31.27284399743205
District of Columbia,2020-06-01,"Title 10, Chapter B29",office of the surveyor schedule of fees,planning and development,,"Industry, Commerce, and Development",6000001924,9,1096,7,1,0,0,1,64.0,7.62,37.5,36.7073732718894
