jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Florida,2020-06-12,"Department 10, Division 10D, Chapter 124",nursing scholarship loan program,health program office,department of health and rehabilitative services,Health Services,4700025781,0,91,0,0,0,0,0,8.0,5.07,0.0,60.74
Florida,2020-06-12,"Department 11, Division 11A, Chapter 7",criminal justice standards and training procedures,division of criminal justice standards and training,department of law enforcement,"Security, Justice, and Corrections",4700025852,6,280,6,0,0,0,0,21.0,6.5,15.384615384615383,37.36363636363637
Florida,2020-06-12,"Department 11, Division 11B, Chapter 14",salary incentive program,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025837,42,3928,40,0,0,0,2,22.0,8.45,2.8901734104046244,42.84289617486339
Florida,2020-06-12,"Department 11, Division 11B, Chapter 18",criminal justice standards and training trust fund,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025838,134,7883,124,0,1,0,9,23.0,8.6,5.72289156626506,40.19579383886256
Florida,2020-06-12,"Department 11, Division 11B, Chapter 20",certification of criminal justice training instructors,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025839,132,7043,117,0,0,0,15,20.0,8.37,4.664723032069971,46.58589007383101
Florida,2020-06-12,"Department 11, Division 11B, Chapter 21",certification of criminal justice training schools,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025840,91,5149,89,0,0,0,2,23.0,8.22,7.6190476190476195,43.86241610738255
Florida,2020-06-12,"Department 11, Division 11B, Chapter 27",certification and employment or appointment,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025841,367,20803,322,0,1,1,43,22.0,9.34,12.251655629139073,39.698997030313215
Florida,2020-06-12,"Department 11, Division 11B, Chapter 30",examinations,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025842,69,3495,64,2,0,1,2,24.0,8.45,6.474820143884892,42.572898190847816
Florida,2020-06-12,"Department 11, Division 11B, Chapter 35",training programs,criminal justice standards and training commission,department of law enforcement,"Security, Justice, and Corrections",4700025843,368,16087,268,6,1,0,93,22.0,8.82,3.597122302158273,40.581091522090325
Florida,2020-06-12,"Department 11, Division 11C, Chapter 10",missing endangered persons clearinghouse,division of criminal justice information systems,department of law enforcement,"Security, Justice, and Corrections",4700025850,19,979,18,1,0,0,0,26.0,7.37,10.81081081081081,36.93729372937294
Florida,2020-06-12,"Department 11, Division 11C, Chapter 11",criminal justice data transparency,division of criminal justice information systems,department of law enforcement,"Security, Justice, and Corrections",4700025851,1,191,0,0,0,0,1,16.0,6.31,0.0,40.938650306748464
Florida,2020-06-12,"Department 11, Division 11C, Chapter 4",crime information bureau criminal history records fingerprinting and reports,division of criminal justice information systems,department of law enforcement,"Security, Justice, and Corrections",4700025846,13,1175,12,0,0,0,1,18.0,7.51,6.779661016949152,44.28308823529412
Florida,2020-06-12,"Department 11, Division 11C, Chapter 6",criminal history records dissemination policy,division of criminal justice information systems,department of law enforcement,"Security, Justice, and Corrections",4700025847,62,3867,29,26,0,0,7,25.0,8.69,15.068493150684931,36.38325722983257
Florida,2020-06-12,"Department 11, Division 11C, Chapter 7",criminal history records expunction and sealing policy and procedures,division of criminal justice information systems,department of law enforcement,"Security, Justice, and Corrections",4700025848,66,5039,18,34,0,0,14,21.0,8.09,20.600858369098717,36.722772277227726
Florida,2020-06-12,"Department 11, Division 11C, Chapter 8",criminal history records review and correction,division of criminal justice information systems,department of law enforcement,"Security, Justice, and Corrections",4700025849,32,1340,27,3,0,0,2,33.0,7.6,37.5,34.321623731459795
Florida,2020-06-12,"Department 11, Division 11, Chapter 1",general information,department of law enforcement,department of law enforcement,"Security, Justice, and Corrections",4700025844,19,1913,17,1,0,0,1,15.0,7.9,4.310344827586207,39.74236111111111
Florida,2020-06-12,"Department 11, Division 11, Chapter 2",false reports of bombing etc reward for information relating thereto,department of law enforcement,department of law enforcement,"Security, Justice, and Corrections",4700025845,14,804,13,1,0,0,0,16.0,7.24,6.382978723404255,36.65204236006051
Florida,2020-06-12,"Department 11, Division 11D, Chapter 10",florida law enforcment officers hall of fame,division of local law enforcement assistance,department of law enforcement,"Security, Justice, and Corrections",4700025857,8,720,8,0,0,0,0,22.0,7.48,0.0,41.405750798722046
Florida,2020-06-12,"Department 11, Division 11D, Chapter 11",soliciting for prostitution database,division of local law enforcement assistance,department of law enforcement,"Security, Justice, and Corrections",4700025858,8,395,7,0,0,0,1,17.0,6.12,4.761904761904762,32.38924050632912
Florida,2020-06-12,"Department 11, Division 11D, Chapter 2",division of local law enforcement assistance,division of local law enforcement assistance,department of law enforcement,"Security, Justice, and Corrections",4700025853,12,1183,5,5,0,0,2,21.0,7.77,7.547169811320755,38.79527559055118
