jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Georgia,2020-06-12,"Department 100, Chapter 1",organization,rules of georgia board of chiropractic examiners,,Health Services,2900003020,2,90,2,0,0,0,0,18.0,5.4,0.0,36.25
Georgia,2020-06-12,"Department 100, Chapter 10",reasonable care and skill defined,rules of georgia board of chiropractic examiners,,Health Services,2900003028,11,598,9,2,0,0,0,28.0,7.18,28.57142857142857,40.05052264808362
Georgia,2020-06-12,"Department 100, Chapter 11",fees,rules of georgia board of chiropractic examiners,,Health Services,2900003029,2,132,0,1,0,0,1,132.0,4.5,0.0,27.41860465116279
Georgia,2020-06-12,"Department 100, Chapter 12",approved chiropractic schools or colleges,rules of georgia board of chiropractic examiners,,Health Services,2900003030,4,221,2,1,0,0,1,44.0,6.48,20.0,43.32512315270936
Georgia,2020-06-12,"Department 100, Chapter 13",travel to treat visiting practice,rules of georgia board of chiropractic examiners,,Health Services,2900003031,6,361,4,0,1,0,1,35.0,6.56,40.0,34.1865889212828
Georgia,2020-06-12,"Department 100, Chapter 14",professors or instructors employed by chiropractic schools in georgia,rules of georgia board of chiropractic examiners,,Health Services,2900003032,3,128,3,0,0,0,0,43.0,5.65,0.0,39.609756097560975
Georgia,2020-06-12,"Department 100, Chapter 15",chiropractic assistants,rules of georgia board of chiropractic examiners,,Health Services,2900003033,4,180,4,0,0,0,0,30.0,5.8,0.0,38.461988304093566
Georgia,2020-06-12,"Department 100, Chapter 16",temporary license,rules of georgia board of chiropractic examiners,,Health Services,2900003034,28,892,22,3,0,0,3,39.0,7.09,21.73913043478261,37.95702671312427
Georgia,2020-06-12,"Department 100, Chapter 17",peer reviewer,rules of georgia board of chiropractic examiners,,Health Services,2900003035,20,691,16,3,0,0,1,31.0,7.42,13.636363636363637,43.75113808801214
Georgia,2020-06-12,"Department 100, Chapter 2",license requirements,rules of georgia board of chiropractic examiners,,Health Services,2900003021,51,1753,23,21,0,0,7,35.0,7.71,12.0,36.19736842105263
Georgia,2020-06-12,"Department 100, Chapter 3",examinations,rules of georgia board of chiropractic examiners,,Health Services,2900003022,10,454,8,2,0,0,0,23.0,6.65,0.0,38.93563218390805
Georgia,2020-06-12,"Department 100, Chapter 4",advertising,rules of georgia board of chiropractic examiners,,Health Services,2900003023,14,742,6,6,2,0,0,57.0,7.54,38.46153846153847,37.31527777777778
Georgia,2020-06-12,"Department 100, Chapter 5",continuing education,rules of georgia board of chiropractic examiners,,Health Services,2900003024,34,1217,16,12,0,0,6,20.0,7.66,8.19672131147541,39.61538461538461
Georgia,2020-06-12,"Department 100, Chapter 7",immoral and unprofessional conduct defined,rules of georgia board of chiropractic examiners,,Health Services,2900003025,33,1745,16,16,0,0,1,40.0,8.32,46.51162790697674,37.05924596050269
Georgia,2020-06-12,"Department 100, Chapter 8",scope of practice of chiropractic students,rules of georgia board of chiropractic examiners,,Health Services,2900003026,11,591,8,2,0,0,1,35.0,6.65,5.88235294117647,43.56445993031359
Georgia,2020-06-12,"Department 100, Chapter 9",electrical therapeutic modalities,rules of georgia board of chiropractic examiners,,Health Services,2900003027,6,220,1,4,0,0,1,16.0,6.36,0.0,48.36585365853659
Georgia,2020-06-12,"Department 105, Chapter 1",administration,georgia department of community supervision,,"Security, Justice, and Corrections",2900003036,1,94,1,0,0,0,0,94.0,5.66,0.0,44.34065934065934
Georgia,2020-06-12,"Department 105, Chapter 2",misdemeanor probation oversight unit,georgia department of community supervision,,"Security, Justice, and Corrections",2900003037,183,8143,112,35,0,0,36,23.0,8.99,12.256267409470752,40.46065844667599
Georgia,2020-06-12,"Department 105, Chapter 3",family violence intervention program,georgia department of community supervision,,"Security, Justice, and Corrections",2900003038,183,9802,112,33,6,4,28,19.0,9.17,13.92156862745098,42.31241386621436
Georgia,2020-06-12,"Department 110, Chapter 1",administration,rules of georgia department of community affairs,,Health Services,2900003039,12,1296,7,4,0,0,1,28.0,8.04,19.148936170212767,39.00406834825061
