jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Hawaii,2022-04-25,"Title 10, Chapter 1",general provisions,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002292,10,1532,9,0,0,0,1,26.0,8.31,12.280701754385964,35.045485871812545
Hawaii,2022-04-25,"Title 10, Chapter 2",organization and management,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002293,53,2008,52,0,0,0,1,29.0,7.81,19.696969696969692,35.54442649434572
Hawaii,2022-04-25,"Title 10, Chapter 3",native hawaiian rehabilitation program,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002294,283,11160,254,8,0,0,21,37.0,9.12,34.78260869565217,35.091281287801245
Hawaii,2022-04-25,"Title 10, Chapter 4",management of hawaiian home lands,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002295,161,5444,122,9,1,14,15,26.0,8.78,23.300970873786408,36.85626559201689
Hawaii,2022-04-25,"Title 10, Chapter 4-1",management of water systems,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002296,185,10009,175,1,1,3,5,36.0,8.96,34.14634146341464,33.54448581332649
Hawaii,2022-04-25,"Title 10, Chapter 5",rules of practice and procedure,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002297,153,6179,142,4,0,0,7,39.0,8.44,40.25974025974026,33.32590482573727
Hawaii,2022-04-25,"Title 10, Chapter 6-1",native hawaiian development program,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002298,21,717,20,1,0,0,0,30.0,6.77,13.043478260869565,43.77744807121662
Hawaii,2022-04-25,"Title 10, Chapter 7",planned communities multi family complexes and rental housing,department of hawaiian home lands,,"Industry, Commerce, and Development",9700002299,74,3017,71,0,0,1,2,29.0,8.22,20.588235294117645,37.08240997229917
Hawaii,2022-04-25,"Title 11, Chapter 1",rules of practice and procedure,department of health,,Health Services,9700002300,161,8424,145,2,0,0,14,36.0,8.8,39.05579399141631,34.09048780487805
Hawaii,2022-04-25,"Title 11, Chapter 10",public swimming pools,department of health,,Health Services,9700002302,142,4728,129,5,0,1,7,31.0,8.54,31.78807947019868,35.50711315386299
Hawaii,2022-04-25,"Title 11, Chapter 100-1",adult residential care homes,department of health,,Health Services,9700002349,553,19705,516,11,1,0,25,41.0,9.33,36.016949152542374,35.22111605973277
Hawaii,2022-04-25,"Title 11, Chapter 103",licensure and certification fees for health care facilities and agencies,department of health,,Health Services,9700002350,24,1445,16,0,0,0,8,28.0,7.32,10.20408163265306,38.68467801628423
Hawaii,2022-04-25,"Title 11, Chapter 104-1",management and disposal of infectious waste,department of health,,Health Services,9700002351,90,3542,86,2,0,1,1,32.0,8.44,21.100917431192663,38.83571428571429
Hawaii,2022-04-25,"Title 11, Chapter 105",fees for home health services,department of health,,Health Services,9700002352,1,170,1,0,0,0,0,32.0,6.14,0.0,36.36
Hawaii,2022-04-25,"Title 11, Chapter 106",background checks,department of health,,Health Services,9700002353,26,2931,23,1,0,0,2,42.0,8.41,19.11764705882353,40.284604519774014
Hawaii,2022-04-25,"Title 11, Chapter 110-1",clinical laboratories and laboratory personnel,department of health,,Health Services,9700002354,133,8433,119,5,0,0,9,41.0,8.77,24.13793103448276,40.55014932802389
Hawaii,2022-04-25,"Title 11, Chapter 113",substance abuse testing by laboratories,department of health,,Health Services,9700002355,222,8259,198,15,2,0,7,29.0,8.81,22.34042553191489,37.03330367357315
