document_id,label,probability
3800002273,111,0.002
3800002628,111,0.0003
3800002628,112,0.0026
3800002628,113,0.0004
3800002628,114,0.0005
3800002628,115,0.0005
3800002628,211,0.0006
3800002628,212,0.0008
3800002628,213,0.0006
3800002628,221,0.0004
3800002628,236,0.0006
3800002628,237,0.0007
3800002628,238,0.0007
3800002628,311,0.0011
3800002628,312,0.001
3800002628,313,0.0005
3800002628,314,0.0005
3800002628,321,0.0011
3800002628,322,0.0004
3800002628,323,0.0005
3800002628,324,0.0002
3800002628,325,0.0001
3800002628,326,0.0
3800002628,327,0.0005
3800002628,331,0.0016
3800002628,332,0.0009
3800002628,333,0.0004
3800002628,334,0.0003
3800002628,335,0.0018
3800002628,336,0.0001
3800002628,337,0.0006
3800002628,339,0.0003
3800002628,423,0.0005
3800002628,424,0.0006
3800002628,425,0.0008
3800002628,441,0.0002
3800002628,443,0.0004
3800002628,444,0.0005
3800002628,445,0.0005
3800002628,446,0.0006
3800002628,447,0.0053
3800002628,448,0.0007
3800002628,451,0.0008
3800002628,452,0.0034
3800002628,453,0.0008
3800002628,454,0.0008
3800002628,481,0.0079
3800002628,482,0.0014
3800002628,483,0.0004
3800002628,484,0.0004
3800002628,485,0.0008
3800002628,486,0.0002
3800002628,487,0.0004
3800002628,488,0.0013
3800002628,493,0.0006
3800002628,511,0.0002
3800002628,512,0.0016
3800002628,515,0.0011
3800002628,517,0.0002
3800002628,518,0.0006
3800002628,519,0.0025
3800002628,521,0.0002
3800002628,522,0.0003
3800002628,523,0.0009
3800002628,524,0.0001
3800002628,525,0.0009
3800002628,531,0.0004
3800002628,532,0.0006
3800002628,541,0.0038
3800002628,551,0.0004
3800002628,561,0.0223
3800002628,562,0.0004
3800002628,611,0.0005
3800002628,621,0.0007
3800002628,622,0.0005
3800002628,623,0.0005
3800002628,624,0.0005
3800002628,711,0.0008
3800002628,712,0.0011
3800002628,713,0.0006
3800002628,721,0.0005
3800002628,722,0.0007
3800002628,811,0.0005
3800002628,812,0.0007
3800002628,813,0.0004
3800002628,814,0.0007
3800002628,921,0.001
3800002628,922,0.0006
3800002628,924,0.0007
3800002628,928,0.0007
3800002629,111,0.0005
3800002629,112,0.0002
3800002629,113,0.0005
3800002629,114,0.0005
3800002629,115,0.0005
3800002629,211,0.0005
3800002629,212,0.0015
3800002629,213,0.0004
3800002629,221,0.0011
3800002629,236,0.0005
3800002629,237,0.0006
3800002629,238,0.0005
3800002629,311,0.0006
3800002629,312,0.001
3800002629,313,0.0004
3800002629,314,0.0003
3800002629,321,0.0016
3800002629,322,0.0
3800002629,323,0.0004
3800002629,324,0.0004
3800002629,325,0.0003
3800002629,326,0.0
3800002629,327,0.0002
3800002629,331,0.0005
3800002629,332,0.0007
3800002629,333,0.0002
3800002629,334,0.0005
3800002629,335,0.0043
3800002629,336,0.0003
3800002629,337,0.0006
3800002629,339,0.0006
3800002629,423,0.0002
3800002629,424,0.0005
3800002629,425,0.0004
3800002629,441,0.0003
3800002629,443,0.0006
3800002629,444,0.0007
3800002629,445,0.0005
3800002629,446,0.0006
3800002629,447,0.0036
3800002629,448,0.0006
3800002629,451,0.0006
3800002629,452,0.0006
3800002629,453,0.0006
3800002629,454,0.0009
3800002629,481,0.016
3800002629,482,0.0006
3800002629,483,0.0006
3800002629,484,0.0007
3800002629,485,0.0008
3800002629,486,0.0025
3800002629,487,0.0005
3800002629,488,0.0003
3800002629,493,0.0007
3800002629,511,0.0001
3800002629,512,0.0026
3800002629,515,0.0014
3800002629,517,0.0015
3800002629,518,0.0004
3800002629,519,0.0004
3800002629,521,0.0002
3800002629,522,0.0002
3800002629,523,0.0
3800002629,524,0.0009
3800002629,525,0.0014
3800002629,531,0.0003
3800002629,532,0.0006
3800002629,541,0.9987
3800002629,551,0.0004
3800002629,561,0.0001
3800002629,562,0.0008
3800002629,611,0.0004
3800002629,621,0.0049
3800002629,622,0.0007
3800002629,623,0.0003
3800002629,624,0.0005
3800002629,711,0.0011
3800002629,712,0.0003
3800002629,713,0.0005
3800002629,721,0.0005
3800002629,722,0.0004
3800002629,811,0.0003
3800002629,812,0.0008
3800002629,813,0.0001
3800002629,814,0.0007
3800002629,921,0.0596
3800002629,922,0.0008
3800002629,924,0.0006
3800002629,928,0.0014
3800002630,111,0.0013
3800002630,112,0.0427
3800002630,113,0.0012
3800002630,114,0.0001
3800002630,115,0.0009
3800002630,211,0.0004
3800002630,212,0.0017
3800002630,213,0.0007
3800002630,221,0.0003
3800002630,236,0.004
3800002630,237,0.0007
3800002630,238,0.0004
3800002630,311,0.0
3800002630,312,0.0011
3800002630,313,0.0007
3800002630,314,0.0006
3800002630,321,0.0015
3800002630,322,0.0001
3800002630,323,0.0004
3800002630,324,0.0
3800002630,325,0.0013
3800002630,326,0.0003
3800002630,327,0.0003
3800002630,331,0.0003
3800002630,332,0.0005
3800002630,333,0.0003
3800002630,334,0.0002
3800002630,335,0.0006
3800002630,336,0.0
3800002630,337,0.0003
3800002630,339,0.0007
3800002630,423,0.0003
3800002630,424,0.0003
3800002630,425,0.0003
3800002630,441,0.0004
3800002630,443,0.0006
3800002630,444,0.0007
3800002630,445,0.002
3800002630,446,0.0007
3800002630,447,0.0007
3800002630,448,0.0006
3800002630,451,0.0003
3800002630,452,0.0018
3800002630,453,0.0011
3800002630,454,0.0005
3800002630,481,0.0229
