jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Idaho,2020-04-28,"Agency 01, Title 01, Chapter 01",01 01 01 idaho accountancy rules,idaho state board of accountancy,idaho state board of accountancy,"Industry, Commerce, and Development",3800000001,15,9379,0,2,7,0,6,14.0,9.1,8.34597875569044,37.42871250462906
Idaho,2020-04-28,"Agency 02, Title 01, Chapter 03",02 01 03 airborne control of unprotected or predatory animals rules,administration division rules,department of agriculture,"Industry, Commerce, and Development",3800000008,23,1402,5,4,0,5,9,10.0,7.69,4.827586206896552,39.384
Idaho,2020-04-28,"Agency 02, Title 01, Chapter 04",02 01 04 rules governing the voluntary idaho preferred promotion program,administration division rules,department of agriculture,"Industry, Commerce, and Development",3800000009,33,3627,23,8,1,1,0,10.0,8.33,5.9620596205962055,39.35219283562103
Idaho,2020-04-28,"Agency 02, Title 01, Chapter 05",02 01 05 rules governing certificates of free sale,administration division rules,department of agriculture,"Industry, Commerce, and Development",3800000010,2,711,0,2,0,0,0,6.0,7.1,3.7037037037037033,40.292364990689016
Idaho,2020-04-28,"Agency 02, Title 01, Chapter 06",rules governing the labeling of hemp receptacles,administration division rules,department of agriculture,"Industry, Commerce, and Development",3800000011,12,1349,4,4,0,0,4,8.0,7.5,0.5988023952095809,35.0622009569378
Idaho,2020-04-28,"Agency 02, Title 02, Chapter 02",02 02 02 rules governing apple grading and storage,ag inspections division rules,department of agriculture,"Industry, Commerce, and Development",3800000013,32,8448,10,7,1,0,14,16.0,8.73,16.731517509727624,32.26453568476164
Idaho,2020-04-28,"Agency 02, Title 02, Chapter 05",02 02 05 rules governing stone fruit grades,ag inspections division rules,department of agriculture,"Industry, Commerce, and Development",3800000014,4,3195,2,0,0,0,2,10.0,8.06,12.084592145015106,31.839398734177216
Idaho,2020-04-28,"Agency 02, Title 02, Chapter 07",02 02 07 rules governing bulk permits and retail sale of potatoes,ag inspections division rules,department of agriculture,"Industry, Commerce, and Development",3800000015,12,1139,4,2,0,0,6,10.0,7.92,4.273504273504273,39.05252100840336
Idaho,2020-04-28,"Agency 02, Title 02, Chapter 11",02 02 11 rules governing eggs and egg products,animals division rules,department of agriculture,"Industry, Commerce, and Development",3800000023,80,6916,1,68,9,0,2,14.0,8.73,11.332007952286284,29.832715008431705
Idaho,2020-04-28,"Agency 02, Title 02, Chapter 12",02 02 12 bonded warehouse rules,ag inspections division rules,department of agriculture,"Industry, Commerce, and Development",3800000016,60,6049,51,3,0,0,6,13.0,8.7,10.022271714922049,37.72765712089179
