jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Illinois,2020-04-07,"Title 11, Part 100",the illinois liquor control commission,liquor control commission,alcohol horse racing lottery and video gaming,"Industry, Commerce, and Development",4800049037,313,20250,199,63,15,15,21,36.0,9.6,26.15658362989324,35.07736075585948
Illinois,2020-04-07,"Title 11, Part 1302",licensing,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049091,7,570,7,0,0,0,0,47.0,7.02,33.33333333333333,33.56521739130435
Illinois,2020-04-07,"Title 11, Part 1303",violations,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049092,12,651,11,0,0,1,0,45.0,6.89,28.57142857142857,34.43979933110368
Illinois,2020-04-07,"Title 11, Part 1305",race track operators and their duties,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049093,79,3861,66,11,0,0,2,43.0,8.13,23.59550561797753,33.469966629588434
Illinois,2020-04-07,"Title 11, Part 1306",race officials,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049094,81,3475,72,2,1,3,3,28.0,8.21,16.528925619834713,31.0909915356711
Illinois,2020-04-07,"Title 11, Part 1307",identification of horses,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049095,3,237,2,1,0,0,0,46.0,6.24,20.0,39.86255924170616
Illinois,2020-04-07,"Title 11, Part 1308",racing farm corporate or stable name,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049096,18,581,15,1,0,0,2,27.0,6.67,19.047619047619047,35.04051565377532
Illinois,2020-04-07,"Title 11, Part 1309",eligibility and qualification for races,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049097,23,1427,16,4,0,2,1,42.0,7.17,30.303030303030305,38.72631578947368
Illinois,2020-04-07,"Title 11, Part 1311",stakes and futurities,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049098,13,532,12,0,0,0,1,44.0,6.86,33.33333333333333,32.521126760563384
Illinois,2020-04-07,"Title 11, Part 1312",entries and declarations,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049099,127,5179,104,14,0,0,9,39.0,8.21,61.53846153846154,30.16931864545084
Illinois,2020-04-07,"Title 11, Part 1313",general licensee rules,racing board,alcohol horse racing lottery and video gaming,"Culture, Recreation, and the Arts",4800049100,60,1698,54,4,0,2,0,27.0,8.0,14.285714285714285,30.20791457286432
