jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Indiana,2020-06-03,"Title 100, Article 3",airports,department of transportation,,Transportation,3500000164,0,151,0,0,0,0,0,16.0,5.2,0.0,53.93396226415094
Indiana,2020-06-03,"Title 105, Article 1",procedural requirements,indiana department of transportation,,Transportation,3500000165,35,3165,23,8,0,0,4,26.0,7.83,19.166666666666668,34.087990487514865
Indiana,2020-06-03,"Title 105, Article 10",oversize and or overweight vehicular permits for highways,indiana department of transportation,,Transportation,3500000173,57,4887,53,3,1,0,0,30.0,8.11,8.176100628930817,32.76493814161621
Indiana,2020-06-03,"Title 105, Article 11",prequalification of contractors and bidding,indiana department of transportation,,Transportation,3500000174,126,16772,51,51,6,2,16,32.0,8.44,28.235294117647054,35.66714135811722
Indiana,2020-06-03,"Title 105, Article 12",procurement of supplies and services,indiana department of transportation,,Transportation,3500000175,64,9821,35,15,2,1,11,34.0,7.5,15.302491103202849,33.048411270983216
Indiana,2020-06-03,"Title 105, Article 13",utility facility relocations on construction contracts,indiana department of transportation,,Transportation,3500000176,52,4771,41,1,0,0,10,26.0,7.5,18.64406779661017,35.13773796192609
Indiana,2020-06-03,"Title 105, Article 14",105 14 toll roads,indiana department of transportation,,Transportation,3500000177,0,26,0,0,0,0,0,6.0,4.37,0.0,44.294117647058826
Indiana,2020-06-03,"Title 105, Article 2",aircraft operation,indiana department of transportation,,Transportation,3500000166,14,1618,12,0,0,0,2,27.0,6.81,1.7241379310344829,37.51341350601295
Indiana,2020-06-03,"Title 105, Article 3",airports,indiana department of transportation,,Transportation,3500000167,156,15456,99,38,2,1,16,36.0,8.38,15.402843601895736,36.36185961410512
Indiana,2020-06-03,"Title 105, Article 4",lighter than air aircraft,indiana department of transportation,,Transportation,3500000168,19,1199,14,1,0,0,4,28.0,7.34,11.904761904761903,34.58064516129032
Indiana,2020-06-03,"Title 105, Article 5",railroads,indiana department of transportation,,Transportation,3500000169,341,32713,292,17,7,0,25,32.0,8.53,19.262295081967213,35.10871948990781
Indiana,2020-06-03,"Title 105, Article 6",general provisions for highways,indiana department of transportation,,Transportation,3500000170,9,586,4,0,0,2,3,32.0,7.04,22.22222222222222,38.84375
Indiana,2020-06-03,"Title 105, Article 7",permits for highways,indiana department of transportation,,Transportation,3500000171,317,36590,239,31,5,8,34,25.0,9.2,14.49067431850789,30.99798707834161
Indiana,2020-06-03,"Title 105, Article 9",traffic control devices for highways,indiana department of transportation,,Transportation,3500000172,99,15065,60,27,2,6,4,13.0,8.2,4.055299539170507,32.735033885542165
Indiana,2020-06-03,"Title 10, Article 1-5",unclaimed property,office of attorney general for the state,,"Security, Justice, and Corrections",3500000001,82,8565,52,19,2,1,8,35.0,7.8,23.93162393162393,30.51812101415461
Indiana,2020-06-03,"Title 10, Article 2",contract approval,office of attorney general for the state,,"Security, Justice, and Corrections",3500000002,14,2200,6,6,0,0,2,43.0,7.42,20.0,35.187930121757546
Indiana,2020-06-03,"Title 10, Article 3",tort claims,office of attorney general for the state,,"Security, Justice, and Corrections",3500000003,7,1754,4,3,0,0,0,31.0,8.37,45.614035087719294,32.65765171503958
Indiana,2020-06-03,"Title 10, Article 4",athlete agents,office of attorney general for the state,,"Security, Justice, and Corrections",3500000004,8,1173,7,0,0,0,1,25.0,6.23,2.272727272727273,31.25578034682081
Indiana,2020-06-03,"Title 10, Article 5",release of social security numbers by state agencies,office of attorney general for the state,,"Security, Justice, and Corrections",3500000005,2,1037,2,0,0,0,0,24.0,6.78,4.651162790697675,33.318548387096776
Indiana,2020-06-03,"Title 10, Article 6",tobacco enforcement,office of attorney general for the state,,"Security, Justice, and Corrections",3500000006,19,1897,10,4,0,1,4,27.0,6.92,10.44776119402985,37.11361981063365
Indiana,2020-06-03,"Title 10, Article 7",tax sale blight registry,office of attorney general for the state,,"Security, Justice, and Corrections",3500000007,8,1305,7,0,0,1,0,21.0,6.51,1.694915254237288,33.39774011299435
Indiana,2020-06-03,"Title 11, Article 1",telephone solicitations,consumer protection division of the office of the attorney general,,"Security, Justice, and Corrections",3500000008,12,2593,6,2,0,0,4,39.0,7.0,4.761904761904762,33.46021751574127
Indiana,2020-06-03,"Title 11, Article 2",provision of listing of telephone numbers not to be solicited,consumer protection division of the office of the attorney general,,"Security, Justice, and Corrections",3500000009,30,4062,24,1,1,2,2,39.0,6.87,9.090909090909092,32.74173628768616
Indiana,2020-06-03,"Title 11, Article 3",professional fundraiser consultants and professional solicitors,consumer protection division of the office of the attorney general,,"Security, Justice, and Corrections",3500000010,19,3971,10,4,0,1,4,38.0,6.68,16.666666666666664,34.53338306602014
Indiana,2020-06-03,"Title 120, Article 2",permits,department of highways,,Transportation,3500000178,3,1586,0,0,0,1,2,14.0,5.42,0.9259259259259258,46.7940234791889
Indiana,2020-06-03,"Title 120, Article 4",traffic control devices,department of highways,,Transportation,3500000179,0,196,0,0,0,0,0,19.0,5.49,0.0,44.58955223880597
Indiana,2020-06-03,"Title 130, Article 2",applicability and definitions,ports of indiana,,Transportation,3500000180,1,1440,1,0,0,0,0,28.0,6.37,2.0,30.65509259259259
Indiana,2020-06-03,"Title 130, Article 3",traffic control,ports of indiana,,Transportation,3500000181,45,3644,38,1,1,5,0,36.0,7.51,37.37373737373738,27.025865082139116
Indiana,2020-06-03,"Title 130, Article 4",port use,ports of indiana,,Transportation,3500000182,57,3712,42,5,0,7,3,33.0,7.4,11.818181818181818,29.364363636363635
Indiana,2020-06-03,"Title 135, Article 2",general provisions,indiana finance authority,,Taxes and Public Finance,3500000183,152,14747,121,11,2,8,10,32.0,7.85,12.612612612612612,29.24182300363422
Indiana,2020-06-03,"Title 135, Article 2-5",public private agreements for indiana east west toll road,indiana finance authority,,Taxes and Public Finance,3500000184,22,6089,20,0,1,0,1,64.0,7.77,14.864864864864863,33.27535701208349
Indiana,2020-06-03,"Title 135, Article 4",tolls and toll enforcement on the ohio river bridges,indiana finance authority,,Taxes and Public Finance,3500000185,51,6396,43,2,0,0,6,29.0,8.02,5.504587155963304,35.117421335379895
Indiana,2020-06-03,"Title 140, Article 1",safety and responsibility,bureau of motor vehicles,,Transportation,3500000186,123,12258,90,22,0,0,11,42.0,8.54,18.59649122807017,32.924274672342335
Indiana,2020-06-03,"Title 140, Article 2",excise tax and registration,bureau of motor vehicles,,Transportation,3500000187,19,3604,14,3,1,0,1,22.0,7.26,8.280254777070063,30.35223160434258
Indiana,2020-06-03,"Title 140, Article 3",special sales,bureau of motor vehicles,,Transportation,3500000188,0,246,0,0,0,0,0,14.0,5.86,0.0,32.3719512195122
Indiana,2020-06-03,"Title 140, Article 3-5",dealer plates,bureau of motor vehicles,,Transportation,3500000189,0,920,0,0,0,0,0,15.0,5.58,0.0,34.38929889298893
Indiana,2020-06-03,"Title 140, Article 4",driver examiner division,bureau of motor vehicles,,Transportation,3500000190,90,7787,47,32,2,0,9,28.0,8.31,18.84057971014493,32.834938985228
Indiana,2020-06-03,"Title 140, Article 6",titles,bureau of motor vehicles,,Transportation,3500000191,26,2967,0,23,1,0,2,27.0,7.43,12.962962962962962,30.571044374719857
Indiana,2020-06-03,"Title 140, Article 7",driver s license division,bureau of motor vehicles,,Transportation,3500000192,141,12766,30,83,7,1,20,31.0,8.62,11.25,32.82248234497436
Indiana,2020-06-03,"Title 140, Article 8",license branches,bureau of motor vehicles,,Transportation,3500000193,10,2928,9,0,0,0,1,11.0,6.79,2.05761316872428,35.1412987012987
Indiana,2020-06-03,"Title 140, Article 9",watercraft,bureau of motor vehicles,,Transportation,3500000194,7,3310,6,1,0,0,0,16.0,6.49,0.0,32.46800382043935
Indiana,2020-06-03,"Title 170, Article 1",general provisions,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000195,338,30726,222,64,9,3,40,25.0,9.01,16.050420168067227,33.68256093239359
Indiana,2020-06-03,"Title 170, Article 10",preservation of records,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000204,0,934,0,0,0,0,0,33.0,6.96,3.571428571428571,36.2990264255911
Indiana,2020-06-03,"Title 170, Article 11",combination gas and electric private utilities,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000205,0,243,0,0,0,0,0,30.0,6.56,0.0,42.5925925925926
Indiana,2020-06-03,"Title 170, Article 14",small utilities,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000206,24,2647,13,7,0,0,4,42.0,7.47,27.41935483870968,31.07097715119105
Indiana,2020-06-03,"Title 170, Article 15",landlord distributing water or sewage disposal service,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000207,20,3343,18,0,1,0,1,28.0,7.28,21.1864406779661,30.66831119544592
Indiana,2020-06-03,"Title 170, Article 16",customer complaints,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000208,23,1980,18,4,0,0,1,29.0,7.5,20.588235294117645,33.58080194410692
Indiana,2020-06-03,"Title 170, Article 17-1",indiana voluntary clean energy portfolio standard program,indiana utility regulatory commission,,"Environmental Protection, Public Utilities, and Natural Resources",3500000209,40,5569,27,9,0,0,4,34.0,7.57,17.088607594936708,36.79981356327197
