jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Iowa,2020-05-07,"Agency 350, Chapter 1",rules applicable to all chapters,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003407,0,137,0,0,0,0,0,16.0,5.71,11.11111111111111,39.27272727272727
Iowa,2020-05-07,"Agency 350, Chapter 2",organization of office of energy independence,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003408,0,339,0,0,0,0,0,19.0,6.42,0.0,39.51535836177474
Iowa,2020-05-07,"Agency 350, Chapter 3",iowa power fund board and due diligence committee,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003409,15,983,15,0,0,0,0,17.0,7.32,9.090909090909092,34.44382647385984
Iowa,2020-05-07,"Agency 350, Chapter 4",iowa power fund financial assistance,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003410,43,2901,32,8,1,0,2,16.0,8.17,12.790697674418606,39.41333333333333
Iowa,2020-05-07,"Agency 350, Chapter 5",energy efficiency community grant program,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003411,7,555,6,1,0,0,0,17.0,6.91,0.0,39.32127659574468
Iowa,2020-05-07,"Agency 350, Chapter 51",public records and fair information practices,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003412,44,3192,30,4,0,2,8,24.0,7.76,27.906976744186046,32.55540853456831
Iowa,2020-05-07,"Agency 350, Chapter 55",uniform waiver and variance rules,office of energy independence,office of energy independence,"Environmental Protection, Public Utilities, and Natural Resources",10500003416,28,2497,22,3,0,0,3,31.0,7.73,31.64556962025317,32.094732370433306
Iowa,2020-05-07,"Agency 351, Chapter 3",iowa election campaign fund,ethics and campaign disclosure board iowa,ethics and campaign disclosure board iowa,Administration,10500003419,40,2051,36,3,0,1,0,21.0,7.55,10.416666666666668,31.179403794037945
Iowa,2020-05-07,"Agency 441, Chapter 186",community care,human services department,human services department,Social Assistance,10500003622,12,1009,12,0,0,0,0,22.0,7.04,15.217391304347828,35.577510917030565
Iowa,2020-05-07,"Agency 597, Chapter 1",general description,prevention of disabilities policy council,prevention of disabilities policy council,Social Assistance,10500004060,0,156,0,0,0,0,0,30.0,5.88,0.0,42.58571428571429
Iowa,2020-05-07,"Agency 597, Chapter 2",organization and operations,prevention of disabilities policy council,prevention of disabilities policy council,Social Assistance,10500004061,26,1565,24,0,0,0,2,20.0,7.7,10.38961038961039,35.8362738179252
Iowa,2020-05-07,"Agency 597, Chapter 3",public records and fair information practices,prevention of disabilities policy council,prevention of disabilities policy council,Social Assistance,10500004062,0,201,0,0,0,0,0,16.0,5.95,7.6923076923076925,30.841463414634145
