jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Kansas,2020-04-28,"Agency 100, Article 1",board of healing arts,kansas state board of healing arts,,Health Services,1700000786,2,40,2,0,0,0,0,8.0,4.62,0.0,27.41935483870968
Kansas,2020-04-28,"Agency 100, Article 10a",exempt license,kansas state board of healing arts,,Health Services,1700000795,21,1024,15,2,0,0,4,14.0,7.25,15.714285714285714,34.12910532276331
Kansas,2020-04-28,"Agency 100, Article 11",fees,kansas state board of healing arts,,Health Services,1700000796,1,521,1,0,0,0,0,26.0,6.47,0.0,31.58204334365325
Kansas,2020-04-28,"Agency 100, Article 12",records,kansas state board of healing arts,,Health Services,1700000797,5,111,4,0,0,0,1,13.0,5.64,0.0,31.13793103448276
Kansas,2020-04-28,"Agency 100, Article 13",records,kansas state board of healing arts,,Health Services,1700000798,5,111,4,0,0,0,1,13.0,5.64,0.0,31.13793103448276
Kansas,2020-04-28,"Agency 100, Article 15",license renewal continuing education,kansas state board of healing arts,,Health Services,1700000799,38,1697,34,0,0,0,4,24.0,7.74,5.714285714285714,37.35737077217613
Kansas,2020-04-28,"Agency 100, Article 16",revocation,kansas state board of healing arts,,Health Services,1700000800,0,50,0,0,0,0,0,8.0,4.84,16.666666666666664,25.0
Kansas,2020-04-28,"Agency 100, Article 19",administrative procedures,kansas state board of healing arts,,Health Services,1700000801,5,346,4,1,0,0,0,20.0,6.68,5.88235294117647,42.72549019607843
Kansas,2020-04-28,"Agency 100, Article 2",officers,kansas state board of healing arts,,Health Services,1700000787,6,197,5,0,0,0,1,9.0,5.82,10.0,30.89880952380953
Kansas,2020-04-28,"Agency 100, Article 21",dispensing physicians,kansas state board of healing arts,,Health Services,1700000802,19,646,17,0,0,0,2,16.0,7.05,7.5,37.01880341880342
Kansas,2020-04-28,"Agency 100, Article 22",dishonorable conduct,kansas state board of healing arts,,Health Services,1700000803,35,2148,33,0,0,1,1,19.0,8.01,8.928571428571429,34.73863068465767
Kansas,2020-04-28,"Agency 100, Article 23",treatment of obesity,kansas state board of healing arts,,Health Services,1700000804,12,491,12,0,0,0,0,23.0,6.95,33.33333333333333,36.27702702702703
Kansas,2020-04-28,"Agency 100, Article 24",patient records,kansas state board of healing arts,,Health Services,1700000805,10,636,10,0,0,0,0,16.0,7.13,23.684210526315788,35.31681415929204
Kansas,2020-04-28,"Agency 100, Article 25",office requirements,kansas state board of healing arts,,Health Services,1700000806,60,3002,57,0,0,1,2,28.0,8.57,20.952380952380956,39.80916577157178
Kansas,2020-04-28,"Agency 100, Article 26",services rendered to individuals located in this state,kansas state board of healing arts,,Health Services,1700000807,4,787,4,0,0,0,0,22.0,7.06,8.571428571428571,34.3968253968254
Kansas,2020-04-28,"Agency 100, Article 27",light based medical treatment,kansas state board of healing arts,,Health Services,1700000808,16,705,9,0,0,1,6,28.0,7.17,28.000000000000004,35.40610687022901
Kansas,2020-04-28,"Agency 100, Article 28a",physician assistants,kansas state board of healing arts,,Health Services,1700000809,90,6003,72,0,0,1,17,25.0,8.37,17.167381974248926,41.21904761904762
Kansas,2020-04-28,"Agency 100, Article 28b",independent practice of midwifery,kansas state board of healing arts,,Health Services,1700000810,14,1554,14,0,0,0,0,21.0,8.02,11.11111111111111,36.795313576843554
Kansas,2020-04-28,"Agency 100, Article 29",physical therapy,kansas state board of healing arts,,Health Services,1700000811,155,6325,124,0,0,0,31,23.0,8.55,8.058608058608058,39.67795735900963
Kansas,2020-04-28,"Agency 100, Article 3",committees,kansas state board of healing arts,,Health Services,1700000788,1,77,1,0,0,0,0,10.0,5.22,14.285714285714285,33.25806451612903
Kansas,2020-04-28,"Agency 100, Article 31",officers,kansas state board of healing arts,,Health Services,1700000812,6,197,5,0,0,0,1,9.0,5.82,10.0,30.89880952380953
Kansas,2020-04-28,"Agency 100, Article 33",meetings,kansas state board of healing arts,,Health Services,1700000813,6,300,6,0,0,0,0,13.0,6.19,9.090909090909092,28.41509433962264
Kansas,2020-04-28,"Agency 100, Article 4",vacancies,kansas state board of healing arts,,Health Services,1700000789,6,161,6,0,0,0,0,14.0,5.45,18.181818181818183,26.52413793103448
Kansas,2020-04-28,"Agency 100, Article 5",meetings,kansas state board of healing arts,,Health Services,1700000790,6,300,6,0,0,0,0,13.0,6.19,9.090909090909092,28.41509433962264
Kansas,2020-04-28,"Agency 100, Article 54",occupational therapy,kansas state board of healing arts,,Health Services,1700000814,81,4075,69,2,0,0,10,23.0,8.43,6.285714285714287,42.64470145239376
Kansas,2020-04-28,"Agency 100, Article 55",respiratory therapy,kansas state board of healing arts,,Health Services,1700000815,70,3207,53,0,0,0,17,24.0,8.43,5.343511450381679,38.63586015922465
Kansas,2020-04-28,"Agency 100, Article 6",licenses,kansas state board of healing arts,,Health Services,1700000791,61,2243,58,1,0,0,2,22.0,8.33,10.1010101010101,37.69900142653352
Kansas,2020-04-28,"Agency 100, Article 69",athletic training,kansas state board of healing arts,,Health Services,1700000816,63,3088,57,0,0,0,6,26.0,8.59,7.563025210084033,39.37094499294781
Kansas,2020-04-28,"Agency 100, Article 7",examinations,kansas state board of healing arts,,Health Services,1700000792,11,648,11,0,0,0,0,24.0,6.22,7.4074074074074066,37.408127208480565
Kansas,2020-04-28,"Agency 100, Article 72",naturopathy,kansas state board of healing arts,,Health Services,1700000817,40,3312,35,0,0,0,5,35.0,8.68,9.67741935483871,40.10073382254837
Kansas,2020-04-28,"Agency 100, Article 73",radiologic technologists,kansas state board of healing arts,,Health Services,1700000818,53,2869,47,0,0,0,6,24.0,8.31,6.837606837606838,39.91734260332174
Kansas,2020-04-28,"Agency 100, Article 75",contact lenses,kansas state board of healing arts,,Health Services,1700000819,1,50,1,0,0,0,0,9.0,4.96,0.0,34.38709677419355
Kansas,2020-04-28,"Agency 100, Article 76",acupuncturists,kansas state board of healing arts,,Health Services,1700000820,81,4102,73,0,0,1,7,21.0,8.55,7.253886010362693,39.53093060785368
Kansas,2020-04-28,"Agency 100, Article 77",telemedicine,kansas state board of healing arts,,Health Services,1700000821,3,208,3,0,0,0,0,10.0,5.86,0.0,38.74842767295598
Kansas,2020-04-28,"Agency 100, Article 78",business entities,kansas state board of healing arts,,Health Services,1700000822,4,128,4,0,0,0,0,10.0,5.42,0.0,43.0
Kansas,2020-04-28,"Agency 100, Article 8",license by endorsement,kansas state board of healing arts,,Health Services,1700000793,6,738,4,0,0,0,2,20.0,7.6,2.7777777777777777,35.64653902798233
Kansas,2020-04-28,"Agency 100, Article 9",temporary license,kansas state board of healing arts,,Health Services,1700000794,0,63,0,0,0,0,0,7.0,5.16,0.0,31.630434782608692
Kansas,2020-04-28,"Agency 102, Article 1",certification of psychologists,behavioral sciences regulatory board,,Health Services,1700000823,200,12832,170,0,3,0,27,31.0,9.14,16.46489104116223,41.03033095936322
Kansas,2020-04-28,"Agency 102, Article 2",licensing of social workers,behavioral sciences regulatory board,,Health Services,1700000824,267,14836,227,0,1,0,39,32.0,8.99,15.869565217391305,38.06224696356275
Kansas,2020-04-28,"Agency 102, Article 3",professional counselors fees,behavioral sciences regulatory board,,Health Services,1700000825,183,13018,153,1,1,0,28,37.0,9.09,21.57434402332361,41.655304888017
