jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Louisiana,2020-05-11,"Title 10, Part I, Chapter 11",premises,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000187,5,263,5,0,0,0,0,22.0,6.66,0.0,33.920833333333334
Louisiana,2020-05-11,"Title 10, Part I, Chapter 13",powers of homesteads and building and loan associations,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000188,1,154,1,0,0,0,0,15.0,5.96,0.0,35.54545454545455
Louisiana,2020-05-11,"Title 10, Part I, Chapter 15",louisiana trust company,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000189,2,598,1,1,0,0,0,16.0,7.06,0.0,38.01119402985075
Louisiana,2020-05-11,"Title 10, Part I, Chapter 3",fees and assessments,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000183,4,1126,2,1,0,0,1,18.0,7.34,6.666666666666667,35.933004926108374
Louisiana,2020-05-11,"Title 10, Part I, Chapter 5",applications and notices,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000184,41,2729,21,12,0,2,6,19.0,8.12,8.571428571428571,41.13258003766478
Louisiana,2020-05-11,"Title 10, Part I, Chapter 7",powers,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000185,37,2413,27,1,1,3,5,17.0,8.15,8.333333333333332,38.72948328267477
Louisiana,2020-05-11,"Title 10, Part I, Chapter 9",records retention,financial institutions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000186,1,153,1,0,0,0,0,19.0,6.22,12.5,44.40816326530612
Louisiana,2020-05-11,"Title 10, Part III, Chapter 11",louisiana international banking,banking,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000193,2,423,1,1,0,0,0,16.0,6.89,0.0,41.52879581151832
Louisiana,2020-05-11,"Title 10, Part III, Chapter 3",powers,banking,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000190,132,7667,93,31,0,0,8,17.0,9.08,9.1324200913242,35.21851599727706
Louisiana,2020-05-11,"Title 10, Part III, Chapter 5",subsidiary mortgage corporation,banking,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000191,18,959,15,1,0,2,0,15.0,6.76,9.230769230769232,39.98409090909091
Louisiana,2020-05-11,"Title 10, Part III, Chapter 7",directors examination requirements,banking,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000192,32,5307,15,11,0,0,6,16.0,8.95,11.11111111111111,40.87192307692308
Louisiana,2020-05-11,"Title 10, Part IX, Chapter 1",general provisions,credit unions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000198,7,718,7,0,0,0,0,30.0,6.35,,25.926916221033867
Louisiana,2020-05-11,"Title 10, Part IX, Chapter 3",credit union service organizations,credit unions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000199,19,1747,4,11,3,1,0,20.0,7.61,8.045977011494253,38.12514827995255
Louisiana,2020-05-11,"Title 10, Part IX, Chapter 5",criteria to organize within residential groups and add associational groups,credit unions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000200,34,3136,13,17,4,0,0,21.0,8.41,14.56953642384106,37.07592838196287
Louisiana,2020-05-11,"Title 10, Part V, Chapter 15",related organizations and services,thrifts,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000195,19,1565,19,0,0,0,0,24.0,8.17,18.75,42.96313993174061
Louisiana,2020-05-11,"Title 10, Part V, Chapter 5",mutual to stock conversion,thrifts,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000194,29,1634,28,0,0,0,1,19.0,7.58,11.76470588235294,37.50097339390007
Louisiana,2020-05-11,"Title 10, Part VII, Chapter 3",conversions,savings banks,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000196,242,14335,209,12,1,5,15,24.0,9.05,19.69178082191781,35.606145451934815
Louisiana,2020-05-11,"Title 10, Part VII, Chapter 5",mutual holding company reorganizations,savings banks,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000197,95,6412,76,3,0,1,15,28.0,8.35,23.24561403508772,35.88950186597436
Louisiana,2020-05-11,"Title 10, Part XI, Chapter 11",lender education,consumer credit,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000203,10,1279,7,0,1,1,1,15.0,7.47,9.523809523809524,35.180530973451326
Louisiana,2020-05-11,"Title 10, Part XI, Chapter 7",powers,consumer credit,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000201,0,144,0,0,0,0,0,20.0,5.94,42.85714285714285,33.5735294117647
Louisiana,2020-05-11,"Title 10, Part XI, Chapter 9",additional fees and charges,consumer credit,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000202,11,877,11,0,0,0,0,23.0,7.27,8.108108108108109,35.20883054892602
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 1",general requirements,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000204,90,5030,72,1,0,0,17,17.0,8.45,19.655172413793103,38.08861822763545
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 11",stock exchanges,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000210,42,7211,30,5,1,0,6,17.0,9.31,18.705035971223023,34.3562091503268
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 12",dishonest or unethical practices,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000211,7,2524,5,0,0,1,1,83.0,8.33,,38.17796958487464
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 13",investment adviser registration procedure,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000212,5,531,5,0,0,0,0,15.0,6.93,0.0,51.126106194690266
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 17",dealer and investment adviser recordkeeping requirements,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000213,12,566,8,0,0,0,4,19.0,6.81,24.13793103448276,36.78714859437751
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 19",supervision of salesmen and investment adviser representatives,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000214,6,335,4,0,0,0,2,24.0,6.73,0.0,45.19551282051282
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 3",form and content of prospectus,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000205,38,1760,27,3,1,0,7,18.0,7.89,13.26530612244898,37.45856019358742
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 5",standards of qualification,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000206,83,6898,64,7,2,0,10,29.0,8.92,31.09243697478992,36.47386448250186
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 7",private offering exemptions,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000207,41,3126,32,0,2,0,7,33.0,8.5,20.43010752688172,35.00539447066757
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 8",compensatory benefit plans,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000208,0,142,0,0,0,0,0,22.0,6.22,16.666666666666664,39.76984126984127
Louisiana,2020-05-11,"Title 10, Part XIII, Chapter 9",oil and gas auction,investment securities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000209,7,638,4,2,0,1,0,18.0,7.23,22.22222222222222,34.405492730210014
Louisiana,2020-05-11,"Title 10, Part XIX, Chapter 1",secured transactions,uniform commercial code,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000226,65,5036,20,31,1,0,13,17.0,7.96,15.753424657534246,32.61536815068493
Louisiana,2020-05-11,"Title 10, Part XIX, Chapter 2",internal revenue service tax liens,uniform commercial code,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000227,2,261,2,0,0,0,0,10.0,6.24,0.0,32.304545454545455
Louisiana,2020-05-11,"Title 10, Part XIX, Chapter 3",central registry,uniform commercial code,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000228,59,4240,38,15,0,0,6,18.0,8.45,8.695652173913043,34.479382747280546
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 1",business and industrial development corporations,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000215,22,2081,18,1,0,0,3,25.0,8.22,9.63855421686747,40.20766129032258
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 11",money transmitters,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000219,3,307,3,0,0,0,0,19.0,6.77,0.0,39.784946236559136
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 13",repossession agents,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000220,108,5888,95,1,2,0,10,24.0,8.83,18.0327868852459,37.97941437444543
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 15",licensure,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000221,4,547,3,0,0,1,0,9.0,6.61,3.571428571428571,35.58860759493671
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 17",louisiana community development financial institution program,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000222,107,7757,86,5,4,0,12,24.0,9.08,16.149068322981368,36.72749358887839
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 3",capital companies tax credit program,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000216,233,15531,190,12,6,0,25,26.0,9.05,18.70748299319728,36.60809611577582
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 5",debt collection agencies,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000217,2,521,1,0,0,0,1,14.0,6.99,2.7777777777777777,40.32231404958678
Louisiana,2020-05-11,"Title 10, Part XV, Chapter 9",bond for deed escrow agents,other regulated entities,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000218,71,2997,52,7,2,0,10,24.0,8.26,18.0327868852459,35.81500872600349
Louisiana,2020-05-11,"Title 10, Part XVII, Chapter 1",reserved chapter 5 procedures,miscellaneous provisions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000223,15,1022,13,2,0,0,0,27.0,7.72,21.62162162162162,36.14979338842975
Louisiana,2020-05-11,"Title 10, Part XVII, Chapter 7",college campus credit card solicitation,miscellaneous provisions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000224,3,283,2,1,0,0,0,15.0,6.52,5.555555555555555,36.41287878787879
Louisiana,2020-05-11,"Title 10, Part XVII, Chapter 9",records retention,miscellaneous provisions,financial institutions consumer credit investment securities and ucc,"Banking, Insurance, and Securities",2000000225,1,297,1,0,0,0,0,24.0,7.08,16.666666666666664,41.79770992366412
Louisiana,2020-05-11,"Title 13, Part I, Chapter 1",general provisions,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000229,57,1772,56,1,0,0,0,14.0,7.54,9.01639344262295,31.451764705882358
Louisiana,2020-05-11,"Title 13, Part I, Chapter 11",quality jobs program,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000234,129,7927,83,30,1,1,14,22.0,8.97,15.53672316384181,34.30864864864865
Louisiana,2020-05-11,"Title 13, Part I, Chapter 13",louisiana biomedical research and development park program,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000235,38,2221,23,13,1,0,1,17.0,7.95,8.527131782945736,38.15864697474988
Louisiana,2020-05-11,"Title 13, Part I, Chapter 15",louisiana university research and development parks program,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000236,60,3515,40,18,1,0,1,19.0,8.28,9.836065573770492,37.784806384865504
Louisiana,2020-05-11,"Title 13, Part I, Chapter 17",industry assistance program,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000237,39,3093,26,8,0,0,5,26.0,8.35,9.166666666666666,40.05350938151494
Louisiana,2020-05-11,"Title 13, Part I, Chapter 19",tax equalization program,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000238,71,4101,52,15,0,0,4,23.0,8.3,9.03954802259887,39.70353302611367
Louisiana,2020-05-11,"Title 13, Part I, Chapter 27",technology commercialization credit and jobs program,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000239,48,2961,34,13,0,0,1,22.0,8.15,5.384615384615385,39.43947655398037
Louisiana,2020-05-11,"Title 13, Part I, Chapter 29",research and development tax credit,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000240,40,3090,32,4,0,0,4,21.0,8.33,11.03448275862069,37.44238826815643
Louisiana,2020-05-11,"Title 13, Part I, Chapter 3",gaming ineligibility,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000230,6,1093,5,0,0,0,1,38.0,7.96,24.13793103448276,31.841908325537887
Louisiana,2020-05-11,"Title 13, Part I, Chapter 31",assessment of tax exempt pollution control equipment,financial incentive programs,economic development,"Industry, Commerce, and Development",2000000241,0,333,0,0,0,0,0,30.0,6.63,9.090909090909092,32.08150470219436
