jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Maine,2020-06-05,"Department 10, Division 118, Chapter 1",rules governing grants and purchase of service agreements,office of substance abuse and mental health services,department of health and human services,Health Services,1000000876,43,4478,10,25,3,0,5,20.0,9.35,16.517857142857142,35.94279807029635
Maine,2020-06-05,"Department 10, Division 118, Chapter 11",rules governing the controlled substances prescription monitoring program and prescription of opioid medications,office of substance abuse and mental health services,department of health and human services,Health Services,1000000881,91,6752,34,40,1,0,16,15.0,9.24,13.073394495412844,40.36798238716779
Maine,2020-06-05,"Department 10, Division 118, Chapter 19",rules governing community based overdose prevention programs,office of substance abuse and mental health services,department of health and human services,Health Services,1000000882,23,1630,5,17,0,0,1,20.0,7.76,10.38961038961039,44.38201530612245
Maine,2020-06-05,"Department 10, Division 118, Chapter 2",driver education and evaluation programs procedure manual,office of substance abuse and mental health services,department of health and human services,Health Services,1000000877,263,18539,182,16,5,1,59,23.0,9.38,19.176319176319176,37.6774120702309
Maine,2020-06-05,"Department 10, Division 118, Chapter 3",request for proposal policies,office of substance abuse and mental health services,department of health and human services,Health Services,1000000878,15,997,7,3,0,0,5,20.0,7.96,12.244897959183673,33.98306878306878
Maine,2020-06-05,"Department 10, Division 118, Chapter 5",regulations for licensing and certifying of substance abuse treatment programs,office of substance abuse and mental health services,department of health and human services,Health Services,1000000879,726,32480,571,97,5,1,52,14.0,9.77,9.090909090909092,42.3792270531401
Maine,2020-06-05,"Department 10, Division 118, Chapter 6",regulations for employee assistance programs for employers operating in the state of maine,office of substance abuse and mental health services,department of health and human services,Health Services,1000000880,53,1874,43,7,1,0,2,14.0,8.4,3.7037037037037033,40.10176991150443
Maine,2020-06-05,"Department 10, Division 144, Chapter 1",administrative hearings regulations,department of health and human services general,department of health and human services,Health Services,1000000696,145,10041,102,22,0,1,20,20.0,9.1,21.272365805168985,34.93326530612245
Maine,2020-06-05,"Department 10, Division 144, Chapter 10",grievance procedures for the handicapped,department of health and human services general,department of health and human services,Health Services,1000000699,12,467,9,1,0,2,0,23.0,7.19,20.0,39.69069767441861
Maine,2020-06-05,"Department 10, Division 144, Chapter 101",mainecare benefits manual,department of health and human services general,department of health and human services,Health Services,1000000708,6851,623199,1984,3871,248,20,728,25.0,11.11,18.157281315176053,38.098043555163656
Maine,2020-06-05,"Department 10, Division 144, Chapter 103",maine health program rules,department of health and human services general,department of health and human services,Health Services,1000000709,54,5214,8,33,0,0,13,18.0,8.74,21.03448275862069,38.79121807050876
Maine,2020-06-05,"Department 10, Division 144, Chapter 1041",administrative policies and procedures,department of health and human services general,department of health and human services,Health Services,1000000710,109,9666,39,50,7,0,13,23.0,9.26,23.64532019704433,39.07511480428602
Maine,2020-06-05,"Department 10, Division 144, Chapter 1042",maine drugs for the elderly benefit,department of health and human services general,department of health and human services,Health Services,1000000711,35,5199,5,21,3,0,6,22.0,8.56,17.699115044247787,39.47524541186513
Maine,2020-06-05,"Department 10, Division 144, Chapter 1043",maine rx plus benefit,department of health and human services general,department of health and human services,Health Services,1000000712,28,3054,7,17,1,0,3,21.0,8.35,14.5985401459854,39.90856731461483
Maine,2020-06-05,"Department 10, Division 144, Chapter 1044",maine part d wrap benefits,department of health and human services general,department of health and human services,Health Services,1000000713,14,2365,0,11,1,0,2,25.0,8.04,10.465116279069768,37.89246778989098
Maine,2020-06-05,"Department 10, Division 144, Chapter 1045",health insurance purchase options,department of health and human services general,department of health and human services,Health Services,1000000714,4,630,2,0,1,0,1,28.0,6.93,4.761904761904762,37.5615671641791
Maine,2020-06-05,"Department 10, Division 144, Chapter 1046",independent practice dental hygienist services,department of health and human services general,department of health and human services,Health Services,1000000715,8,1959,1,6,0,0,1,29.0,8.27,31.746031746031743,36.92660011743981
Maine,2020-06-05,"Department 10, Division 144, Chapter 1047",abortion services for mainecare members,department of health and human services general,department of health and human services,Health Services,1000000716,10,911,3,6,1,0,0,17.0,7.93,7.84313725490196,41.21186440677966
Maine,2020-06-05,"Department 10, Division 144, Chapter 1048",wholesale prescription drug importation program,department of health and human services general,department of health and human services,Health Services,1000000717,4,759,3,0,0,0,1,24.0,7.66,22.58064516129032,36.41935483870968
Maine,2020-06-05,"Department 10, Division 144, Chapter 105",catastrophic illness program,department of health and human services general,department of health and human services,Health Services,1000000718,2,502,1,1,0,0,0,28.0,6.76,11.76470588235294,39.372093023255815
Maine,2020-06-05,"Department 10, Division 144, Chapter 109",quality oversight for commercial hmos,department of health and human services general,department of health and human services,Health Services,1000000719,101,6687,81,6,0,0,14,27.0,8.72,18.025751072961373,42.66312292358804
Maine,2020-06-05,"Department 10, Division 144, Chapter 110",regulations governing the licensing and functioning of skilled nursing facilities and nursing facilities,department of health and human services general,department of health and human services,Health Services,1000000720,1032,46067,725,213,23,8,63,16.0,10.27,11.828358208955224,36.63486209108403
Maine,2020-06-05,"Department 10, Division 144, Chapter 112",regulations for the licensing of hospitals,department of health and human services general,department of health and human services,Health Services,1000000721,101,7124,24,68,3,0,6,18.0,8.95,12.295081967213116,37.22928802588997
Maine,2020-06-05,"Department 10, Division 144, Chapter 113",regulations governing the licensing and functioning of assisted housing programs,department of health and human services general,department of health and human services,Health Services,1000000722,4208,232040,2778,791,137,47,455,23.0,9.9,20.83022089424821,37.98175714705074
Maine,2020-06-05,"Department 10, Division 144, Chapter 114",rules governing the reporting of sentinel events,department of health and human services general,department of health and human services,Health Services,1000000723,50,9544,10,20,8,0,12,22.0,9.2,18.734177215189877,40.148977716517344
Maine,2020-06-05,"Department 10, Division 144, Chapter 115",principles of reimbursement for residential care facilities room and board costs,department of health and human services general,department of health and human services,Health Services,1000000724,204,20135,103,73,7,0,21,26.0,9.69,24.18478260869565,35.98231996550237
Maine,2020-06-05,"Department 10, Division 144, Chapter 116",regulations governing the filing and reviewing of provider agreement applications for boarding care facilities on a flat rate of reimbursement,department of health and human services general,department of health and human services,Health Services,1000000725,8,907,0,6,0,0,2,20.0,8.72,2.2222222222222223,45.85377358490566
Maine,2020-06-05,"Department 10, Division 144, Chapter 117",regulations governing the licensing and functioning of adult day services programs,department of health and human services general,department of health and human services,Health Services,1000000726,290,12089,215,54,2,3,16,21.0,9.31,16.727941176470587,38.286934165825
Maine,2020-06-05,"Department 10, Division 144, Chapter 118",regulations governing the licensing and functioning of intermediate care facilities for persons with mental retardation,department of health and human services general,department of health and human services,Health Services,1000000727,438,24275,157,249,6,7,19,16.0,9.77,11.1660777385159,36.81271453425495
Maine,2020-06-05,"Department 10, Division 144, Chapter 119",regulations governing the licensing and functioning of home health care services,department of health and human services general,department of health and human services,Health Services,1000000728,185,13381,110,57,4,0,14,18.0,9.17,11.911357340720222,37.49972356054024
Maine,2020-06-05,"Department 10, Division 144, Chapter 120",regulations concerning the licensing and functioning of hospice programs,department of health and human services general,department of health and human services,Health Services,1000000729,96,5301,51,38,0,0,7,14.0,8.91,11.049723756906078,38.6115668580804
Maine,2020-06-05,"Department 10, Division 144, Chapter 124",emergency medical services personnel reporting rule,department of health and human services general,department of health and human services,Health Services,1000000730,11,1255,0,4,1,0,6,23.0,7.75,15.09433962264151,40.7347789824854
Maine,2020-06-05,"Department 10, Division 144, Chapter 125",regulations governing the licensing of ambulatory surgical facilities,department of health and human services general,department of health and human services,Health Services,1000000731,95,4113,42,50,1,0,2,17.0,8.81,15.086206896551724,40.84239704329462
Maine,2020-06-05,"Department 10, Division 144, Chapter 126",regulations governing the licensing and functioning of end stage renal disease units facilities,department of health and human services general,department of health and human services,Health Services,1000000732,77,4398,43,27,0,0,7,15.0,8.82,12.05673758865248,37.738240311966855
Maine,2020-06-05,"Department 10, Division 144, Chapter 128",rules governing the maine registry of certified nursing assistants,department of health and human services general,department of health and human services,Health Services,1000000733,74,6839,18,31,6,7,12,12.0,8.56,9.30232558139535,35.7827285254938
Maine,2020-06-05,"Department 10, Division 144, Chapter 129",rules and regulations governing in home personal care and support workers,department of health and human services general,department of health and human services,Health Services,1000000734,19,1177,12,2,1,3,1,15.0,7.98,5.263157894736842,40.47482014388489
Maine,2020-06-05,"Department 10, Division 144, Chapter 130",epinephrine auto injector training and certification rule,department of health and human services general,department of health and human services,Health Services,1000000735,7,1002,1,3,1,0,2,18.0,7.73,1.8867924528301887,45.60660980810235
Maine,2020-06-05,"Department 10, Division 144, Chapter 150",free care guidelines,department of health and human services general,department of health and human services,Health Services,1000000736,52,3951,32,11,1,0,8,28.0,8.77,31.343283582089555,33.97716643741403
Maine,2020-06-05,"Department 10, Division 144, Chapter 2",community services block grant program,department of health and human services general,department of health and human services,Health Services,1000000697,159,9252,131,18,1,1,8,18.0,9.33,11.71875,35.48262985175965
Maine,2020-06-05,"Department 10, Division 144, Chapter 200",maine food code,department of health and human services general,department of health and human services,Health Services,1000000737,771,57575,581,20,95,6,69,34.0,10.44,33.047210300429185,35.88095601710446
Maine,2020-06-05,"Department 10, Division 144, Chapter 201",administration and enforcement of establishments regulated by the health inspection program,department of health and human services general,department of health and human services,Health Services,1000000738,105,12976,25,47,5,1,27,16.0,9.76,13.836477987421384,38.45742557791452
Maine,2020-06-05,"Department 10, Division 144, Chapter 202",rules relating to public swimming pools and spas,department of health and human services general,department of health and human services,Health Services,1000000739,182,10435,7,145,3,10,17,15.0,9.67,11.836115326251896,33.59948240165632
Maine,2020-06-05,"Department 10, Division 144, Chapter 203",rules relating to the sale and delivery of tobacco products in maine,department of health and human services general,department of health and human services,Health Services,1000000740,65,4520,32,12,9,4,8,19.0,8.61,14.893617021276595,32.0793875147232
Maine,2020-06-05,"Department 10, Division 144, Chapter 205",rules relating to campgrounds,department of health and human services general,department of health and human services,Health Services,1000000741,156,5341,138,4,1,2,11,13.0,9.12,10.126582278481012,33.49327539830333
Maine,2020-06-05,"Department 10, Division 144, Chapter 206",rules relating to lodging establishments,department of health and human services general,department of health and human services,Health Services,1000000742,160,5951,144,3,0,3,10,27.0,9.34,25.925925925925924,35.93015759312321
Maine,2020-06-05,"Department 10, Division 144, Chapter 208",rules relating to boys girls boys and girls day camps and primitive and trip camping,department of health and human services general,department of health and human services,Health Services,1000000743,295,10546,267,3,1,4,20,12.0,9.47,8.19672131147541,34.337976920677825
Maine,2020-06-05,"Department 10, Division 144, Chapter 209",rules relating to body piercing,department of health and human services general,department of health and human services,Health Services,1000000744,112,3018,99,3,0,2,8,14.0,8.79,8.878504672897195,35.09958506224066
Maine,2020-06-05,"Department 10, Division 144, Chapter 210",rules relating to tattooing,department of health and human services general,department of health and human services,Health Services,1000000745,128,3682,115,3,1,3,6,15.0,8.98,9.75609756097561,35.707674943566595
Maine,2020-06-05,"Department 10, Division 144, Chapter 211",rules relating to micropigmentation,department of health and human services general,department of health and human services,Health Services,1000000746,95,3216,77,13,1,1,3,13.0,8.76,7.723577235772358,41.435182146373485
Maine,2020-06-05,"Department 10, Division 144, Chapter 212",practice of electrology,department of health and human services general,department of health and human services,Health Services,1000000747,65,1768,59,2,0,2,2,9.0,8.51,8.854166666666668,36.12575941676792
Maine,2020-06-05,"Department 10, Division 144, Chapter 214",mass gatherings,department of health and human services general,department of health and human services,Health Services,1000000748,10,1682,8,0,0,0,2,10.0,8.31,13.372093023255813,37.55653266331658
Maine,2020-06-05,"Department 10, Division 144, Chapter 220",rules relating to radiation protection,department of health and human services general,department of health and human services,Health Services,1000000749,2889,207357,1948,421,31,16,473,28.0,10.35,21.459918080748977,36.4258161329596
Maine,2020-06-05,"Department 10, Division 144, Chapter 221",selection of volunteer personnel to establish maintain radiation monitoring program,department of health and human services general,department of health and human services,Health Services,1000000750,28,1785,26,0,0,2,0,17.0,8.37,4.807692307692308,38.12893462469734
Maine,2020-06-05,"Department 10, Division 144, Chapter 222",rules re public notification of radioactive emissions from nuclear power plant,department of health and human services general,department of health and human services,Health Services,1000000751,29,1490,21,7,0,0,1,14.0,8.18,10.185185185185183,37.19616204690831
