jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Maryland,2020-05-11,"Title 10, Subtitle 09, Chapter 78",establishment operation and authority for making capitated payments for dual eligibles enrolled in medicare advantage plans,medical care programs,maryland department of health,Health Services,4400034240,22,1811,17,0,1,0,4,23.0,7.88,10.256410256410255,37.17710196779964
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 1",general,laboratories,maryland department of health,Health Services,4400034258,5,4202,2,3,0,0,0,23.0,8.99,7.344632768361582,39.68070544880232
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 10",job related alcohol and controlled dangerous substances testing,laboratories,maryland department of health,Health Services,4400034267,32,3298,22,0,2,2,6,24.0,8.33,8.208955223880597,38.591796875
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 11",biological agents registry program,laboratories,maryland department of health,Health Services,4400034268,67,8532,47,0,5,0,15,36.0,8.92,31.16883116883117,38.64322491523295
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 12",medical laboratories public health htv testing programs,laboratories,maryland department of health,Health Services,4400034269,20,2526,18,0,1,0,1,27.0,7.97,12.087912087912088,37.59411239964317
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 13",medical laboratories testing for hereditary and congenital disorders in newborn infants,laboratories,maryland department of health,Health Services,4400034270,77,8606,59,0,6,0,12,30.0,8.96,21.403508771929825,38.1978527607362
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 2",medical laboratories general,laboratories,maryland department of health,Health Services,4400034259,18,2060,15,0,0,0,3,36.0,8.3,31.57894736842105,40.63564668769716
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 3",medical laboratories licenses,laboratories,maryland department of health,Health Services,4400034260,51,3828,35,0,3,1,12,32.0,8.8,21.84873949579832,37.41359279697938
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 4",medical laboratories,laboratories,maryland department of health,Health Services,4400034261,8,753,5,0,2,0,1,15.0,7.28,2.083333333333333,35.436720142602496
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 5",medical laboratories proficiency testing,laboratories,maryland department of health,Health Services,4400034262,53,3105,42,0,4,0,7,26.0,8.31,19.491525423728813,38.50017188037126
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 6",medical laboratories quality assurance,laboratories,maryland department of health,Health Services,4400034263,112,7550,100,0,5,1,6,25.0,8.97,10.884353741496598,39.35637149028078
Maryland,2020-05-11,"Title 10, Subtitle 10, Chapter 7",medical laboratories personnel,laboratories,maryland department of health,Health Services,4400034264,51,3128,46,0,2,0,3,22.0,8.1,5.755395683453238,43.32525112573606
