jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Massachusetts,2020-05-21,"Title 101, Chapter 10",transitional planning services,executive office for health and human services,,Health Services,3300003593,15,1030,15,0,0,0,0,30.0,7.41,11.76470588235294,36.63655030800821
Massachusetts,2020-05-21,"Title 101, Chapter 129",rate and charge determination for certain intermediate care facilities operated by the department of developmental services,executive office for health and human services,,Health Services,3300003599,56,2748,44,6,0,0,6,20.0,8.43,12.5,36.30369194124653
Massachusetts,2020-05-21,"Title 101, Chapter 15",criminal offender record checks,executive office for health and human services,,Health Services,3300003594,21,7138,12,3,0,0,6,50.0,8.85,30.55555555555556,34.80264857881137
Massachusetts,2020-05-21,"Title 101, Chapter 16",personal data use and permitted disclosures by and among the executive office of health and human services and its agencies,executive office for health and human services,,Health Services,3300003595,17,1060,12,0,0,0,5,27.0,7.44,26.31578947368421,34.885624344176286
Massachusetts,2020-05-21,"Title 101, Chapter 17",unified planning teams,executive office for health and human services,,Health Services,3300003596,10,2800,0,6,0,0,4,28.0,8.05,35.35353535353536,33.77546296296296
Massachusetts,2020-05-21,"Title 101, Chapter 19",workplace violence prevention and crisis response plan,executive office for health and human services,,Health Services,3300003597,18,1004,0,16,0,2,0,29.0,7.56,29.411764705882355,37.48468271334792
Massachusetts,2020-05-21,"Title 101, Chapter 20",health information exchange,executive office for health and human services,,Health Services,3300003598,74,6313,15,36,0,1,22,19.0,8.49,12.17948717948718,38.40111614928497
Massachusetts,2020-05-21,"Title 101, Chapter 204",rates of payment to resident care facilities,executive office for health and human services,,Health Services,3300003600,97,11294,0,67,7,0,23,18.0,9.32,17.320261437908496,36.30714619336759
Massachusetts,2020-05-21,"Title 101, Chapter 206",standard payments to nursing facilities,executive office for health and human services,,Health Services,3300003601,112,10532,2,83,6,0,21,21.0,9.27,14.87603305785124,38.07834243892382
Massachusetts,2020-05-21,"Title 101, Chapter 304",rates for community health centers,executive office for health and human services,,Health Services,3300003602,13,4159,0,3,0,0,10,25.0,8.67,13.125,42.78375470683163
Massachusetts,2020-05-21,"Title 101, Chapter 306",rates for mental health services provided in community health centers and mental health centers,executive office for health and human services,,Health Services,3300003603,23,3908,11,6,0,0,6,23.0,8.8,9.090909090909092,41.332589285714285
Massachusetts,2020-05-21,"Title 101, Chapter 307",rates for psychiatric day treatment center services,executive office for health and human services,,Health Services,3300003604,2,826,0,0,0,0,2,19.0,7.56,7.142857142857142,44.45543175487465
Massachusetts,2020-05-21,"Title 101, Chapter 309",rates for certain services for the personal care attendant program,executive office for health and human services,,Health Services,3300003605,23,3635,0,4,3,0,16,20.0,8.64,8.938547486033519,37.208333333333336
Massachusetts,2020-05-21,"Title 101, Chapter 310",rates for adult day health services,executive office for health and human services,,Health Services,3300003606,4,1173,2,0,0,0,2,20.0,7.7,5.454545454545454,37.02902902902903
Massachusetts,2020-05-21,"Title 101, Chapter 312",rates for family planning services,executive office for health and human services,,Health Services,3300003607,9,2479,4,1,1,0,3,17.0,8.35,3.731343283582089,47.22398909586551
Massachusetts,2020-05-21,"Title 101, Chapter 313",rates for freestanding clinics providing abortion and sterilization services,executive office for health and human services,,Health Services,3300003608,20,2099,10,5,1,0,4,22.0,8.53,7.865168539325842,42.03657205240175
Massachusetts,2020-05-21,"Title 101, Chapter 314",rates for dental services,executive office for health and human services,,Health Services,3300003609,7,8969,0,2,0,0,5,11.0,9.1,1.593625498007968,39.86692785733585
Massachusetts,2020-05-21,"Title 101, Chapter 315",rates for vision care services and ophthalmic materials,executive office for health and human services,,Health Services,3300003610,15,7892,6,3,1,0,5,27.0,8.59,7.224334600760455,39.4726574500768
Massachusetts,2020-05-21,"Title 101, Chapter 316",rates for surgery and anesthesia services,executive office for health and human services,,Health Services,3300003611,15,33894,2,9,1,0,3,1.0,10.47,0.2166553825321598,39.229736706246776
Massachusetts,2020-05-21,"Title 101, Chapter 317",rates for medicine services,executive office for health and human services,,Health Services,3300003612,19,10781,3,10,1,0,5,2.0,9.45,0.7865866280273236,35.08893143056039
Massachusetts,2020-05-21,"Title 101, Chapter 318",rates for radiology services,executive office for health and human services,,Health Services,3300003613,14,7679,2,8,1,0,3,3.0,9.25,1.2756516916250693,39.1147896039604
Massachusetts,2020-05-21,"Title 101, Chapter 320",rates for clinical laboratory services,executive office for health and human services,,Health Services,3300003614,69,24886,1,61,1,0,6,97.0,10.32,38.15789473684211,50.0300164692132
Massachusetts,2020-05-21,"Title 101, Chapter 322",rates for durable medical equipment oxygen and respiratory therapy equipment,executive office for health and human services,,Health Services,3300003615,45,62033,19,16,0,0,10,117.0,9.91,23.15573770491803,42.76160670761431
Massachusetts,2020-05-21,"Title 101, Chapter 323",rates for hearing services,executive office for health and human services,,Health Services,3300003616,21,4747,1,15,1,0,4,23.0,8.95,8.900523560209423,39.69584792396198
Massachusetts,2020-05-21,"Title 101, Chapter 327",rates of payment for ambulance and wheelchair van services,executive office for health and human services,,Health Services,3300003617,7,1373,2,3,0,0,2,19.0,7.9,10.44776119402985,41.24229808492922
Massachusetts,2020-05-21,"Title 101, Chapter 329",rates for psychological and independent clinical social work services,executive office for health and human services,,Health Services,3300003618,9,1978,0,7,0,0,2,18.0,8.44,9.345794392523365,44.70090293453725
Massachusetts,2020-05-21,"Title 101, Chapter 330",rates for team evaluation services,executive office for health and human services,,Health Services,3300003619,11,2831,0,6,1,0,4,18.0,8.57,10.596026490066226,45.544921875
Massachusetts,2020-05-21,"Title 101, Chapter 331",prescribed drugs,executive office for health and human services,,Health Services,3300003620,15,2549,2,7,0,0,6,21.0,8.17,14.035087719298245,36.087144089732526
Massachusetts,2020-05-21,"Title 101, Chapter 334",prostheses prosthetic devices and orthotic devices,executive office for health and human services,,Health Services,3300003621,10,16991,2,6,0,0,2,64.0,9.86,3.79746835443038,42.091896167397714
Massachusetts,2020-05-21,"Title 101, Chapter 337",rates for chronic maintenance dialysis treatments and home dialysis supplies,executive office for health and human services,,Health Services,3300003622,4,1233,0,2,0,0,2,18.0,7.82,9.230769230769232,41.100371747211895
Massachusetts,2020-05-21,"Title 101, Chapter 339",rates for restorative services,executive office for health and human services,,Health Services,3300003623,9,3755,0,2,0,0,7,37.0,8.93,14.736842105263156,44.82591583409022
Massachusetts,2020-05-21,"Title 101, Chapter 343",rates for hospice services,executive office for health and human services,,Health Services,3300003624,14,2551,6,4,1,0,3,24.0,8.36,13.26530612244898,35.25047169811321
Massachusetts,2020-05-21,"Title 101, Chapter 345",rates for temporary nursing services,executive office for health and human services,,Health Services,3300003625,15,2572,0,7,3,0,5,22.0,8.35,6.796116504854369,35.791690061763056
Massachusetts,2020-05-21,"Title 101, Chapter 346",rates for certain substance related and addictive disorders programs,executive office for health and human services,,Health Services,3300003626,12,6961,0,8,0,0,4,25.0,9.16,11.320754716981131,42.774260591526776
Massachusetts,2020-05-21,"Title 101, Chapter 347",rates for freestanding ambulatory surgery centers,executive office for health and human services,,Health Services,3300003627,11,67369,0,2,0,0,9,584.0,10.42,,50.9138151462736
Massachusetts,2020-05-21,"Title 101, Chapter 348",rates for day habilitation services,executive office for health and human services,,Health Services,3300003628,10,1530,6,2,0,0,2,20.0,8.03,9.722222222222223,41.55418181818182
Massachusetts,2020-05-21,"Title 101, Chapter 349",rates for early intervention program services,executive office for health and human services,,Health Services,3300003629,12,2359,0,10,0,0,2,19.0,8.49,10.92436974789916,38.11000944287064
Massachusetts,2020-05-21,"Title 101, Chapter 350",rates for home health services,executive office for health and human services,,Health Services,3300003630,2,2332,0,0,0,0,2,22.0,8.01,5.208333333333334,37.46189024390244
Massachusetts,2020-05-21,"Title 101, Chapter 351",rates for certain adult foster care services,executive office for health and human services,,Health Services,3300003631,2,1153,0,0,0,0,2,18.0,7.55,10.0,36.13561076604555
Massachusetts,2020-05-21,"Title 101, Chapter 352",rates of payment for certain children s behavioral health services,executive office for health and human services,,Health Services,3300003632,13,2344,4,5,0,0,4,20.0,8.48,5.504587155963304,41.705422794117645
