jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Animal Industry",animal industry,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000779,80,3660,77,0,0,0,3,21.0,8.33,10.795454545454543,35.9503016374605
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Bodies of Dead Animals",bodies of dead animals,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000778,107,5574,102,3,0,0,2,19.0,9.27,8.185053380782918,34.75723873441994
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Regulation No 112 Importation of Dogs",regulation no 112 importation of dogs,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000772,5,343,4,1,0,0,0,24.0,6.78,28.57142857142857,31.20186335403727
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Regulation No 129 Dog Kennels",regulation no 129 dog kennels,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000773,9,399,8,0,0,0,1,21.0,7.11,15.789473684210526,29.47593582887701
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Regulation No 144 Claims Against Livestock Auctions",regulation no 144 claims against livestock auctions,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000774,4,322,3,0,0,0,1,19.0,6.75,5.88235294117647,31.70860927152318
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Regulation No 146 Humane Slaughter Methods",regulation no 146 humane slaughter methods,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000775,14,783,14,0,0,0,0,15.0,7.47,5.88235294117647,37.268324607329845
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Regulation No 151 Pet Shops, Dog Pounds, and Animal Shelters",regulation no 151 pet shops dog pounds and animal shelters,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000776,96,2834,92,0,0,0,4,16.0,8.32,9.941520467836256,32.128630705394194
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Animal Industry Division, Rule Regulation No 154 Riding Stables and Sales Barns",regulation no 154 riding stables and sales barns,animal industry division,agriculture and rural development,"Industry, Commerce, and Development",10600000777,55,1442,55,0,0,0,0,14.0,7.8,8.653846153846153,30.74755086661643
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Environmental Stewardship Division, Rule Agricultural Labor Camps",agricultural labor camps,environmental stewardship division,agriculture and rural development,"Industry, Commerce, and Development",10600000780,180,5659,164,1,0,4,11,18.0,8.77,16.776315789473685,31.09640831758034
Michigan,2020-05-19,"Department Agriculture and Rural Development, Bureau Environmental Stewardship Division, Rule Farmland and Open Space Preservation",farmland and open space preservation,environmental stewardship division,agriculture and rural development,"Industry, Commerce, and Development",10600000781,82,4009,77,0,1,0,4,21.0,7.96,12.972972972972974,34.576943699731906
