jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Minnesota,2020-05-20,"Agency 102, Chapter 1105",licensure and regulation of accountants,accountancy board,,"Industry, Commerce, and Development",4900000001,405,24596,185,108,6,4,102,27.0,9.34,19.691969196919693,37.1014592867628
Minnesota,2020-05-20,"Agency 103, Chapter 1205",data practices,administration department,,Administration,4900000002,169,8906,151,3,0,0,15,18.0,8.63,18.33333333333333,37.462
Minnesota,2020-05-20,"Agency 103, Chapter 1225",state grounds lost property and parking,administration department,,Administration,4900000003,31,1193,25,0,0,2,4,16.0,7.94,13.88888888888889,39.54801762114538
Minnesota,2020-05-20,"Agency 103, Chapter 1230",state contracts,administration department,,Administration,4900000004,279,20329,84,157,10,0,28,19.0,9.68,20.972354623450904,39.42497559973288
Minnesota,2020-05-20,"Agency 103, Chapter 1235",public rallies on capitol grounds,administration department,,Administration,4900000005,13,758,11,0,0,0,2,28.0,7.63,22.22222222222222,34.99185888738128
Minnesota,2020-05-20,"Agency 103, Chapter 1245",state owned real property,administration department,,Administration,4900000006,69,1924,69,0,0,0,0,17.0,8.17,20.535714285714285,35.82678859601936
Minnesota,2020-05-20,"Agency 103, Chapter 1255",state surplus property sales section,administration department,,Administration,4900000007,35,1107,32,0,0,0,3,13.0,7.65,7.317073170731707,33.372735938989514
Minnesota,2020-05-20,"Agency 103, Chapter 1260",federal surplus property,administration department,,Administration,4900000008,67,2737,58,1,0,0,8,14.0,8.3,10.582010582010582,37.71592649310873
Minnesota,2020-05-20,"Agency 104, Chapter 1400",apa proceedings expenses and attorney fees,administrative hearings office,,Labor and Workforce Development,4900000009,626,30680,301,267,9,2,47,17.0,9.08,23.43120322394934,32.049220783611105
Minnesota,2020-05-20,"Agency 104, Chapter 1405",power lines plant siting,administrative hearings office,,Labor and Workforce Development,4900000010,113,4920,105,3,0,0,5,17.0,8.55,17.4061433447099,35.1881230116649
Minnesota,2020-05-20,"Agency 104, Chapter 1408",sanitary districts,administrative hearings office,,Labor and Workforce Development,4900000011,20,1202,7,11,0,0,2,9.0,7.62,6.7164179104477615,35.836996336996336
Minnesota,2020-05-20,"Agency 104, Chapter 1415",joint workers compensation litigation procedures,administrative hearings office,,Labor and Workforce Development,4900000012,130,7790,33,78,6,0,13,17.0,8.67,27.01525054466231,35.52734481815696
