jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Mississippi,2020-04-23,"Title 10, Part 101",mississippi authority for educational television regulations,mississippi authority for educational television,,"Culture, Recreation, and the Arts",4200000100,42,2143,29,9,0,0,4,18.0,8.03,10.434782608695652,37.77078085642317
Mississippi,2020-04-23,"Title 10, Part 201",authority and standards,commission on college accreditation,,College and University,4200000098,197,9479,145,46,0,0,6,21.0,9.01,11.11111111111111,40.76353540027765
Mississippi,2020-04-23,"Title 10, Part 202",availability of information,commission on college accreditation,,College and University,4200000099,35,2422,19,12,0,0,4,16.0,8.33,11.643835616438356,35.61589113257243
Mississippi,2020-04-23,"Title 10, Part 401",part 401 organization and formation,charter school authorizer board,,Primary and Secondary Education,4200000095,54,2183,51,1,0,0,2,20.0,7.92,16.822429906542055,34.27639155470249
Mississippi,2020-04-23,"Title 10, Part 402",part 402 charter schools application process,charter school authorizer board,,Primary and Secondary Education,4200000096,94,21705,6,56,2,1,29,15.0,9.93,10.256410256410255,38.25752006963923
Mississippi,2020-04-23,"Title 10, Part 403",part 403 board policies,charter school authorizer board,,Primary and Secondary Education,4200000097,141,11970,51,54,2,0,34,18.0,9.51,13.967310549777118,38.52185022026432
Mississippi,2020-04-23,"Title 10, Part 501",part 501 statewide longitudinal data system governing board rules regulations,state longitudinal data systems governing board,,Primary and Secondary Education,4200000126,168,9763,133,22,1,0,12,19.0,9.07,11.262135922330096,36.814484978540776
Mississippi,2020-04-23,"Title 10, Part 601",part 601 authority and responsibilities,ms post secondary education financial assistance board,,College and University,4200000101,32,5120,23,4,1,0,4,12.0,8.79,5.720823798627003,39.12697060076694
Mississippi,2020-04-23,"Title 10, Part 603",part 603 administrative policies,ms post secondary education financial assistance board,,College and University,4200000102,35,2457,19,12,0,0,4,14.0,8.38,10.0,35.21141374837873
Mississippi,2020-04-23,"Title 10, Part 605",part 605 general administration rules and regulations,ms post secondary education financial assistance board,,College and University,4200000103,112,10215,17,67,2,0,26,20.0,9.28,18.482490272373543,36.74314239612747
Mississippi,2020-04-23,"Title 10, Part 611",part 611 mississippi resident tuition assistance grant,ms post secondary education financial assistance board,,College and University,4200000104,21,1914,7,10,0,0,4,24.0,7.8,10.126582278481012,35.05937846836848
Mississippi,2020-04-23,"Title 10, Part 613",part 613 mississippi eminent scholars grant,ms post secondary education financial assistance board,,College and University,4200000105,19,1797,6,10,0,0,3,26.0,7.76,16.176470588235293,35.959363957597176
Mississippi,2020-04-23,"Title 10, Part 615",part 615 higher education legislative plan for needy students grant,ms post secondary education financial assistance board,,College and University,4200000106,35,1892,6,20,0,0,9,21.0,8.15,10.0,36.4068848758465
Mississippi,2020-04-23,"Title 10, Part 617",part 617 mississippi law enforcement officers and firemen scholarship,ms post secondary education financial assistance board,,College and University,4200000107,10,1476,1,5,0,0,4,22.0,7.86,6.0606060606060606,38.98809523809524
Mississippi,2020-04-23,"Title 10, Part 621",part 621 nissan scholarship,ms post secondary education financial assistance board,,College and University,4200000108,14,1191,7,3,0,0,4,19.0,8.14,17.46031746031746,38.88370044052864
Mississippi,2020-04-23,"Title 10, Part 631",part 631 critical needs alternate route teacher forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000109,71,3918,31,30,3,0,7,22.0,8.55,13.966480446927374,34.80468544353777
Mississippi,2020-04-23,"Title 10, Part 633",part 633 critical needs teacher forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000110,73,4042,31,33,3,0,6,22.0,8.58,13.812154696132598,34.37477661475619
Mississippi,2020-04-23,"Title 10, Part 635",part 635 teacher education scholars forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000111,78,3827,31,38,3,0,6,22.0,8.46,14.942528735632186,35.44766811279826
Mississippi,2020-04-23,"Title 10, Part 637",part 637 william winter alternate route teacher forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000112,71,3566,31,31,3,0,6,20.0,8.49,13.953488372093023,35.40087209302325
Mississippi,2020-04-23,"Title 10, Part 639",part 639 william winter teacher forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000113,75,3715,31,35,3,0,6,21.0,8.54,14.124293785310735,35.04684885666481
Mississippi,2020-04-23,"Title 10, Part 651",part 651 health care professions forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000114,77,3507,34,35,2,0,6,21.0,8.42,14.285714285714285,36.10639552018862
Mississippi,2020-04-23,"Title 10, Part 653",part 653 nursing education forgivable loan program bsn,ms post secondary education financial assistance board,,College and University,4200000115,83,4277,36,39,2,0,6,23.0,8.35,15.591397849462366,33.58418491484185
Mississippi,2020-04-23,"Title 10, Part 655",part 655 family protection specialist social worker forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000116,77,3509,33,32,2,0,10,21.0,8.36,14.88095238095238,34.955320399764844
Mississippi,2020-04-23,"Title 10, Part 661",part 661 counselor and school administrator forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000117,64,3515,29,27,2,0,6,21.0,8.41,14.285714285714285,35.325315341742446
Mississippi,2020-04-23,"Title 10, Part 663",part 663 graduate teacher forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000118,64,3504,29,27,2,0,6,21.0,8.4,14.285714285714285,35.15214832254267
Mississippi,2020-04-23,"Title 10, Part 665",part 665 southern regional education board doctoral scholars forgivable loan,ms post secondary education financial assistance board,,College and University,4200000119,65,2933,31,27,2,0,5,20.0,8.29,16.43835616438356,35.88615600843289
Mississippi,2020-04-23,"Title 10, Part 667",part 667 critical needs dyslexia therapy teacher forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000120,70,3556,30,33,2,0,5,21.0,8.47,14.792899408284024,35.237224157955865
Mississippi,2020-04-23,"Title 10, Part 669",part 669 nursing teacher stipend forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000121,78,3856,33,36,3,0,6,21.0,8.43,14.130434782608695,34.93790322580645
Mississippi,2020-04-23,"Title 10, Part 671",part 671 state dental education forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000122,75,3580,33,33,2,0,7,21.0,8.46,14.201183431952662,35.737766263673
Mississippi,2020-04-23,"Title 10, Part 673",part 673 state medical education forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000123,75,3633,33,33,2,0,7,21.0,8.49,14.201183431952662,35.75262411347518
Mississippi,2020-04-23,"Title 10, Part 674",part 674 sreb regional contract forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000124,74,3325,32,33,2,0,7,20.0,8.32,13.855421686746988,35.56124031007752
Mississippi,2020-04-23,"Title 10, Part 675",part 675 graduate and professional degree forgivable loan program,ms post secondary education financial assistance board,,College and University,4200000125,77,3468,31,36,2,0,8,20.0,8.39,14.705882352941178,35.857821311962006
Mississippi,2020-04-23,"Title 11, Part 1",administrative regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000127,199,20627,94,73,3,0,29,17.0,9.26,12.356792144026189,34.02357939458311
Mississippi,2020-04-23,"Title 11, Part 2",air regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000128,1348,89279,878,232,7,19,212,25.0,10.23,19.683453237410077,37.945879724714445
Mississippi,2020-04-23,"Title 11, Part 3",hazardous waste management regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000129,495,47838,310,112,2,0,71,30.0,9.96,16.70902160101652,39.236682417309126
Mississippi,2020-04-23,"Title 11, Part 4",nonhazardous solid waste management regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000130,1200,72181,657,393,13,7,130,28.0,9.95,23.44,36.45122313705674
Mississippi,2020-04-23,"Title 11, Part 5",underground storage tank regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000131,1131,97248,166,764,31,0,170,29.0,10.42,28.17281728172817,35.78150855842052
Mississippi,2020-04-23,"Title 11, Part 6",wastewater pollution control regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000132,1763,163422,873,540,20,19,311,27.0,10.81,18.57680465275402,38.43985782587649
Mississippi,2020-04-23,"Title 11, Part 7",surface water and groundwater use and protection licensing of water well contractors and dam safety regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000133,394,26733,222,77,7,13,75,25.0,9.85,20.952380952380956,35.42573749802808
Mississippi,2020-04-23,"Title 11, Part 8",geology regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000134,2739,148921,2006,365,23,24,321,29.0,10.44,27.409459726894912,35.6288035640341
Mississippi,2020-04-23,"Title 11, Part 9",part 9 pollution emergency response regulations,mississippi department of environmental quality,,"Environmental Protection, Public Utilities, and Natural Resources",4200000135,8,1421,7,0,0,0,1,20.0,7.55,21.12676056338028,32.70637970791699
Mississippi,2020-04-23,"Title 12, Part 1",organizational rules,department of finance and administration,,Taxes and Public Finance,4200000136,31,3248,19,7,0,0,5,17.0,8.45,9.375,34.32816804407714
Mississippi,2020-04-23,"Title 12, Part 10",part 10 office of state property insurance state of mississippi floodplain manual,department of finance and administration,,Taxes and Public Finance,4200000145,176,10499,133,16,0,9,18,26.0,9.6,17.647058823529413,38.1960139511709
Mississippi,2020-04-23,"Title 12, Part 2",public information policy,department of finance and administration,,Taxes and Public Finance,4200000137,38,4621,22,11,0,0,5,22.0,8.71,21.463414634146343,34.122093023255815
Mississippi,2020-04-23,"Title 12, Part 3",bureau of building grounds and real property management,department of finance and administration,,Taxes and Public Finance,4200000138,346,50555,150,80,22,2,92,21.0,10.44,15.301902398676592,40.0683396430503
