jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Missouri,2020-06-04,"Title 10, Division 100, Chapter 1",general organization,petroleum storage tank insurance fund board of trustees,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000548,0,360,0,0,0,0,0,25.0,6.87,0.0,38.48837209302326
Missouri,2020-06-04,"Title 10, Division 100, Chapter 2",definitions,petroleum storage tank insurance fund board of trustees,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000549,0,1336,0,0,0,0,0,29.0,8.35,13.333333333333334,34.86446280991736
Missouri,2020-06-04,"Title 10, Division 100, Chapter 3",transport load fee,petroleum storage tank insurance fund board of trustees,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000550,15,544,15,0,0,0,0,28.0,7.11,21.052631578947366,34.71030042918455
Missouri,2020-06-04,"Title 10, Division 100, Chapter 4",participation requirements,petroleum storage tank insurance fund board of trustees,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000551,131,4651,97,8,1,0,25,29.0,8.27,28.57142857142857,33.34235484617164
Missouri,2020-06-04,"Title 10, Division 100, Chapter 5",claims,petroleum storage tank insurance fund board of trustees,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000552,55,4511,9,36,2,0,8,30.0,8.66,26.174496644295303,33.64207520228462
Missouri,2020-06-04,"Title 10, Division 100, Chapter 6",ust operator training,petroleum storage tank insurance fund board of trustees,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000553,15,840,3,11,0,0,1,33.0,6.97,0.0,33.83512064343164
Missouri,2020-06-04,"Title 10, Division 10, Chapter 1",organization,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000422,9,2854,7,1,0,0,1,29.0,8.9,13.26530612244898,39.66615853658536
Missouri,2020-06-04,"Title 10, Division 10, Chapter 2",air quality standards and air pollution control rules specific to the kansas city metropolitan area,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000423,347,26729,276,35,1,1,34,22.0,9.83,14.37908496732026,36.23885551027268
Missouri,2020-06-04,"Title 10, Division 10, Chapter 3",air pollution control rules specific to the outstate missouri area,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000424,0,1858,0,0,0,0,0,14.0,7.05,4.511278195488721,42.50787075393538
Missouri,2020-06-04,"Title 10, Division 10, Chapter 4",air quality standards and air pollution control regulations for the springfield greene county area,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000425,0,1702,0,0,0,0,0,16.0,6.97,5.769230769230769,44.020966271649954
Missouri,2020-06-04,"Title 10, Division 10, Chapter 5",air quality standards and air pollution control rules specific to the st louis metropolitan area,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000426,1542,115964,1244,110,11,5,172,24.0,10.23,18.29344432882414,35.656981323132314
Missouri,2020-06-04,"Title 10, Division 10, Chapter 6a",air conservation commission air quality standards definitions sampling and reference methods and air pollution control regulations for the entire state of missouri,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000427,990,107962,674,140,10,9,157,23.0,10.59,15.108067622512303,38.13953726453727
Missouri,2020-06-04,"Title 10, Division 10, Chapter 6b",air conservation commission air quality standards definitions sampling and reference methods and air pollution control regulations for the entire state of missouri section 2,air conservation commission,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000428,938,75295,604,200,7,7,120,24.0,10.0,18.825448613376835,35.933116038411505
Missouri,2020-06-04,"Title 10, Division 130, Chapter 1",applications,state environmental improvement and energy resources authority,department of natural resources,"Environmental Protection, Public Utilities, and Natural Resources",600000554,11,1882,8,2,0,0,1,44.0,8.13,19.047619047619047,35.18614210217264
