jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Montana,2020-05-28,"Administration, Chapter 1",organizational rule,administration,,Administration,2300000394,0,3099,0,0,0,0,0,20.0,8.84,1.3605442176870748,44.24913971094288
Montana,2020-05-28,"Administration, Chapter 11",general services division,administration,,Administration,2300000399,2,789,1,0,1,0,0,19.0,7.59,17.94871794871795,33.25271317829457
Montana,2020-05-28,"Administration, Chapter 12",state information technology services division,administration,,Administration,2300000400,12,2183,9,2,0,0,1,29.0,7.95,22.22222222222222,41.80596260737747
Montana,2020-05-28,"Administration, Chapter 13",telecommunications bureau,administration,,Administration,2300000401,56,4269,33,20,0,0,3,23.0,8.04,17.058823529411764,40.41446808510639
Montana,2020-05-28,"Administration, Chapter 2",procedural rules,administration,,Administration,2300000395,0,186,0,0,0,0,0,17.0,5.8,0.0,33.29245283018868
Montana,2020-05-28,"Administration, Chapter 21",state human resources division,administration,,Administration,2300000402,374,28510,221,89,27,3,34,24.0,9.51,22.484134179510427,37.561690938511326
Montana,2020-05-28,"Administration, Chapter 4",state financial services division,administration,,Administration,2300000396,76,4456,31,19,1,0,25,25.0,8.45,20.0,36.17910848549946
Montana,2020-05-28,"Administration, Chapter 43",public employees retirement board,administration,,Administration,2300000403,360,36905,63,209,34,1,53,23.0,9.15,19.312714776632305,32.413596124937364
Montana,2020-05-28,"Administration, Chapter 44",teachers retirement board,administration,,Administration,2300000404,92,9213,35,36,7,0,14,23.0,8.88,18.47826086956521,33.4349619698337
Montana,2020-05-28,"Administration, Chapter 5",state procurement,administration,,Administration,2300000397,149,12360,58,60,5,0,26,21.0,9.04,21.402877697841728,35.149604045415515
Montana,2020-05-28,"Administration, Chapter 51",state tax appeal board,administration,,Administration,2300000405,8,588,8,0,0,0,0,18.0,6.57,27.58620689655172,28.99581589958159
Montana,2020-05-28,"Administration, Chapter 53",board of examiners,administration,,Administration,2300000406,0,312,0,0,0,0,0,17.0,6.47,0.0,33.35514018691589
Montana,2020-05-28,"Administration, Chapter 55",state compensation insurance fund,administration,,Administration,2300000407,77,7678,56,17,2,0,2,22.0,8.85,14.506172839506174,33.62220484753714
Montana,2020-05-28,"Administration, Chapter 59",banking and financial institutions,administration,,Administration,2300000408,493,40603,217,178,32,8,58,31.0,9.82,26.12244897959184,34.18835886460915
Montana,2020-05-28,"Administration, Chapter 6",risk management and tort defense division,administration,,Administration,2300000398,17,1729,4,3,3,0,7,32.0,7.67,30.0,32.872950819672134
