jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Nebraska,2020-04-14,Title 100,electrical board title 100 chapter none,electrical board,,"Industry, Commerce, and Development",10800002204,160,5963,147,5,0,0,8,23.0,8.5,20.384615384615383,33.76741358346361
Nebraska,2020-04-14,"Title 103, Chapter 1",construction of state funded buildings,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002212,5,1755,1,3,0,0,1,20.0,8.09,11.904761904761903,38.339853300733495
Nebraska,2020-04-14,Title 105,environment and energy title 105 chapter none,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002213,0,28,0,0,0,0,0,28.0,4.66,0.0,39.76190476190476
Nebraska,2020-04-14,Title 107,environment and energy title 107 chapter none,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002214,60,4797,60,0,0,0,0,25.0,8.32,17.989417989417987,35.86224729666196
Nebraska,2020-04-14,"Title 109, Chapter 1",1,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002215,3,4607,3,0,0,0,0,54.0,6.0,11.904761904761903,10.904557761732852
Nebraska,2020-04-14,"Title 10, Chapter 20",rules of practice,department of administrative services,,Administration,10800001892,0,333,0,0,0,0,0,13.0,6.19,0.0,47.12457912457913
Nebraska,2020-04-14,Title 110,engineers and architects title 110 chapter none,engineers and architects,,"Industry, Commerce, and Development",10800002499,167,16180,51,69,8,1,38,32.0,8.85,28.94168466522678,40.94054756916853
Nebraska,2020-04-14,"Title 115, Chapter 1",adoption of model rules,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002216,1,270,0,1,0,0,0,10.0,6.44,11.538461538461538,38.27753303964758
Nebraska,2020-04-14,"Title 115, Chapter 2",confidentiality for trade secrets,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002217,2,907,0,0,1,0,1,36.0,7.34,32.0,38.2379835873388
Nebraska,2020-04-14,"Title 115, Chapter 3",public hearings,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002218,11,1357,6,1,0,0,4,25.0,7.67,29.629629629629623,34.28467153284672
Nebraska,2020-04-14,"Title 117, Chapter 1",definition of terms,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002219,3,2710,2,0,0,0,1,26.0,9.01,8.737864077669903,38.83925750394945
Nebraska,2020-04-14,"Title 117, Chapter 2",application of standards,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002220,4,4154,0,0,0,0,4,30.0,8.54,31.61764705882353,36.9920021327646
Nebraska,2020-04-14,"Title 117, Chapter 3",antidegradation clause,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002221,5,323,5,0,0,0,0,17.0,6.95,5.263157894736842,40.90365448504984
Nebraska,2020-04-14,"Title 117, Chapter 4",standards for water quality,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002222,5,10640,0,1,1,0,3,34.0,8.71,17.97752808988764,39.25125141288552
Nebraska,2020-04-14,"Title 117, Chapter 5",stream classification by basin,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002223,0,28509,0,0,0,0,0,934.0,7.23,6.666666666666667,36.63556026864617
Nebraska,2020-04-14,"Title 117, Chapter 6",lakes and impounded waters,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002224,1,10039,0,0,1,0,0,80.0,7.6,0.7936507936507936,26.50114318376679
Nebraska,2020-04-14,"Title 117, Chapter 7",water quality standards for wetlands,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002225,0,2323,0,0,0,0,0,22.0,8.76,15.84158415841584,42.3913676042677
Nebraska,2020-04-14,"Title 117, Chapter 8",environment and energy title 117 chapter 8,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002226,0,59,0,0,0,0,0,15.0,5.6,25.0,37.3921568627451
Nebraska,2020-04-14,Title 118,ground water quality standards and use classification,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002227,141,13548,90,13,3,0,35,21.0,9.37,29.12,38.65703306380594
Nebraska,2020-04-14,"Title 119, Chapter 1",general definitions,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002228,12,7634,4,1,0,1,6,36.0,9.46,28.98550724637681,39.72302668938104
Nebraska,2020-04-14,"Title 119, Chapter 10",npdes regulations applicable to storm water discharges,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002237,150,11814,70,49,1,0,30,50.0,9.0,42.173913043478265,38.93104730043676
Nebraska,2020-04-14,"Title 119, Chapter 11",concentrated aquatic animal production facilities,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002238,4,388,2,1,0,0,1,27.0,7.06,7.142857142857142,42.93484419263456
Nebraska,2020-04-14,"Title 119, Chapter 12",land application of domestic effluent land application of single pass noncontact cooling water and disposal of domestic biosolids,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002239,56,1738,51,3,0,2,0,22.0,8.1,12.0,37.7972972972973
Nebraska,2020-04-14,"Title 119, Chapter 13",applications signatories,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002240,5,662,3,1,0,0,1,28.0,7.58,17.391304347826086,44.10064935064935
Nebraska,2020-04-14,"Title 119, Chapter 14",permits terms and conditions general,environment and energy,,"Environmental Protection, Public Utilities, and Natural Resources",10800002241,54,2485,32,8,0,1,13,26.0,8.26,25.274725274725277,38.734132268087
