jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Nevada,2020-05-19,Chapter 104,uniform commercial code,secretary of state,,Administration,2600000024,31,5316,4,24,1,0,2,19.0,7.88,21.85185185185185,30.75358565737052
Nevada,2020-05-19,Chapter 108,statutory liens,department of motor vehicles,,Transportation,2600000025,23,1669,6,12,0,0,5,26.0,7.29,46.03174603174603,29.833000665335994
Nevada,2020-05-19,Chapter 113,sales of real property,real estate division,,"Industry, Commerce, and Development",2600000026,5,354,1,2,0,0,2,58.0,6.69,50.0,31.74320241691843
Nevada,2020-05-19,Chapter 116,common interest ownership,real estate division,,"Industry, Commerce, and Development",2600000027,89,11384,22,35,7,2,23,24.0,9.1,17.685589519650655,34.393108699790595
Nevada,2020-05-19,Chapter 116A,common interest communities regulation of community managers and other personnel,real estate division,,"Industry, Commerce, and Development",2600000028,246,23155,95,89,7,6,49,29.0,9.2,21.235521235521237,35.75655726289401
Nevada,2020-05-19,Chapter 116B,condominium hotels,real estate division,,"Industry, Commerce, and Development",2600000029,49,4680,3,27,1,0,18,28.0,8.41,14.634146341463412,36.82299651567944
Nevada,2020-05-19,Chapter 118B,landlord and tenant manufactured home parks,manufactured housing division,,"Industry, Commerce, and Development",2600000030,51,3916,17,19,0,1,14,15.0,8.03,10.612244897959185,34.32617527568195
Nevada,2020-05-19,Chapter 119,sale of subdivided land licensing and regulation,real estate division,,"Industry, Commerce, and Development",2600000031,152,9223,14,112,9,0,17,18.0,8.97,15.151515151515152,34.54895104895105
Nevada,2020-05-19,Chapter 119A,time shares,real estate division,,"Industry, Commerce, and Development",2600000032,226,15411,48,119,16,2,41,22.0,9.14,17.12230215827338,33.7962962962963
Nevada,2020-05-19,Chapter 119B,membership in campgrounds,real estate division,,"Industry, Commerce, and Development",2600000033,86,4786,14,53,9,4,6,17.0,8.7,18.050541516245488,34.56668133802817
Nevada,2020-05-19,Chapter 120A,disposition of unclaimed property,office of state treasurer,,Taxes and Public Finance,2600000034,56,2984,12,32,0,0,12,23.0,7.79,32.28346456692913,32.08495056755767
Nevada,2020-05-19,Chapter 127,adoption of children,division of child family services,,Social Assistance,2600000035,261,20618,150,77,0,2,32,21.0,8.51,18.32460732984293,33.94611825192802
Nevada,2020-05-19,Chapter 178,certification to evaluate competency of criminal defendants,division of public and behaviorial health,,Health Services,2600000036,7,950,1,5,0,0,1,20.0,6.85,6.382978723404255,38.736903376018624
Nevada,2020-05-19,Chapter 179A,records of criminal history,department of public safety,,"Security, Justice, and Corrections",2600000037,33,3221,18,12,0,0,3,21.0,7.99,15.89403973509934,35.85048936888289
Nevada,2020-05-19,Chapter 202,concealed firearms,department of public safety,,"Security, Justice, and Corrections",2600000038,39,3201,16,17,0,4,2,17.0,8.06,18.27956989247312,32.65013227513227
Nevada,2020-05-19,Chapter 205,identity theft program cards,attorney general,,"Security, Justice, and Corrections",2600000039,3,519,2,1,0,0,0,19.0,5.95,25.925925925925924,31.97119341563786
Nevada,2020-05-19,Chapter 211,county and city jails,health division,,Health Services,2600000040,111,3951,4,100,2,2,3,15.0,8.74,14.566929133858268,34.35094026548673
Nevada,2020-05-19,Chapter 213,pardons paroles and probation remissions of fines and commutations of punishments,department of public safety,,"Security, Justice, and Corrections",2600000041,83,12804,33,25,7,0,18,24.0,8.92,20.348837209302324,32.528401243093924
Nevada,2020-05-19,Chapter 217,aid to certain victims of crime,secretary of state,,Administration,2600000042,2,227,0,2,0,0,0,22.0,5.98,10.0,35.661904761904765
Nevada,2020-05-19,Chapter 225,secretary of state,secretary of state,,Administration,2600000043,23,3425,0,10,0,0,13,29.0,7.5,32.45614035087719,31.895330617361328
Nevada,2020-05-19,Chapter 227,state controller,state controller s office,,Taxes and Public Finance,2600000044,12,756,10,1,0,0,1,25.0,6.9,16.666666666666664,35.116504854368934
Nevada,2020-05-19,Chapter 228,domestic violence,committee on domestic violence,,"Security, Justice, and Corrections",2600000045,89,11805,36,23,3,0,27,30.0,8.68,22.506393861892583,35.08589685075308
Nevada,2020-05-19,Chapter 231,economic development and tourism,office of economic development,,"Industry, Commerce, and Development",2600000046,112,12550,12,72,2,1,25,29.0,8.54,16.627634660421545,36.16715416379903
Nevada,2020-05-19,Chapter 231A,nevada new markets jobs act,department of business and industry,,"Industry, Commerce, and Development",2600000047,37,3873,10,10,0,0,17,44.0,7.21,26.436781609195403,38.83599216344808
Nevada,2020-05-19,Chapter 232,state departments,department of business and industry,,"Industry, Commerce, and Development",2600000048,34,4521,6,17,3,2,6,23.0,8.33,12.953367875647666,35.23682327689006
Nevada,2020-05-19,Chapter 233,nevada equal rights commission,equal rights commission,,Administration,2600000049,43,4382,14,19,4,0,6,16.0,8.2,16.412213740458014,35.29009318293281
Nevada,2020-05-19,Chapter 233A,indian affairs,indian commission,,Administration,2600000050,25,1234,11,8,0,1,5,14.0,7.17,9.090909090909092,33.271186440677965
Nevada,2020-05-19,Chapter 233B,nevada administrative procedure act,attorney general,,"Security, Justice, and Corrections",2600000051,7,758,1,5,0,0,1,17.0,7.4,20.454545454545457,32.86612021857923
Nevada,2020-05-19,Chapter 233C,nevada arts council,arts council,,"Culture, Recreation, and the Arts",2600000052,13,1262,6,6,0,0,1,17.0,7.27,6.944444444444445,32.10699241786015
Nevada,2020-05-19,Chapter 239,public records,division of state library and archives of the department of administration,,"Culture, Recreation, and the Arts",2600000053,80,7301,38,30,0,4,8,22.0,8.11,15.822784810126585,35.25796080832823
Nevada,2020-05-19,Chapter 240,notaries public,secretary of state,,Administration,2600000054,55,4676,6,34,0,0,15,20.0,8.26,20.96069868995633,31.145275680622284
Nevada,2020-05-19,Chapter 240A,document preparation services,secretary of state,,Administration,2600000055,25,2225,1,16,0,0,8,32.0,7.63,25.37313432835821,37.11608863198459
Nevada,2020-05-19,Chapter 242,information services,department of data processing,,Administration,2600000056,8,1086,2,4,0,0,2,18.0,7.22,10.344827586206897,38.90991902834008
Nevada,2020-05-19,Chapter 244,counties financial information,committee on local government finance,,Taxes and Public Finance,2600000057,6,493,0,5,0,0,1,26.0,6.55,15.789473684210526,33.05744680851064
Nevada,2020-05-19,Chapter 268,cities financial information,committee on local government finance,,Taxes and Public Finance,2600000058,6,512,0,5,0,0,1,27.0,6.6,15.789473684210526,31.537832310838446
Nevada,2020-05-19,Chapter 278,planning and zoning,division of state lands,,"Environmental Protection, Public Utilities, and Natural Resources",2600000059,82,5166,15,51,3,2,11,17.0,8.53,18.466898954703836,33.73452484742808
Nevada,2020-05-19,Chapter 281,public officers and employees,nevada commission on ethics,,Administration,2600000060,13,1569,2,6,0,0,5,23.0,7.49,20.8955223880597,36.97127222982216
Nevada,2020-05-19,Chapter 281A,ethics in government,state controller s office,,Taxes and Public Finance,2600000061,108,13343,53,32,2,0,21,25.0,8.18,30.33268101761252,34.18885924488641
Nevada,2020-05-19,Chapter 284,state personnel system,division of human resources management,,Administration,2600000062,817,69060,179,457,42,8,131,23.0,9.35,30.654140570633263,33.93760667551678
Nevada,2020-05-19,Chapter 285,awards to state employees,board of examiners,,"Industry, Commerce, and Development",2600000063,1,50,0,1,0,0,0,9.0,4.43,0.0,23.28205128205128
Nevada,2020-05-19,Chapter 286,public employees retirement,public employees retirement system of nevada,,Administration,2600000064,46,4616,14,22,6,0,4,19.0,8.41,20.0,33.24108053007136
Nevada,2020-05-19,Chapter 287,programs for public employees,public employees benefits,,Administration,2600000065,226,21923,97,86,13,3,27,25.0,8.87,20.52194543297746,33.37942739079103
Nevada,2020-05-19,Chapter 288,local government relations with employees,local government employee management relations board,,Administration,2600000066,156,11109,51,89,4,2,10,19.0,8.62,23.835125448028677,31.8192292796282
Nevada,2020-05-19,Chapter 289,peace officers and other law enforcement personnel,nevada peace officers standards and training,,"Security, Justice, and Corrections",2600000067,142,13110,54,53,3,0,32,27.0,8.86,17.842323651452283,37.68363012579644
Nevada,2020-05-19,Chapter 293,elections,secretary of state,,Administration,2600000068,286,19054,131,96,8,1,50,23.0,8.78,23.04785894206549,32.12003899977059
Nevada,2020-05-19,Chapter 293B,mechanical voting systems or devices,secretary of state,,Administration,2600000069,65,2909,20,30,6,0,9,24.0,7.87,16.666666666666664,31.92387287509239
Nevada,2020-05-19,Chapter 293C,city elections,secretary of state,,Administration,2600000070,136,6275,76,43,3,0,14,21.0,7.97,20.819112627986343,28.948487467588592
