jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
New Hampshire,2020-05-04,"Adult Parole Board, Chapter 100",organizational rules,adult parole board,,"Security, Justice, and Corrections",1400000610,11,1419,10,0,0,0,1,22.0,7.12,5.357142857142857,29.351888667992046
New Hampshire,2020-05-04,"Adult Parole Board, Chapter 200",practice and procedure,adult parole board,,"Security, Justice, and Corrections",1400000611,105,5645,98,0,0,0,7,18.0,7.92,16.05839416058394,29.97015265436318
New Hampshire,2020-05-04,"Adult Parole Board, Chapter 300",criteria for granting and denying parole,adult parole board,,"Security, Justice, and Corrections",1400000612,12,1157,12,0,0,0,0,19.0,7.33,9.25925925925926,33.51293588301462
New Hampshire,2020-05-04,"Adult Parole Board, Chapter 400",conditions for the conduct of parolees,adult parole board,,"Security, Justice, and Corrections",1400000613,20,1027,18,0,0,2,0,21.0,7.18,4.651162790697675,35.21938775510204
New Hampshire,2020-05-04,"Adult Parole Board, Chapter 500",revocation of parole,adult parole board,,"Security, Justice, and Corrections",1400000614,21,1479,20,0,0,0,1,29.0,7.09,13.636363636363637,27.48748841519926
New Hampshire,2020-05-04,"Assessing Standards Board, Chapter 200",practices and procedures,assessing standards board,,Taxes and Public Finance,1400000065,59,3213,55,0,0,0,4,21.0,8.05,16.083916083916083,30.934337997847148
New Hampshire,2020-05-04,"Attorney General Department Of Justice, Chapter 1600",procedures for pharmaceutical drug collection and disposal programs,attorney general department of justice,,"Security, Justice, and Corrections",1400000498,60,2306,54,0,0,0,6,25.0,8.0,12.22222222222222,37.64779270633397
New Hampshire,2020-05-04,"Attorney General Department Of Justice, Chapter 2000",office of chief medical examiner,attorney general department of justice,,"Security, Justice, and Corrections",1400000499,183,10986,179,0,0,0,4,33.0,8.93,42.02453987730061,33.26022602260226
New Hampshire,2020-05-04,"Attorney General Department Of Justice, Chapter 800",model rules of practice and procedure,attorney general department of justice,,"Security, Justice, and Corrections",1400000497,83,4639,81,0,0,0,2,27.0,8.25,29.81366459627329,30.23675255226057
New Hampshire,2020-05-04,"Ballot Law Commission, Chapter 100",definitions organization and public information,ballot law commission,,Administration,1400000076,16,489,15,0,0,0,1,15.0,6.85,6.666666666666667,36.49643705463183
