jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
New Jersey,2022-04-25,"Title 10A, Chapter 1",administration organization and management,corrections,,"Security, Justice, and Corrections",17700002592,199,14619,157,13,0,16,13,21.0,9.44,18.501529051987767,38.79499092558984
New Jersey,2022-04-25,"Title 10A, Chapter 10",interjurisdictional agreements and statutes,corrections,,"Security, Justice, and Corrections",17700002601,207,10286,188,13,3,0,3,23.0,8.73,22.146118721461185,37.63475396335186
New Jersey,2022-04-25,"Title 10A, Chapter 12",inmate groups,corrections,,"Security, Justice, and Corrections",17700002602,50,1937,47,1,0,1,1,18.0,7.56,15.384615384615383,41.40055710306407
New Jersey,2022-04-25,"Title 10A, Chapter 13",inmate jobs and wages,corrections,,"Security, Justice, and Corrections",17700002603,53,2361,46,2,0,0,5,22.0,7.56,23.0,37.93721770551039
New Jersey,2022-04-25,"Title 10A, Chapter 14",inmate hygiene and grooming use of tobacco products inmate identification photographs housekeeping and sanitation clothing bedding and laundry,corrections,,"Security, Justice, and Corrections",17700002604,108,3527,99,1,0,0,8,22.0,8.35,25.657894736842103,37.838768668089
New Jersey,2022-04-25,"Title 10A, Chapter 15",tenure teachers and other certified professional educators,corrections,,"Security, Justice, and Corrections",17700002605,35,1609,33,0,0,0,2,24.0,7.86,31.25,40.22523117569353
New Jersey,2022-04-25,"Title 10A, Chapter 16",health services,corrections,,"Security, Justice, and Corrections",17700002606,423,17396,385,8,1,7,22,20.0,9.2,16.251482799525505,38.96328478766369
New Jersey,2022-04-25,"Title 10A, Chapter 17",social services,corrections,,"Security, Justice, and Corrections",17700002607,252,11793,234,9,0,2,7,19.0,8.75,14.383561643835616,40.86062528318985
New Jersey,2022-04-25,"Title 10A, Chapter 18",mail visits and telephone,corrections,,"Security, Justice, and Corrections",17700002608,452,16660,406,21,2,9,14,21.0,8.88,21.032258064516128,37.31918701265499
New Jersey,2022-04-25,"Title 10A, Chapter 19",news media and public information dissemination,corrections,,"Security, Justice, and Corrections",17700002609,33,2057,30,0,0,2,1,20.0,7.85,17.708333333333336,43.23385416666667
New Jersey,2022-04-25,"Title 10A, Chapter 2",fiscal management,corrections,,"Security, Justice, and Corrections",17700002593,119,5032,111,5,0,1,2,21.0,8.61,17.77777777777778,39.04104558219918
New Jersey,2022-04-25,"Title 10A, Chapter 20",residential community programs,corrections,,"Security, Justice, and Corrections",17700002610,185,8275,160,4,1,8,12,21.0,8.54,20.435967302452315,40.57477853048463
New Jersey,2022-04-25,"Title 10A, Chapter 21",reports,corrections,,"Security, Justice, and Corrections",17700002611,55,3553,51,1,0,2,1,24.0,8.33,30.0,38.294768310911806
New Jersey,2022-04-25,"Title 10A, Chapter 22",records,corrections,,"Security, Justice, and Corrections",17700002612,53,3103,53,0,0,0,0,21.0,8.47,23.18840579710145,38.92931754874652
New Jersey,2022-04-25,"Title 10A, Chapter 24",substance use disorder treatment programs,corrections,,"Security, Justice, and Corrections",17700002613,67,4433,59,1,0,7,0,15.0,8.13,7.7490774907749085,40.786430960344006
New Jersey,2022-04-25,"Title 10A, Chapter 3",security and control,corrections,,"Security, Justice, and Corrections",17700002594,440,17855,384,24,1,12,19,22.0,9.25,27.82719186785261,36.30114902098722
New Jersey,2022-04-25,"Title 10A, Chapter 31",adult county correctional facilities,corrections,,"Security, Justice, and Corrections",17700002614,937,39131,875,21,2,9,30,19.0,9.74,19.425935417734493,37.82790077063421
New Jersey,2022-04-25,"Title 10A, Chapter 34",new jersey municipal detention facilities,corrections,,"Security, Justice, and Corrections",17700002615,162,6915,148,2,0,2,10,20.0,8.83,18.31831831831832,36.04129972669298
New Jersey,2022-04-25,"Title 10A, Chapter 35",special treatment units,corrections,,"Security, Justice, and Corrections",17700002616,84,4454,77,0,0,4,3,27.0,8.68,25.625,37.04579792256846
New Jersey,2022-04-25,"Title 10A, Chapter 4",inmate discipline,corrections,,"Security, Justice, and Corrections",17700002595,329,15471,255,3,3,59,9,20.0,9.22,20.158102766798415,37.68138129891528
New Jersey,2022-04-25,"Title 10A, Chapter 5",close custody units,corrections,,"Security, Justice, and Corrections",17700002596,374,15683,354,7,2,5,6,16.0,8.73,17.97752808988764,35.11946050096339
New Jersey,2022-04-25,"Title 10A, Chapter 6",inmate access to courts,corrections,,"Security, Justice, and Corrections",17700002597,101,4341,90,5,1,0,5,21.0,8.28,13.0,38.11961839530333
New Jersey,2022-04-25,"Title 10A, Chapter 7",inmate abuse reporting and investigation,corrections,,"Security, Justice, and Corrections",17700002598,21,971,18,1,0,0,2,27.0,7.1,20.588235294117645,36.700221238938056
New Jersey,2022-04-25,"Title 10A, Chapter 71",parole,corrections,,"Security, Justice, and Corrections",17700002617,1381,61435,1269,15,9,4,84,24.0,9.01,26.95439739413681,33.5745082421388
New Jersey,2022-04-25,"Title 10A, Chapter 72",division of parole,corrections,,"Security, Justice, and Corrections",17700002618,639,27731,585,8,4,8,34,25.0,9.02,26.70979667282809,36.12047965609563
New Jersey,2022-04-25,"Title 10A, Chapter 8",inmate orientation and handbook,corrections,,"Security, Justice, and Corrections",17700002599,24,1076,23,0,0,0,1,10.0,7.47,14.85148514851485,43.83030303030303
