jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
New Mexico,2020-06-05,"Title 10, Chapter 10, Part 2",application procedures governing the recovery and reinvestment edward byrne memorial justice assistance grant program,drug control programs,public safety and law enforcement,"Security, Justice, and Corrections",900001272,39,4358,11,22,0,1,5,27.0,8.8,11.612903225806452,36.63014069264069
New Mexico,2020-06-05,"Title 10, Chapter 10, Part 3",application procedures governing the edward byrne memorial justice assistance grant program,drug control programs,public safety and law enforcement,"Security, Justice, and Corrections",900001273,35,2641,16,11,0,0,8,27.0,8.37,10.989010989010987,38.134453781512605
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 1",general provisions,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001274,23,2082,19,1,0,0,3,20.0,8.3,12.871287128712872,36.55301794453507
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 10",furlough reduction in force reemployment separation without prejudi,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001283,53,2811,46,5,1,0,1,43.0,7.9,29.03225806451613,34.70958795562599
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 11",discipline,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001284,18,1355,12,2,3,0,1,35.0,7.43,38.88888888888889,36.32568402471315
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 12",adjudication,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001285,65,3098,55,6,1,0,3,22.0,8.15,21.96969696969697,33.42044218919899
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 13",rule making,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001286,14,648,14,0,0,0,0,26.0,6.49,27.27272727272727,33.76923076923077
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 14",interim case refusal protocol,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001287,34,1477,34,0,0,0,0,27.0,7.26,30.0,38.810980392156864
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 2",appointments,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001275,8,1041,5,0,0,0,3,26.0,6.99,41.66666666666667,35.87834549878345
New Mexico,2020-06-05,"Title 10, Chapter 12, Part 3",classification,public defender department,public safety and law enforcement,"Security, Justice, and Corrections",900001276,6,599,4,1,0,0,1,25.0,6.61,19.047619047619047,43.16086956521739
