jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
North Carolina,2020-04-20,"Title 10A, Chapter 1",departmental rules,departmental rules,health and human services,Health Services,11000001714,237,12610,182,25,3,4,23,22.0,9.24,16.57940663176265,36.48033055005595
North Carolina,2020-04-20,"Title 10A, Chapter 10",subsidized child care,subsidized child care,health and human services,Social Assistance,11000001718,209,10467,187,6,0,1,15,27.0,8.95,17.1875,34.82762301206105
North Carolina,2020-04-20,"Title 10A, Chapter 13",nc medical care commission,nc medical care commission,health and human services,Health Services,11000001719,4860,220421,4296,128,10,10,416,23.0,10.17,14.041705962485592,36.87208815942794
North Carolina,2020-04-20,"Title 10A, Chapter 14",director division of health service regulation,director division of health service regulation,health and human services,Health Services,11000001720,1193,59594,1086,34,1,2,70,19.0,9.89,10.13557133634603,36.60770528150998
North Carolina,2020-04-20,"Title 10A, Chapter 15",radiation protection,radiation protection,health and human services,"Environmental Protection, Public Utilities, and Natural Resources",11000001721,1938,123227,1580,58,11,10,279,30.0,10.15,21.294928606597736,36.89329533904458
North Carolina,2020-04-20,"Title 10A, Chapter 17",services for the deaf and hard of hearing,services for the deaf and hard of hearing,health and human services,Social Assistance,11000001722,79,6225,65,12,0,0,2,20.0,8.72,14.423076923076922,34.44797273053462
North Carolina,2020-04-20,"Title 10A, Chapter 21",medical assistance administration,medical assistance administration,health and human services,Health Services,11000001723,26,1008,25,1,0,0,0,17.0,7.48,22.41379310344828,30.67460317460317
North Carolina,2020-04-20,"Title 10A, Chapter 22",medical assistance eligibility,medical assistance eligibility,health and human services,Social Assistance,11000001724,186,11993,176,1,0,0,9,16.0,8.93,10.807113543091656,34.26968255509174
North Carolina,2020-04-20,"Title 10A, Chapter 23",medical assistance administration,medical assistance administration,health and human services,Health Services,11000001725,296,20423,253,22,1,0,20,22.0,9.58,21.380090497737555,34.27090539724373
North Carolina,2020-04-20,"Title 10A, Chapter 25",medical assistance provided,medical assistance provided,health and human services,Health Services,11000001726,37,2575,34,0,1,0,2,14.0,8.29,5.747126436781609,38.10027985074627
North Carolina,2020-04-20,"Title 10A, Chapter 26",mental health general,mental health general,health and human services,Health Services,11000001727,769,45527,693,11,4,6,55,20.0,9.63,13.058720420683612,38.24008465081538
North Carolina,2020-04-20,"Title 10A, Chapter 27",mental health community facilities and services,mental health community facilities and services,health and human services,Health Services,11000001728,2010,104766,1856,47,5,12,90,21.0,9.96,12.492307692307692,37.40906882933114
