jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
North Dakota,2020-05-14,"Title 100, Article 01",general administration,state seed arbitration board,,"Industry, Commerce, and Development",2400000432,4,270,4,0,0,0,0,12.0,6.48,0.0,40.55607476635514
North Dakota,2020-05-14,"Title 100, Article 02",seed arbitration,state seed arbitration board,,"Industry, Commerce, and Development",2400000433,16,1067,11,4,0,0,1,17.0,7.13,15.873015873015872,36.23148148148148
North Dakota,2020-05-14,"Title 101, Article 01",general administration,real estate appraiser qualifications and ethics board,,Taxes and Public Finance,2400000434,8,442,0,8,0,0,0,16.0,7.04,3.7037037037037033,44.87437185929648
North Dakota,2020-05-14,"Title 101, Article 02",appraiser apprentice licensure and certification,real estate appraiser qualifications and ethics board,,Taxes and Public Finance,2400000435,51,4266,11,27,2,0,11,17.0,7.78,4.878048780487805,43.56521739130435
North Dakota,2020-05-14,"Title 101, Article 03",standards of appraisal practice,real estate appraiser qualifications and ethics board,,Taxes and Public Finance,2400000436,3,388,1,1,0,0,1,18.0,6.21,0.0,48.40590405904059
North Dakota,2020-05-14,"Title 101, Article 03-1",disciplinary matters,real estate appraiser qualifications and ethics board,,Taxes and Public Finance,2400000437,19,1722,13,3,2,0,1,16.0,7.58,9.615384615384617,41.54584527220631
North Dakota,2020-05-14,"Title 101, Article 04",continuing education,real estate appraiser qualifications and ethics board,,Taxes and Public Finance,2400000438,8,390,1,6,0,0,1,20.0,6.7,5.263157894736842,40.45217391304348
North Dakota,2020-05-14,"Title 101, Article 05",appraisal management companies,real estate appraiser qualifications and ethics board,,Taxes and Public Finance,2400000439,34,2878,16,11,0,0,7,18.0,7.85,6.41025641025641,39.136051502145925
North Dakota,2020-05-14,"Title 102, Article 01",general administration,state investment board,,Taxes and Public Finance,2400000440,1,343,0,1,0,0,0,12.0,6.69,0.0,41.0
North Dakota,2020-05-14,"Title 103, Article 01",general administration,state retirement and investment office,,Administration,2400000441,0,285,0,0,0,0,0,12.0,6.56,0.0,44.89592760180995
North Dakota,2020-05-14,"Title 104, Article 01",general administration,north dakota board of hearing instrument dispensers,,Health Services,2400000442,1,244,0,1,0,0,0,12.0,6.38,0.0,43.432038834951456
North Dakota,2020-05-14,"Title 104, Article 02",miscellaneous provisions,north dakota board of hearing instrument dispensers,,Health Services,2400000443,6,703,1,5,0,0,0,18.0,7.32,10.0,39.53589315525876
North Dakota,2020-05-14,"Title 104, Article 03",licensure,north dakota board of hearing instrument dispensers,,Health Services,2400000444,12,959,0,8,0,0,4,13.0,7.46,7.042253521126761,41.77588466579292
North Dakota,2020-05-14,"Title 104, Article 04",supervision and training,north dakota board of hearing instrument dispensers,,Health Services,2400000445,8,774,0,4,1,0,3,13.0,7.49,1.639344262295082,41.25739644970414
North Dakota,2020-05-14,"Title 104, Article 05",continuing education,north dakota board of hearing instrument dispensers,,Health Services,2400000446,3,159,1,1,0,0,1,16.0,6.08,0.0,48.696969696969695
North Dakota,2020-05-14,"Title 104, Article 06",practice requirements,north dakota board of hearing instrument dispensers,,Health Services,2400000447,6,466,1,4,0,0,1,20.0,6.77,13.043478260869565,36.1875
North Dakota,2020-05-14,"Title 105, Article 01",general administration,north dakota state board of respiratory care,,Health Services,2400000448,0,241,0,0,0,0,0,11.0,6.39,0.0,48.61224489795919
North Dakota,2020-05-14,"Title 105, Article 02",respiratory care practitioner licensure,north dakota state board of respiratory care,,Health Services,2400000449,13,957,0,11,0,0,2,15.0,7.35,6.25,42.18942189421895
North Dakota,2020-05-14,"Title 105, Article 03",practice of respiratory care,north dakota state board of respiratory care,,Health Services,2400000450,3,435,2,1,0,0,0,19.0,6.37,4.3478260869565215,44.0030487804878
North Dakota,2020-05-14,"Title 105, Article 04",registered polysomnography technologist licensure,north dakota state board of respiratory care,,Health Services,2400000451,13,901,0,11,0,0,2,14.0,7.18,6.0606060606060606,42.64016172506739
North Dakota,2020-05-14,"Title 105, Article 05",practice of polysomnography,north dakota state board of respiratory care,,Health Services,2400000452,9,930,3,2,0,2,2,18.0,7.74,3.92156862745098,50.31653746770026
North Dakota,2020-05-14,"Title 106, Article 01",general administration,board of athletic trainers,,"Culture, Recreation, and the Arts",2400000453,1,486,0,0,1,0,0,15.0,7.06,3.0303030303030303,39.078758949880665
North Dakota,2020-05-14,"Title 106, Article 02",licensure,board of athletic trainers,,"Culture, Recreation, and the Arts",2400000454,12,842,0,10,1,0,1,15.0,7.13,7.017543859649122,37.39118065433855
North Dakota,2020-05-14,"Title 106, Article 03",practice of athletic training,board of athletic trainers,,"Culture, Recreation, and the Arts",2400000455,10,827,4,5,1,0,0,15.0,7.26,8.771929824561402,37.30948905109489
North Dakota,2020-05-14,"Title 107, Article 01",general administration,crop protection product harmonization and registration board,,"Industry, Commerce, and Development",2400000456,0,430,0,0,0,0,0,23.0,7.26,5.263157894736842,43.64420485175202
North Dakota,2020-05-14,"Title 107, Article 02",pesticide harmonization and registration programs,crop protection product harmonization and registration board,,"Industry, Commerce, and Development",2400000457,15,2529,2,10,1,0,2,14.0,8.39,4.371584699453552,40.56840684068407
North Dakota,2020-05-14,"Title 108, Article 01",north dakota state building code,department of commerce,,"Industry, Commerce, and Development",2400000458,5,2655,0,3,2,0,0,18.0,7.64,6.25,40.80420560747663
North Dakota,2020-05-14,"Title 108, Article 02",third party inspections program,department of commerce,,"Industry, Commerce, and Development",2400000459,56,4335,20,24,0,0,12,16.0,8.74,6.859205776173286,46.56697108066971
North Dakota,2020-05-14,"Title 108, Article 03",manufactured home installation program,department of commerce,,"Industry, Commerce, and Development",2400000460,82,4754,46,18,4,0,14,19.0,8.23,13.414634146341465,44.62667591308368
North Dakota,2020-05-14,"Title 109, Article 01",general administration,peace officer standards and training board,,"Security, Justice, and Corrections",2400000461,3,519,2,1,0,0,0,15.0,6.69,5.88235294117647,41.3066037735849
North Dakota,2020-05-14,"Title 109, Article 02",peace officer standards,peace officer standards and training board,,"Security, Justice, and Corrections",2400000462,200,11108,92,61,20,2,25,17.0,8.12,12.63482280431433,38.25219820006207
North Dakota,2020-05-14,"Title 10, Article 01",organization,attorney general,,"Security, Justice, and Corrections",2400000035,0,2215,0,0,0,0,0,22.0,8.23,6.862745098039216,46.66203259827421
North Dakota,2020-05-14,"Title 10, Article 07",fire marshal,attorney general,,"Security, Justice, and Corrections",2400000036,8,877,8,0,0,0,0,15.0,7.19,10.526315789473683,41.66423357664234
North Dakota,2020-05-14,"Title 10, Article 08",alcoholic beverages,attorney general,,"Security, Justice, and Corrections",2400000037,16,961,3,12,0,0,1,18.0,7.22,11.320754716981131,38.06224627875508
North Dakota,2020-05-14,"Title 10, Article 09",amusement games or devices,attorney general,,"Security, Justice, and Corrections",2400000038,17,1413,2,3,6,3,3,18.0,7.68,11.688311688311687,32.17313915857605
North Dakota,2020-05-14,"Title 10, Article 10",transient merchants,attorney general,,"Security, Justice, and Corrections",2400000039,17,788,4,1,1,0,11,23.0,6.8,11.428571428571429,39.82270606531882
North Dakota,2020-05-14,"Title 10, Article 11",detection of deception examiners,attorney general,,"Security, Justice, and Corrections",2400000040,24,2057,8,6,6,0,4,12.0,8.03,5.813953488372093,39.58465011286682
North Dakota,2020-05-14,"Title 10, Article 12",concealed firearms and dangerous weapons,attorney general,,"Security, Justice, and Corrections",2400000041,62,3861,18,25,7,2,10,17.0,7.93,3.508771929824561,41.74705349048051
North Dakota,2020-05-14,"Title 10, Article 13",criminal history record information,attorney general,,"Security, Justice, and Corrections",2400000042,79,5875,32,21,6,3,17,15.0,7.87,5.86734693877551,44.51795096322242
North Dakota,2020-05-14,"Title 10, Article 15",deceptive acts or practices,attorney general,,"Security, Justice, and Corrections",2400000043,3,1938,1,1,0,0,1,25.0,7.15,23.07692307692308,33.77449748743719
North Dakota,2020-05-14,"Title 10, Article 16",multi state lottery,attorney general,,"Security, Justice, and Corrections",2400000044,254,22332,98,94,37,4,21,19.0,8.95,16.490299823633155,29.80576843413422
North Dakota,2020-05-14,"Title 10, Article 17",state crime laboratory,attorney general,,"Security, Justice, and Corrections",2400000045,22,1658,11,7,0,0,4,16.0,7.58,14.150943396226417,40.57373595505618
North Dakota,2020-05-14,"Title 10, Article 18",criminal justice data information sharing,attorney general,,"Security, Justice, and Corrections",2400000046,21,2190,14,2,2,2,1,19.0,7.7,15.65217391304348,41.24975173783516
North Dakota,2020-05-14,"Title 111, Article 01",administration,marriage and family therapy licensure board,,Health Services,2400000463,2,200,0,2,0,0,0,12.0,6.39,0.0,41.15625
North Dakota,2020-05-14,"Title 111, Article 02",licensure and fees,marriage and family therapy licensure board,,Health Services,2400000464,262,12790,63,156,6,5,32,22.0,8.97,12.224108658743631,38.91879291345257
North Dakota,2020-05-14,"Title 112, Article 01",general administration,integrative health care,,Health Services,2400000465,44,4262,35,3,1,0,5,17.0,8.5,10.887096774193548,38.50962596259626
North Dakota,2020-05-14,"Title 112, Article 02",naturopathic licensure,integrative health care,,Health Services,2400000466,54,3475,22,21,1,1,9,14.0,8.26,5.737704918032787,43.06842285323298
North Dakota,2020-05-14,"Title 112, Article 03",music therapist licensure,integrative health care,,Health Services,2400000467,33,1923,14,14,1,0,4,14.0,7.58,8.088235294117647,39.51339563862928
North Dakota,2020-05-14,"Title 112, Article 04",acupuncture licensure,integrative health care,,Health Services,2400000468,50,3371,21,17,2,1,9,15.0,8.22,6.896551724137931,43.0526692941598
North Dakota,2020-05-14,"Title 113, Article 02",north dakota health information network,north dakota health information network,,Health Services,2400000469,24,2278,15,2,2,2,3,18.0,7.49,8.94308943089431,44.138415245737214
North Dakota,2020-05-14,"Title 114, Article 01",general administration,medical imaging and radiation therapy board,,Health Services,2400000470,11,2132,2,5,1,0,3,14.0,8.35,3.333333333333333,44.187113402061854
North Dakota,2020-05-14,"Title 114, Article 02",license requirements,medical imaging and radiation therapy board,,Health Services,2400000471,147,6104,83,27,10,0,27,19.0,8.07,4.049844236760125,46.585944919278255
North Dakota,2020-05-14,"Title 114, Article 03",disciplinary action,medical imaging and radiation therapy board,,Health Services,2400000472,35,3302,6,16,0,0,13,17.0,8.26,11.616161616161616,37.07118644067797
North Dakota,2020-05-14,"Title 114, Article 04",standards of practice,medical imaging and radiation therapy board,,Health Services,2400000473,1,319,1,0,0,0,0,17.0,7.01,5.263157894736842,50.63928571428571
North Dakota,2020-05-14,"Title 11, Article 01",general administration,board of examiners on audiology and speech language pathology,,Health Services,2400000047,0,263,0,0,0,0,0,12.0,6.6,0.0,43.595238095238095
North Dakota,2020-05-14,"Title 11, Article 02",audiologist and speech language pathologist licensure,board of examiners on audiology and speech language pathology,,Health Services,2400000048,35,3098,17,10,2,0,6,16.0,8.21,7.253886010362693,43.52329881656805
North Dakota,2020-05-14,"Title 12-5, Article 02",college save,bank of north dakota,,"Banking, Insurance, and Securities",2400000049,68,6885,43,10,1,0,14,18.0,8.46,15.64102564102564,38.37105058365759
North Dakota,2020-05-14,"Title 12-5, Article 03",state credit card administration,bank of north dakota,,"Banking, Insurance, and Securities",2400000050,3,718,0,3,0,0,0,13.0,6.76,1.8867924528301887,38.61472602739726
North Dakota,2020-05-14,"Title 12-5, Article 04",north dakota achieving a better life experience plan,bank of north dakota,,"Banking, Insurance, and Securities",2400000051,7,499,7,0,0,0,0,19.0,6.6,0.0,39.08009708737864
North Dakota,2020-05-14,"Title 13, Article 01",general administration,department of financial institutions,,"Banking, Insurance, and Securities",2400000052,7,1004,3,4,0,0,0,16.0,7.51,1.5873015873015872,43.06623235613464
North Dakota,2020-05-14,"Title 13, Article 01-1",practice and procedure,department of financial institutions,,"Banking, Insurance, and Securities",2400000053,113,6968,54,49,1,4,5,15.0,7.9,8.74439461883408,36.59527353926312
North Dakota,2020-05-14,"Title 13, Article 02",banking and savings and loan associations,department of financial institutions,,"Banking, Insurance, and Securities",2400000054,152,14736,45,61,15,1,30,17.0,8.82,13.325471698113208,39.18640170799803
North Dakota,2020-05-14,"Title 13, Article 03",credit unions,department of financial institutions,,"Banking, Insurance, and Securities",2400000055,293,27846,89,131,11,5,57,20.0,9.37,10.95690284879474,38.4122340425532
North Dakota,2020-05-14,"Title 13, Article 04",consumer finance,department of financial institutions,,"Banking, Insurance, and Securities",2400000056,26,3229,2,5,1,16,2,17.0,8.09,10.052910052910052,36.23439821693908
North Dakota,2020-05-14,"Title 13, Article 05",money brokers,department of financial institutions,,"Banking, Insurance, and Securities",2400000057,24,1300,4,14,1,0,5,20.0,7.5,15.625,36.149155722326455
North Dakota,2020-05-14,"Title 13, Article 06",deferred presentment service providers,department of financial institutions,,"Banking, Insurance, and Securities",2400000058,81,3985,30,35,4,0,12,14.0,8.41,8.156028368794328,39.26421022564981
North Dakota,2020-05-14,"Title 13, Article 07",money transmitters,department of financial institutions,,"Banking, Insurance, and Securities",2400000059,1,101,0,0,0,0,1,20.0,5.26,0.0,41.68493150684932
North Dakota,2020-05-14,"Title 13, Article 08",mortgage loan originators,department of financial institutions,,"Banking, Insurance, and Securities",2400000060,4,172,4,0,0,0,0,19.0,5.9,11.11111111111111,36.67605633802817
North Dakota,2020-05-14,"Title 14, Article 01",general administration,board of barber examiners,,"Industry, Commerce, and Development",2400000061,1,266,0,1,0,0,0,13.0,6.58,0.0,39.21681415929204
North Dakota,2020-05-14,"Title 14, Article 02",sanitation and prevention of communicable diseases,board of barber examiners,,"Industry, Commerce, and Development",2400000062,57,2152,34,17,0,5,1,16.0,7.49,10.44776119402985,37.05111244738425
North Dakota,2020-05-14,"Title 14, Article 03",license to practice barbering,board of barber examiners,,"Industry, Commerce, and Development",2400000063,10,789,4,4,1,0,1,14.0,7.42,20.0,36.35043988269795
North Dakota,2020-05-14,"Title 14, Article 04",general administrative rules for operation of barber shops schools and colleges,board of barber examiners,,"Industry, Commerce, and Development",2400000064,25,1239,21,0,0,0,4,13.0,7.25,2.083333333333333,37.31466395112016
North Dakota,2020-05-14,"Title 15, Article 01",general administration,beef commission,,"Industry, Commerce, and Development",2400000065,1,302,0,1,0,0,0,12.0,6.8,4.166666666666666,41.44656488549618
North Dakota,2020-05-14,"Title 17, Article 01",general administration,board of chiropractic examiners,,Health Services,2400000066,16,1221,14,0,0,0,2,15.0,7.14,6.172839506172839,35.71871657754011
North Dakota,2020-05-14,"Title 17, Article 02",chiropractic licensure,board of chiropractic examiners,,Health Services,2400000067,51,3349,16,25,1,1,8,16.0,7.86,14.285714285714285,42.96270121711818
North Dakota,2020-05-14,"Title 17, Article 03",disciplinary matters,board of chiropractic examiners,,Health Services,2400000068,42,3092,15,20,3,0,4,16.0,8.73,9.62566844919786,38.605598866052446
North Dakota,2020-05-14,"Title 18-6, Article 01",general administration,north dakota mediation service and credit review board,,"Industry, Commerce, and Development",2400000069,7,968,6,0,1,0,0,11.0,6.78,5.063291139240507,45.132047477744806
North Dakota,2020-05-14,"Title 19, Article 01",general administration,dairy promotion commission not an administrative agency,,"Industry, Commerce, and Development",2400000070,0,378,0,0,0,0,0,14.0,6.8,0.0,40.969040247678016
North Dakota,2020-05-14,"Title 19, Article 02",dairy products promotion,dairy promotion commission not an administrative agency,,"Industry, Commerce, and Development",2400000071,7,337,0,5,0,0,2,18.0,6.36,0.0,34.849624060150376
North Dakota,2020-05-14,"Title 20-5, Article 01",general administration,board of dietetic practice,,Health Services,2400000077,2,224,0,2,0,0,0,10.0,6.44,0.0,41.50282485875706
North Dakota,2020-05-14,"Title 20-5, Article 02",initial licensure and renewals,board of dietetic practice,,Health Services,2400000078,20,1867,1,17,1,0,1,16.0,7.95,6.1946902654867255,39.990512333965846
North Dakota,2020-05-14,"Title 20, Article 01",general administration,state board of dental examiners,,Health Services,2400000072,8,1729,2,5,0,0,1,17.0,8.35,5.05050505050505,41.90862944162436
North Dakota,2020-05-14,"Title 20, Article 02",dentists,state board of dental examiners,,Health Services,2400000073,75,5772,34,24,6,1,10,18.0,8.58,16.24203821656051,40.04354679802956
North Dakota,2020-05-14,"Title 20, Article 03",dental assistants,state board of dental examiners,,Health Services,2400000074,16,2849,8,4,1,2,1,15.0,8.21,3.804347826086957,43.78277734678045
North Dakota,2020-05-14,"Title 20, Article 04",dental hygienists,state board of dental examiners,,Health Services,2400000075,26,3389,9,10,1,2,4,13.0,8.38,3.125,43.19847074468085
