jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Ohio,2020-06-02,"Title 011, Chapter 1",meetings,apportionment board,,Administration,4000002528,41,5252,37,2,0,0,2,25.0,7.47,45.0261780104712,34.38237774030354
Ohio,2020-06-02,"Title 101, Chapter 1",operating procedures,joint legislative ethics committee,,Administration,4000002529,46,3999,42,0,0,0,4,34.0,7.97,47.70642201834863,34.225614927905006
Ohio,2020-06-02,"Title 101, Chapter 11",executive agency lobbying,joint legislative ethics committee,,Administration,4000002533,1,946,0,0,0,0,1,31.0,7.77,34.48275862068966,35.09855769230769
Ohio,2020-06-02,"Title 101, Chapter 5",financial disclosure requirements,joint legislative ethics committee,,Administration,4000002530,10,876,8,0,0,0,2,46.0,7.66,44.44444444444444,35.812345679012346
Ohio,2020-06-02,"Title 101, Chapter 7",adjudication procedures,joint legislative ethics committee,,Administration,4000002531,66,6688,61,3,0,0,2,30.0,7.65,53.96039603960397,34.12361087365362
Ohio,2020-06-02,"Title 101, Chapter 9",legislative lobbying,joint legislative ethics committee,,Administration,4000002532,1,557,0,0,0,0,1,24.0,7.27,33.33333333333333,34.675324675324674
Ohio,2020-06-02,"Title 102, Chapter 1",definitions and operating procedures,ohio ethics commission,,Administration,4000002534,38,8228,25,5,0,0,8,33.0,8.2,39.130434782608695,36.86702868281816
Ohio,2020-06-02,"Title 102, Chapter 11",settlements,ohio ethics commission,,Administration,4000002539,4,1564,3,1,0,0,0,35.0,7.57,58.53658536585365,37.70788141720897
Ohio,2020-06-02,"Title 102, Chapter 3",advisory opinions,ohio ethics commission,,Administration,4000002535,5,4461,0,2,0,0,3,37.0,7.81,55.85585585585585,33.535200605601815
Ohio,2020-06-02,"Title 102, Chapter 5",financial disclosure filing,ohio ethics commission,,Administration,4000002536,66,9067,2,31,0,0,33,38.0,7.88,58.29596412556054,34.602507374631266
Ohio,2020-06-02,"Title 102, Chapter 7",investigations complaints,ohio ethics commission,,Administration,4000002537,18,2914,6,9,0,0,3,34.0,7.74,58.22784810126582,35.02778864970646
Ohio,2020-06-02,"Title 102, Chapter 9",hearings on complaints,ohio ethics commission,,Administration,4000002538,35,4178,28,7,0,0,0,29.0,7.59,53.43511450381679,33.01914778856526
Ohio,2020-06-02,"Title 103, Chapter 1",general provisions,ohio legislative service commission,,Administration,4000002540,10,1019,8,0,0,0,2,36.0,7.36,61.53846153846154,32.43233944954128
Ohio,2020-06-02,"Title 103, Chapter 3",rules,ohio legislative service commission,,Administration,4000002541,7,1814,6,0,0,0,1,75.0,7.59,69.56521739130434,33.23347745521927
Ohio,2020-06-02,"Title 103, Chapter 5",format for bills acts and joint resolutions,ohio legislative service commission,,Administration,4000002542,0,911,0,0,0,0,0,36.0,7.03,52.17391304347826,33.84019975031211
Ohio,2020-06-02,"Title 107, Chapter 1",governor s residence advisory commission,office of the governor,,Administration,4000002543,28,1215,27,1,0,0,0,29.0,7.51,31.70731707317073,34.0026525198939
Ohio,2020-06-02,"Title 107, Chapter 2",accessing confidential personal information,office of the governor,,Administration,4000002544,25,4231,22,0,0,0,3,35.0,8.21,38.05309734513274,39.31349819680577
Ohio,2020-06-02,"Title 107, Chapter 3",procedure for actions or proposed actions,office of the governor,,Administration,4000002545,19,3070,17,0,0,0,2,55.0,7.9,60.37735849056604,32.42941380506417
Ohio,2020-06-02,"Title 109-1, Chapter 1",registration of charitable trusts,charitable foundation,,Administration,4000002551,42,4686,21,5,1,0,15,37.0,7.82,56.03448275862068,36.08792554494244
Ohio,2020-06-02,"Title 109-1, Chapter 2",reduced charitable bingo license fees,charitable foundation,,Administration,4000002552,25,3018,25,0,0,0,0,63.0,7.34,,29.593873873873875
Ohio,2020-06-02,"Title 109-1, Chapter 3",application for charitable bingo license,charitable foundation,,Administration,4000002553,22,2298,16,1,0,0,5,82.0,7.6,59.25925925925925,37.09548693586699
Ohio,2020-06-02,"Title 109-1, Chapter 4",charitable organization bingo,charitable foundation,,Administration,4000002554,8,5030,7,0,0,0,1,46.0,7.46,75.0,33.13132947976879
Ohio,2020-06-02,"Title 109-1, Chapter 5",reports,charitable foundation,,Administration,4000002555,5,761,2,0,0,0,3,36.0,7.0,63.1578947368421,36.73634945397816
Ohio,2020-06-02,"Title 109-2, Chapter 1",basic training program,peace officer training commission,,"Security, Justice, and Corrections",4000002556,177,12128,129,12,1,0,35,37.0,8.42,41.612903225806456,35.207618329247595
Ohio,2020-06-02,"Title 109-2, Chapter 11",jail training program for five day facilities,peace officer training commission,,"Security, Justice, and Corrections",4000002564,98,8285,71,1,0,0,26,33.0,8.07,37.06896551724138,35.97075858172058
Ohio,2020-06-02,"Title 109-2, Chapter 13",firearms re qualifications program,peace officer training commission,,"Security, Justice, and Corrections",4000002565,46,3771,40,1,0,0,5,30.0,7.78,38.59649122807017,36.35370772572138
Ohio,2020-06-02,"Title 109-2, Chapter 15",humane agent training course,peace officer training commission,,"Security, Justice, and Corrections",4000002566,15,2333,7,7,0,0,1,32.0,7.34,53.03030303030303,34.0423685553854
Ohio,2020-06-02,"Title 109-2, Chapter 18",continuing professional training for peace officers and troopers,peace officer training commission,,"Security, Justice, and Corrections",4000002567,56,5034,43,3,0,0,10,29.0,8.03,36.477987421383645,37.20823798627002
Ohio,2020-06-02,"Title 109-2, Chapter 2",tactical medical professional,peace officer training commission,,"Security, Justice, and Corrections",4000002557,12,1649,5,0,0,0,7,34.0,7.15,59.09090909090909,35.889736477115115
Ohio,2020-06-02,"Title 109-2, Chapter 3",private basic course training program,peace officer training commission,,"Security, Justice, and Corrections",4000002558,111,8978,76,19,0,0,16,28.0,8.21,33.44594594594595,36.5
Ohio,2020-06-02,"Title 109-2, Chapter 4",outside employment policy,peace officer training commission,,"Security, Justice, and Corrections",4000002559,0,280,0,0,0,0,0,25.0,6.32,60.0,33.92094861660079
Ohio,2020-06-02,"Title 109-2, Chapter 5",basic course training program for bailiffs and deputy bailiffs,peace officer training commission,,"Security, Justice, and Corrections",4000002560,59,5511,38,5,0,0,16,34.0,7.9,45.033112582781456,35.44653179190752
Ohio,2020-06-02,"Title 109-2, Chapter 6",basic course training program for criminal investigators employed by state public defender,peace officer training commission,,"Security, Justice, and Corrections",4000002561,41,5220,33,2,0,0,6,34.0,7.59,53.23741007194245,36.518484710178
Ohio,2020-06-02,"Title 109-2, Chapter 7",law enforcement canine units and evaluators,peace officer training commission,,"Security, Justice, and Corrections",4000002562,66,4401,49,11,0,0,6,33.0,7.82,38.4,36.509833971902935
Ohio,2020-06-02,"Title 109-2, Chapter 9",corrections training for jail personnel,peace officer training commission,,"Security, Justice, and Corrections",4000002563,105,7716,75,1,0,0,29,31.0,8.07,37.33905579399141,36.18988280670524
Ohio,2020-06-02,"Title 109-4, Chapter 1",general provisions,consumer protection,,"Industry, Commerce, and Development",4000002568,27,6833,27,0,0,0,0,46.0,7.9,57.35294117647059,36.19821978774392
Ohio,2020-06-02,"Title 109-4, Chapter 3",deceptive acts or trade practices in connection with consumer transactions,consumer protection,,"Industry, Commerce, and Development",4000002569,283,36588,145,49,6,1,82,50.0,9.37,72.11948790896159,32.91049727000529
Ohio,2020-06-02,"Title 109-4, Chapter 4",dispute resolution programs for settlement of new motor vehicle warranty disputes,consumer protection,,"Industry, Commerce, and Development",4000002570,110,6675,90,6,0,0,14,45.0,8.67,51.03448275862069,33.80122422680412
Ohio,2020-06-02,"Title 109-4, Chapter 5",informal dispute resolution mechanisms for settlement of new motor vehicle warranty disputes,consumer protection,,"Industry, Commerce, and Development",4000002571,29,3734,21,1,0,0,7,37.0,7.87,45.16129032258064,37.01566339066339
Ohio,2020-06-02,"Title 109-4, Chapter 6",telemarketing registration and enforcement,consumer protection,,"Industry, Commerce, and Development",4000002572,17,2538,13,0,0,0,4,37.0,7.5,53.2258064516129,37.22697974217312
Ohio,2020-06-02,"Title 109-5, Chapter 1",criminal records and electronic monitoring devices,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002573,9,1589,7,1,0,0,1,34.0,7.57,44.18604651162791,38.87634024303074
Ohio,2020-06-02,"Title 109-5, Chapter 2",registration of sex offenders notifications,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002574,58,5800,41,7,0,0,10,44.0,8.23,69.6,36.095995401417895
Ohio,2020-06-02,"Title 109-5, Chapter 3",incompetency records,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002575,3,746,2,0,0,0,1,34.0,7.58,30.0,36.02543720190779
Ohio,2020-06-02,"Title 109-5, Chapter 4",civil sexual abuse registry,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002576,37,4083,28,0,0,0,9,43.0,8.04,67.41573033707866,35.99836912204403
Ohio,2020-06-02,"Title 109-5, Chapter 5",dna database,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002577,4,1235,3,0,0,0,1,27.0,7.3,50.0,36.391666666666666
Ohio,2020-06-02,"Title 109-5, Chapter 6",arson offender registry,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002578,4,933,3,0,0,0,1,27.0,7.1,54.83870967741935,33.11654135338346
Ohio,2020-06-02,"Title 109-5, Chapter 7",confidential address,bureau of criminal identification and investigation,,"Security, Justice, and Corrections",4000002579,6,911,5,0,0,0,1,31.0,7.26,55.55555555555556,36.03558282208589
Ohio,2020-06-02,"Title 109-6, Chapter 1",background investigation requirements for waste treatment and disposal facilities,environmental background investigation,,"Environmental Protection, Public Utilities, and Natural Resources",4000002580,64,7493,44,3,0,0,17,43.0,8.6,39.88095238095239,36.40725510353944
Ohio,2020-06-02,"Title 109-7, Chapter 1",medical examination of victim of sexual assault,crime victims compensation and assistance,,"Security, Justice, and Corrections",4000002581,46,4517,37,3,0,3,3,39.0,8.15,54.20560747663551,34.25883807169345
Ohio,2020-06-02,"Title 109-7, Chapter 2",definitions and procedures,crime victims compensation and assistance,,"Security, Justice, and Corrections",4000002582,12,1012,9,1,0,0,2,36.0,7.43,53.84615384615385,35.61244541484716
Ohio,2020-06-02,"Title 109-8, Chapter 1",tobacco products manufacturer escrow accounts,tobacco unit,,"Industry, Commerce, and Development",4000002583,27,2790,14,4,1,0,8,47.0,7.78,58.18181818181818,36.177031509121065
