jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Oklahoma,2020-06-07,"Title 105, Chapter 1",administrative operations,oklahoma capital investment board,,Taxes and Public Finance,1600005438,98,4811,84,8,1,0,5,26.0,8.26,17.032967032967033,31.16169212690952
Oklahoma,2020-06-07,"Title 10, Chapter 1",administrative operations,oklahoma accountancy board,,"Industry, Commerce, and Development",1600000004,28,1494,26,1,0,0,1,25.0,7.29,13.559322033898304,31.088734567901238
Oklahoma,2020-06-07,"Title 10, Chapter 15",licensure and regulation of accountancy,oklahoma accountancy board,,"Industry, Commerce, and Development",1600000005,445,27659,287,89,8,2,59,35.0,9.17,23.81562099871959,35.56066369890733
Oklahoma,2020-06-07,"Title 115, Chapter 1",commission administration,state capitol preservation commission,,"Culture, Recreation, and the Arts",1600000081,24,1574,20,2,0,0,2,25.0,8.12,4.761904761904762,38.71226080793763
Oklahoma,2020-06-07,"Title 115, Chapter 10",preservation restoration architectural and decor standards,state capitol preservation commission,,"Culture, Recreation, and the Arts",1600005439,40,2210,37,3,0,0,0,22.0,8.07,12.871287128712872,38.85479186834463
Oklahoma,2020-06-07,"Title 120, Chapter 10",zoning regulations for the capitol medical center improvement and zoning district,capitol medical center improvement and zoning commission,,Health Services,1600000082,881,43582,709,65,7,17,83,25.0,9.75,17.730900798175597,35.008262009597786
Oklahoma,2020-06-07,"Title 130, Chapter 1",organization,cerebral palsy commission,,Health Services,1600000083,21,1605,19,0,0,1,1,26.0,7.76,13.114754098360656,34.41572184429327
Oklahoma,2020-06-07,"Title 130, Chapter 12",administrative procedures,cerebral palsy commission,,Health Services,1600000084,122,4244,107,3,1,1,10,22.0,8.48,30.729166666666668,34.50718317085685
Oklahoma,2020-06-07,"Title 130, Chapter 13",center services,cerebral palsy commission,,Health Services,1600000085,81,4250,72,1,1,0,7,24.0,8.75,14.285714285714285,37.18042575285566
Oklahoma,2020-06-07,"Title 130, Chapter 14",patient bill of rights,cerebral palsy commission,,Health Services,1600000086,85,3463,79,0,0,1,5,23.0,8.7,21.85430463576159,34.69283065512979
Oklahoma,2020-06-07,"Title 135, Chapter 1",general course and method of operation,commission on children and youth,,Social Assistance,1600000087,52,2714,47,1,0,1,3,22.0,8.2,10.655737704918032,35.44467467882304
