jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Oregon,2022-04-29,"Chapter 101, Division 1",procedural rules,oregon health authority,,Health Services,3900017885,0,518,0,0,0,0,0,15.0,7.05,3.225806451612903,34.21994884910486
Oregon,2022-04-29,"Chapter 101, Division 10",definitions,oregon health authority,,Health Services,3900017888,4,2381,0,1,1,0,2,18.0,8.38,12.5,35.461988304093566
Oregon,2022-04-29,"Chapter 101, Division 15",eligibility,oregon health authority,,Health Services,3900017889,36,4665,4,24,3,0,5,24.0,8.37,26.519337016574585,34.94016024036054
Oregon,2022-04-29,"Chapter 101, Division 2",powers of the board,oregon health authority,,Health Services,3900017886,1,513,0,0,0,0,1,19.0,7.19,0.0,34.13507109004739
Oregon,2022-04-29,"Chapter 101, Division 20",enrollment rules,oregon health authority,,Health Services,3900017890,99,13647,0,79,5,0,15,16.0,8.61,14.5679012345679,32.12139934875177
Oregon,2022-04-29,"Chapter 101, Division 30",continuation of insurance active employees,oregon health authority,,Health Services,3900017891,27,3671,0,19,0,0,8,15.0,7.96,12.280701754385964,32.25674807197944
Oregon,2022-04-29,"Chapter 101, Division 5",renewal screening and selection for benefits and vendor contracts,oregon health authority,,Health Services,3900017887,64,6440,45,9,0,0,10,18.0,8.54,17.325227963525837,35.26427138427868
Oregon,2022-04-29,"Chapter 101, Division 50",retiree rules,oregon health authority,,Health Services,3900017892,11,1653,0,10,1,0,0,12.0,7.15,9.166666666666666,32.6509009009009
Oregon,2022-04-29,"Chapter 101, Division 60",pebb provided health benefit plan for liquor control commission agents,oregon health authority,,Health Services,3900017893,0,467,0,0,0,0,0,11.0,6.71,0.0,34.1656976744186
Oregon,2022-04-29,"Chapter 101, Division 65",sb 551,oregon health authority,,Health Services,3900017894,3,401,2,0,1,0,0,27.0,6.58,21.428571428571427,34.9941348973607
Oregon,2022-04-29,"Chapter 101, Division 70",local government participation,oregon health authority,,Health Services,3900017895,16,1820,1,12,0,0,3,26.0,8.03,18.84057971014493,35.71311475409836
Oregon,2022-04-29,"Chapter 101, Division 80",operations,oregon health authority,,Health Services,3900017896,9,1261,5,3,0,0,1,43.0,7.34,37.03703703703704,34.68896925858951
Oregon,2022-04-29,"Chapter 104, Division 1",procedural rules,oregon department of emergency management,,"Security, Justice, and Corrections",3900017897,2,373,2,0,0,0,0,32.0,6.77,0.0,33.22857142857143
Oregon,2022-04-29,"Chapter 104, Division 10",participation of local and tribal governments in the emergency management performance grant,oregon department of emergency management,,"Security, Justice, and Corrections",3900017898,17,1059,0,17,0,0,0,24.0,7.62,13.636363636363637,36.23541048466865
Oregon,2022-04-29,"Chapter 104, Division 20",earthquake preparedness drills,oregon department of emergency management,,"Security, Justice, and Corrections",3900017899,14,1044,5,1,1,0,7,14.0,7.17,21.428571428571427,31.17046688382193
Oregon,2022-04-29,"Chapter 104, Division 30",adoption of a uniform tsunami warning signal,oregon department of emergency management,,"Security, Justice, and Corrections",3900017900,3,895,2,1,0,0,0,16.0,6.99,12.0,30.77371273712737
Oregon,2022-04-29,"Chapter 104, Division 40",oregon emergency response system,oregon department of emergency management,,"Security, Justice, and Corrections",3900017901,14,896,14,0,0,0,0,25.0,7.53,14.285714285714285,39.56272838002436
Oregon,2022-04-29,"Chapter 104, Division 45",state preparedness and incident response equipment,oregon department of emergency management,,"Security, Justice, and Corrections",3900017902,18,2035,10,7,0,0,1,27.0,7.85,9.859154929577464,38.11751412429378
Oregon,2022-04-29,"Chapter 104, Division 50",oregon seismic rehabilitation grants program,oregon department of emergency management,,"Security, Justice, and Corrections",3900017903,26,2685,13,11,0,0,2,18.0,8.42,5.673758865248227,38.473883740522325
Oregon,2022-04-29,"Chapter 104, Division 55",fuel storage facility compatibility fund grant program,oregon department of emergency management,,"Security, Justice, and Corrections",3900017904,18,1778,10,7,0,0,1,19.0,7.66,6.666666666666667,38.30788330229671
Oregon,2022-04-29,"Chapter 104, Division 80",9 1 1 emergency communications system program,oregon department of emergency management,,"Security, Justice, and Corrections",3900017905,129,8635,26,83,8,0,12,28.0,8.72,16.140350877192983,36.97606311848088
Oregon,2022-04-29,"Chapter 105, Division 1",procedural rules,department of administrative services,,Administration,3900017906,1,419,1,0,0,0,0,10.0,6.64,2.702702702702702,29.19
Oregon,2022-04-29,"Chapter 105, Division 20",classification compensation,department of administrative services,,Administration,3900017907,6,479,6,0,0,0,0,15.0,7.0,11.538461538461538,36.60126582278481
Oregon,2022-04-29,"Chapter 105, Division 40",filling positions,department of administrative services,,Administration,3900017908,3,364,3,0,0,0,0,21.0,7.37,6.25,41.437106918239
Oregon,2022-04-29,"Chapter 105, Division 50",workforce management,department of administrative services,,Administration,3900017909,31,2120,20,0,0,8,3,23.0,8.25,19.047619047619047,38.202789699570815
Oregon,2022-04-29,"Chapter 111, Division 1",procedural rules,oregon health authority,,Health Services,3900017910,0,444,0,0,0,0,0,19.0,7.0,9.523809523809524,32.513297872340424
Oregon,2022-04-29,"Chapter 111, Division 10",definitions,oregon health authority,,Health Services,3900017913,15,3079,0,13,1,0,1,23.0,8.54,12.598425196850393,32.97178453646024
Oregon,2022-04-29,"Chapter 111, Division 15",eligibility rules,oregon health authority,,Health Services,3900017914,3,474,0,2,1,0,0,25.0,7.1,23.52941176470588,33.39950372208437
Oregon,2022-04-29,"Chapter 111, Division 2",powers of the board,oregon health authority,,Health Services,3900017911,2,579,0,1,0,0,1,18.0,7.33,0.0,33.85208333333333
Oregon,2022-04-29,"Chapter 111, Division 20",program participation,oregon health authority,,Health Services,3900017915,12,1533,1,11,0,0,0,20.0,7.3,12.857142857142856,29.99386032233308
Oregon,2022-04-29,"Chapter 111, Division 30",plan design development and selection,oregon health authority,,Health Services,3900017916,14,2905,0,11,2,1,0,15.0,7.56,9.659090909090908,32.7379679144385
Oregon,2022-04-29,"Chapter 111, Division 40",enrollment,oregon health authority,,Health Services,3900017917,27,5557,3,21,1,0,2,15.0,8.08,12.084592145015106,32.47488888888889
Oregon,2022-04-29,"Chapter 111, Division 5",procurement and contracting for benefit plans and services,oregon health authority,,Health Services,3900017912,43,6165,8,25,0,0,10,15.0,8.48,14.430379746835442,34.98547756469931
Oregon,2022-04-29,"Chapter 111, Division 50",continuation of coverage,oregon health authority,,Health Services,3900017918,36,5691,3,24,4,0,5,13.0,7.72,9.090909090909092,32.630391061452514
Oregon,2022-04-29,"Chapter 111, Division 60",information requirements and requests,oregon health authority,,Health Services,3900017919,3,629,0,1,1,0,1,26.0,7.23,26.08695652173913,31.206521739130437
Oregon,2022-04-29,"Chapter 111, Division 65",oebb administration of early retiree groups,oregon health authority,,Health Services,3900017920,6,1709,2,3,0,0,1,15.0,7.33,8.080808080808081,30.29682779456193
Oregon,2022-04-29,"Chapter 111, Division 70",sb 551,oregon health authority,,Health Services,3900017921,3,375,2,0,1,0,0,27.0,6.54,23.07692307692308,35.41509433962264
Oregon,2022-04-29,"Chapter 111, Division 80",operations,oregon health authority,,Health Services,3900017922,29,4501,11,9,0,0,9,23.0,8.44,26.08695652173913,35.26198801198801
Oregon,2022-04-29,"Chapter 114, Division 1",procedural rules,long term care ombudsman,,Social Assistance,3900017923,2,375,2,0,0,0,0,22.0,6.94,6.25,30.277258566978198
Oregon,2022-04-29,"Chapter 114, Division 2",goals and definitions,long term care ombudsman,,Social Assistance,3900017924,1,664,1,0,0,0,0,28.0,7.37,20.833333333333336,34.605220228384994
Oregon,2022-04-29,"Chapter 114, Division 3",appointment and duties of local screening committees,long term care ombudsman,,Social Assistance,3900017925,8,446,7,1,0,0,0,31.0,6.62,21.428571428571427,38.14527845036319
Oregon,2022-04-29,"Chapter 114, Division 4",designees,long term care ombudsman,,Social Assistance,3900017926,23,1428,18,5,0,0,0,25.0,7.67,18.51851851851852,36.77012383900929
Oregon,2022-04-29,"Chapter 114, Division 5",access investigation and reporting procedures,long term care ombudsman,,Social Assistance,3900017927,23,1288,19,0,1,0,3,25.0,7.23,42.0,34.03884297520661
Oregon,2022-04-29,"Chapter 114, Division 6",program interference,long term care ombudsman,,Social Assistance,3900017928,1,77,1,0,0,0,0,14.0,5.26,0.0,37.285714285714285
Oregon,2022-04-29,"Chapter 115, Division 1",procedural rules,employment relations board,,Labor and Workforce Development,3900017929,1,430,1,0,0,0,0,13.0,6.67,7.142857142857142,28.18670886075949
Oregon,2022-04-29,"Chapter 115, Division 10",general policy and definitions,employment relations board,,Labor and Workforce Development,3900017930,97,7180,64,26,3,0,4,17.0,8.41,13.766233766233766,29.40620871862616
Oregon,2022-04-29,"Chapter 115, Division 20",existing local charters and ordinances,employment relations board,,Labor and Workforce Development,3900017931,3,216,3,0,0,0,0,21.0,6.38,0.0,28.377906976744185
Oregon,2022-04-29,"Chapter 115, Division 25",public employee representation,employment relations board,,Labor and Workforce Development,3900017932,98,12544,26,58,2,0,12,20.0,8.41,21.731748726655347,34.43824956513778
Oregon,2022-04-29,"Chapter 115, Division 30",public employee deauthorization of fair share agreement,employment relations board,,Labor and Workforce Development,3900017933,22,843,19,3,0,0,0,18.0,7.42,23.91304347826087,33.51145038167939
Oregon,2022-04-29,"Chapter 115, Division 35",unfair labor practice complaints in public employment,employment relations board,,Labor and Workforce Development,3900017934,47,3398,34,11,1,0,1,15.0,7.85,20.689655172413797,28.82046476761619
Oregon,2022-04-29,"Chapter 115, Division 40",dispute resolution in public employment,employment relations board,,Labor and Workforce Development,3900017935,109,6625,82,16,3,4,4,18.0,8.63,21.47058823529412,33.86205673758865
Oregon,2022-04-29,"Chapter 115, Division 45",appeals hearings and investigations in the state service under the state personnel relations law,employment relations board,,Labor and Workforce Development,3900017936,11,1628,3,8,0,0,0,8.0,6.65,3.92156862745098,25.417910447761194
Oregon,2022-04-29,"Chapter 115, Division 50",review and enforcement of state personnel relations arbitration awards,employment relations board,,Labor and Workforce Development,3900017937,6,540,2,4,0,0,0,17.0,6.39,11.11111111111111,25.272727272727277
Oregon,2022-04-29,"Chapter 115, Division 60",private employee representation,employment relations board,,Labor and Workforce Development,3900017938,84,4615,67,13,2,0,2,28.0,8.36,31.05590062111801,33.57789644764337
Oregon,2022-04-29,"Chapter 115, Division 65",private employee deauthorization of union security agreement,employment relations board,,Labor and Workforce Development,3900017939,17,758,16,1,0,0,0,32.0,7.35,39.130434782608695,32.88283378746594
Oregon,2022-04-29,"Chapter 115, Division 70",unfair labor practice charges in private employment,employment relations board,,Labor and Workforce Development,3900017940,52,2462,45,7,0,0,0,15.0,7.91,11.564625850340136,29.4135687732342
Oregon,2022-04-29,"Chapter 122, Division 1",procedural rules,department of administrative services,,Administration,3900017941,2,341,2,0,0,0,0,16.0,6.56,0.0,31.10431654676259
Oregon,2022-04-29,"Chapter 122, Division 40",reporting of substantive program changes,department of administrative services,,Administration,3900017942,11,833,7,0,0,0,4,31.0,7.23,28.000000000000004,35.54838709677419
Oregon,2022-04-29,"Chapter 122, Division 50",screening and selection procedures for personal service contracts entered into by the oregon agricultural commodity commissions,department of administrative services,,Administration,3900017943,11,909,8,1,0,0,2,16.0,7.43,14.814814814814811,34.574683544303795
Oregon,2022-04-29,"Chapter 122, Division 60",budget and management,department of administrative services,,Administration,3900017944,6,936,6,0,0,0,0,55.0,8.29,0.0,41.94233937397035
Oregon,2022-04-29,"Chapter 122, Division 70",state of oregon financing agreements,department of administrative services,,Administration,3900017945,20,3178,5,10,2,0,3,33.0,8.37,26.881720430107524,38.28206002728513
Oregon,2022-04-29,"Chapter 122, Division 75",state borrowing administered by the department,department of administrative services,,Administration,3900017946,8,1777,6,1,0,0,1,23.0,7.92,13.6986301369863,37.446123521682
Oregon,2022-04-29,"Chapter 122, Division 85",accounts receivable management,department of administrative services,,Administration,3900017947,26,2828,2,11,5,3,5,36.0,7.96,33.33333333333333,32.32209737827716
