jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 1",general provisions,legislative reference bureau,general assembly,Administration,5000001706,0,206,0,0,0,0,0,10.0,6.25,9.523809523809524,36.80213903743316
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 11",printing and distribution of final enactments,legislative reference bureau,general assembly,Administration,5000001711,6,3057,0,0,0,0,6,12.0,8.35,5.46875,37.663320186446754
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 13",general provisions,legislative reference bureau,general assembly,Administration,5000001712,82,7626,75,6,0,0,1,12.0,9.01,16.45367412140575,32.29170745350301
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 15",statutes,legislative reference bureau,general assembly,Administration,5000001713,86,13635,53,23,3,0,7,12.0,9.39,20.32871972318339,32.80676556000314
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 17",other legislative documents,legislative reference bureau,general assembly,Administration,5000001714,23,6065,5,16,0,0,2,11.0,8.75,10.318949343339586,32.0705329153605
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 19",forms,legislative reference bureau,general assembly,Administration,5000001715,273,41102,249,9,0,1,14,13.0,10.3,4.339378238341969,37.262677071154734
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 21",general provisions,legislative reference bureau,general assembly,Administration,5000001716,14,4036,12,0,0,0,2,16.0,8.95,12.653061224489797,39.97374062165059
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 23",format and style,legislative reference bureau,general assembly,Administration,5000001717,93,9278,81,6,3,0,3,12.0,8.99,15.214384508990316,37.040143868198165
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 25",codification procedures,legislative reference bureau,general assembly,Administration,5000001718,8,3380,5,1,0,0,2,11.0,8.47,9.491525423728811,36.63656527249683
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 27",forms,legislative reference bureau,general assembly,Administration,5000001719,8,4381,8,0,0,0,0,8.0,8.43,6.566604127579738,39.893201284796575
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 3",organization and function of bureau,legislative reference bureau,general assembly,Administration,5000001707,22,2469,22,0,0,0,0,13.0,8.17,6.878306878306878,38.86783369803064
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 31",right to know law,legislative reference bureau,general assembly,Administration,5000001720,15,2854,4,8,0,0,3,13.0,8.27,8.837209302325581,35.50676506765068
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 5",preliminary provisions,legislative reference bureau,general assembly,Administration,5000001708,1,273,1,0,0,0,0,10.0,6.43,18.51851851851852,41.02692307692308
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 7",general assembly,legislative reference bureau,general assembly,Administration,5000001709,6,1385,0,5,0,0,1,11.0,7.78,10.569105691056912,35.534047436878346
Pennsylvania,2020-05-04,"Title 101, Part I, Chapter 9",legislative documents,legislative reference bureau,general assembly,Administration,5000001710,60,13056,9,31,4,0,16,12.0,8.75,12.067352666043032,34.804390403133674
Pennsylvania,2020-05-04,"Title 101, Part III, Chapter 301",compilation and distribution of publications,local government commission,general assembly,Administration,5000001721,6,526,3,2,0,0,1,17.0,7.39,30.0,37.159274193548384
Pennsylvania,2020-05-04,"Title 101, Part III, Chapter 303",right to know law statement of policy,local government commission,general assembly,Administration,5000001722,16,2245,5,6,1,0,4,14.0,8.06,15.2317880794702,34.253292806484296
Pennsylvania,2020-05-04,"Title 101, Part IV, Chapter 401",access maintenance and disclosure of records statement of policy,legislative budget and finance committee,general assembly,Taxes and Public Finance,5000001723,9,2356,5,0,1,1,2,12.0,7.76,3.804347826086957,39.73340091231627
Pennsylvania,2020-05-04,"Title 101, Part V, Chapter 501",general provisions,legislative data processing committee,general assembly,Administration,5000001724,0,505,0,0,0,0,0,14.0,7.22,8.333333333333332,36.55172413793103
Pennsylvania,2020-05-04,"Title 101, Part V, Chapter 521",ldpc acceptable use policy,legislative data processing committee,general assembly,Administration,5000001725,19,1456,7,0,5,5,2,12.0,7.9,6.666666666666667,35.637026239067055
Pennsylvania,2020-05-04,"Title 101, Part V, Chapter 551",legislative intranet,legislative data processing committee,general assembly,Administration,5000001726,0,413,0,0,0,0,0,12.0,6.66,3.0303030303030303,37.724409448818896
Pennsylvania,2020-05-04,"Title 101, Part VII, Chapter 701",right to know law statements of policy,capitol preservation committee,general assembly,"Culture, Recreation, and the Arts",5000001727,14,1717,5,6,0,0,3,11.0,8.01,12.32876712328767,33.43472584856397
Pennsylvania,2020-05-04,"Title 104, Chapter 1",senatorial districts,senatorial districts,senate of pennsylvania,Administration,5000001728,0,5307,0,0,0,0,0,71.0,8.82,0.0,41.00893486950388
Pennsylvania,2020-05-04,"Title 104, Chapter 7",right to know law statement of policy,right to know law,senate of pennsylvania,Administration,5000001729,13,2375,5,3,1,0,4,12.0,8.05,10.6951871657754,30.42843465773097
Pennsylvania,2020-05-04,"Title 107, Chapter 1",house of representatives districts,house of representatives districts,house of representatives of pennsylvania,Administration,5000001730,0,13280,0,0,0,0,0,58.0,8.34,2.2222222222222223,39.73298748855661
Pennsylvania,2020-05-04,"Title 107, Chapter 101",legislative office for research liaison,legislative office for research liaison,house of representatives of pennsylvania,Administration,5000001731,47,2286,46,0,0,0,1,41.0,7.98,14.285714285714285,41.32873051224944
Pennsylvania,2020-05-04,"Title 107, Chapter 201",right to know law statement of policy,right to know law,house of representatives of pennsylvania,Administration,5000001732,11,1635,2,7,0,0,2,12.0,7.87,11.627906976744184,31.60621030345801
Pennsylvania,2020-05-04,"Title 10, Part I, Chapter 1",preliminary provisions,general provisions,banking and securities,"Banking, Insurance, and Securities",5000000253,0,269,0,0,0,0,0,11.0,6.28,8.333333333333332,35.25892857142857
Pennsylvania,2020-05-04,"Title 10, Part I, Chapter 10",minimum capital requirements,general provisions,banking and securities,"Banking, Insurance, and Securities",5000000257,6,1205,5,0,0,0,1,19.0,7.27,11.475409836065571,37.31098696461825
Pennsylvania,2020-05-04,"Title 10, Part I, Chapter 5",assessments,general provisions,banking and securities,"Banking, Insurance, and Securities",5000000254,5,1848,4,0,1,0,0,18.0,7.29,13.636363636363637,38.29025110782866
Pennsylvania,2020-05-04,"Title 10, Part I, Chapter 7",residential real estate transactions,general provisions,banking and securities,"Banking, Insurance, and Securities",5000000255,25,4739,11,2,1,2,9,24.0,8.69,29.743589743589745,32.594404003639674
Pennsylvania,2020-05-04,"Title 10, Part I, Chapter 9",individual retirement accounts,general provisions,banking and securities,"Banking, Insurance, and Securities",5000000256,4,1103,2,0,2,0,0,20.0,7.22,18.867924528301888,36.09441624365482
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 13",loans,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000258,70,8210,37,4,13,2,14,21.0,9.11,14.323607427055704,35.07046034089384
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 15",trusts,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000259,58,2333,54,0,0,2,2,17.0,7.89,18.97810218978102,34.58137390502536
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 19",money transmitters,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000260,18,630,15,2,0,0,1,11.0,7.38,3.4482758620689653,35.44463971880492
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 21",general provisions for all state chartered banking institutions,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000261,27,2238,19,4,2,0,2,15.0,8.44,10.738255033557047,36.13236034222446
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 27",leeway investments,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000262,5,373,5,0,0,0,0,12.0,6.58,0.0,35.72782874617737
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 28",savings banks service corporations,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000263,2,470,0,0,2,0,0,19.0,7.07,8.0,36.704918032786885
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 29",borrowings,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000264,2,357,2,0,0,0,0,12.0,6.81,3.4482758620689653,37.61093247588425
Pennsylvania,2020-05-04,"Title 10, Part II, Chapter 30",negotiable order of withdrawal accounts,bureau of banks,banking and securities,"Banking, Insurance, and Securities",5000000265,3,569,2,0,0,0,1,15.0,7.39,5.263157894736842,33.45309381237525
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 31",investment operations,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000266,24,2720,16,4,4,0,0,22.0,8.2,14.285714285714285,29.10474631751228
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 31a",trust powers,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000267,45,2654,38,1,0,2,4,19.0,8.13,14.5985401459854,38.01937524713325
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 33",savings deposit accounts,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000268,10,516,10,0,0,0,0,10.0,6.77,11.538461538461538,42.13876651982379
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 34",now accounts,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000269,3,449,3,0,0,0,0,12.0,6.89,13.157894736842104,36.42447916666666
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 34a",consumer loans commercial paper and corporate debt securities,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000270,25,1946,17,4,1,2,1,26.0,8.04,16.43835616438356,35.64466130884041
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 36",treasury tax and loan depositories,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000271,4,445,3,0,0,0,1,13.0,6.88,6.0606060606060606,36.91666666666666
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 37",service corporations,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000272,9,646,8,0,0,0,1,13.0,7.06,8.333333333333332,42.68493150684932
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 38",higher rate savings accounts regular savings accounts and serial installment accounts,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000273,4,600,3,0,0,0,1,18.0,6.9,9.090909090909092,35.520795660036164
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 39",mobile home financing,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000274,53,3177,50,1,1,0,1,21.0,8.51,19.463087248322147,35.01288572397423
Pennsylvania,2020-05-04,"Title 10, Part III, Chapter 40",alternate reserve requirements,savings association bureau,banking and securities,"Banking, Insurance, and Securities",5000000275,1,167,0,0,0,0,1,13.0,6.3,0.0,36.63636363636363
Pennsylvania,2020-05-04,"Title 10, Part IV, Chapter 41",consumer discount companies,bureau of consumer credit agencies,banking and securities,"Banking, Insurance, and Securities",5000000276,118,6678,92,0,19,0,7,27.0,8.89,31.512605042016805,32.07373868046572
Pennsylvania,2020-05-04,"Title 10, Part IV, Chapter 42",registration of loan brokers,bureau of consumer credit agencies,banking and securities,"Banking, Insurance, and Securities",5000000277,19,1625,8,0,1,0,10,20.0,7.43,2.469135802469136,37.57199734571997
Pennsylvania,2020-05-04,"Title 10, Part IV, Chapter 46",proper conduct of lending and brokerage in the mortgage loan business,bureau of consumer credit agencies,banking and securities,"Banking, Insurance, and Securities",5000000278,41,2437,14,0,7,1,19,21.0,8.3,22.41379310344828,35.10632802410676
Pennsylvania,2020-05-04,"Title 10, Part IV, Chapter 47",mortgage loan modifications statement of policy,bureau of consumer credit agencies,banking and securities,"Banking, Insurance, and Securities",5000000279,1,1252,0,0,1,0,0,17.0,7.41,12.162162162162163,38.95900939368062
