jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
South Carolina,2020-05-05,Chapter 1,department of labor licensing and regulation board of accountancy,department of labor licensing and regulation board of accountancy,department of labor licensing and regulation board of accountancy,"Industry, Commerce, and Development",1800000001,72,3865,40,20,0,0,12,22.0,8.81,9.30232558139535,35.96803527142463
South Carolina,2020-05-05,Chapter 10,department of labor licensing and regulation,department of labor licensing and regulation,department of labor licensing and regulation,"Industry, Commerce, and Development",1800000007,34,6267,32,1,0,0,1,10.0,8.37,1.09375,41.279185708350646
South Carolina,2020-05-05,Chapter 100,department of labor licensing and regulation state board of examiners in psychology,department of labor licensing and regulation state board of examiners in psychology,department of labor licensing and regulation state board of examiners in psychology,Health Services,1800000160,169,7943,125,32,3,2,7,18.0,9.11,12.359550561797752,42.945404193590925
South Carolina,2020-05-05,Chapter 101,department of labor licensing and regulation state board of physical therapy examiners,department of labor licensing and regulation state board of physical therapy examiners,department of labor licensing and regulation state board of physical therapy examiners,Health Services,1800000161,55,4238,15,13,2,0,25,17.0,8.64,10.245901639344265,38.17307692307692
South Carolina,2020-05-05,Chapter 102,attorney general division of public charities,attorney general division of public charities,attorney general division of public charities,"Security, Justice, and Corrections",1800000162,1,69,1,0,0,0,0,17.0,5.22,0.0,39.0
South Carolina,2020-05-05,Chapter 103,public service commission,public service commission,public service commission,Administration,1800000163,1965,99318,1543,215,30,13,164,16.0,9.95,15.511279433558371,33.91307293571075
South Carolina,2020-05-05,Chapter 104,south carolina state ports authority,south carolina state ports authority,south carolina state ports authority,Transportation,1800000164,0,107,0,0,0,0,0,6.0,5.55,0.0,35.75
South Carolina,2020-05-05,Chapter 105,department of labor licensing and regulation south carolina real estate commission,department of labor licensing and regulation south carolina real estate commission,department of labor licensing and regulation south carolina real estate commission,"Industry, Commerce, and Development",1800000165,86,3500,23,57,2,0,4,16.0,8.55,13.488372093023257,36.494804400978
South Carolina,2020-05-05,Chapter 106,department of labor licensing and regulation south carolina residential builders commission,department of labor licensing and regulation south carolina residential builders commission,department of labor licensing and regulation south carolina residential builders commission,"Industry, Commerce, and Development",1800000166,25,2103,14,6,0,0,5,21.0,8.48,9.183673469387756,40.03938618925831
South Carolina,2020-05-05,Chapter 108,department of labor licensing and regulation soil classifiers advisory council,department of labor licensing and regulation soil classifiers advisory council,department of labor licensing and regulation soil classifiers advisory council,"Industry, Commerce, and Development",1800000167,75,2628,44,19,1,0,11,13.0,8.52,2.912621359223301,38.00926298832058
