jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
South Dakota,2020-06-05,"Title 10, Article 10, Chapter 1",fees for records transmittal reproduction and retrieval,public record fees,bureau of administration,Administration,2100004062,3,238,2,0,0,0,1,12.0,6.02,10.526315789473683,33.619565217391305
South Dakota,2020-06-05,"Title 10, Article 11, Chapter 1",definitions,obligation recovery center,bureau of administration,Taxes and Public Finance,2100004063,0,139,0,0,0,0,0,20.0,5.75,14.285714285714285,29.03703703703704
South Dakota,2020-06-05,"Title 10, Article 11, Chapter 2",cost recovery fee,obligation recovery center,bureau of administration,Taxes and Public Finance,2100004064,1,59,1,0,0,0,0,10.0,5.12,0.0,33.0
South Dakota,2020-06-05,"Title 10, Article 11, Chapter 3",collection of data,obligation recovery center,bureau of administration,Taxes and Public Finance,2100004065,4,376,4,0,0,0,0,16.0,6.31,4.166666666666666,35.40625
South Dakota,2020-06-05,"Title 10, Article 11, Chapter 4",debt collection agencies,obligation recovery center,bureau of administration,Taxes and Public Finance,2100004066,7,345,5,0,2,0,0,13.0,6.04,14.814814814814811,32.651340996168585
South Dakota,2020-06-05,"Title 10, Article 11, Chapter 5",settlement authority process,obligation recovery center,bureau of administration,Taxes and Public Finance,2100004067,0,53,0,0,0,0,0,9.0,4.89,0.0,39.51515151515152
South Dakota,2020-06-05,"Title 10, Article 11, Chapter 6",sending information to licensing agencies,obligation recovery center,bureau of administration,Taxes and Public Finance,2100004068,4,409,3,0,0,0,1,31.0,6.58,7.6923076923076925,34.190201729106626
South Dakota,2020-06-05,"Title 10, Article 1, Chapter 1",definitions,capitol grounds parking,bureau of administration,Administration,2100004043,1,317,1,0,0,0,0,53.0,6.8,16.666666666666664,33.07665505226481
South Dakota,2020-06-05,"Title 10, Article 1, Chapter 2",restrictions,capitol grounds parking,bureau of administration,Administration,2100004044,7,895,3,0,1,3,0,21.0,6.99,0.0,29.8625
South Dakota,2020-06-05,"Title 10, Article 1, Chapter 3",enforcement of rules,capitol grounds parking,bureau of administration,Administration,2100004045,0,53,0,0,0,0,0,8.0,4.99,0.0,41.71794871794872
South Dakota,2020-06-05,"Title 10, Article 2, Chapter 1",public property,central services,bureau of administration,Administration,2100004046,13,935,11,0,1,0,1,17.0,6.96,7.4074074074074066,34.64493758668516
South Dakota,2020-06-05,"Title 10, Article 2, Chapter 2",fees chargeable for legal publications,central services,bureau of administration,Administration,2100004047,4,418,2,0,0,0,2,33.0,6.67,33.33333333333333,34.62151394422311
South Dakota,2020-06-05,"Title 10, Article 2, Chapter 3",state agency publications,central services,bureau of administration,Administration,2100004048,6,292,1,2,0,0,3,21.0,6.21,0.0,40.25
South Dakota,2020-06-05,"Title 10, Article 2, Chapter 4",prospective bidders,central services,bureau of administration,Administration,2100004049,3,100,1,0,0,0,2,14.0,5.52,0.0,34.17283950617284
South Dakota,2020-06-05,"Title 10, Article 2, Chapter 5",definitions and purchasing procedures,central services,bureau of administration,Administration,2100004050,18,3220,15,0,0,0,3,29.0,8.25,11.11111111111111,48.09507178890183
South Dakota,2020-06-05,"Title 10, Article 3, Chapter 1",organization,records destruction board,bureau of administration,Administration,2100004051,24,1151,20,0,1,0,3,16.0,7.11,6.849315068493151,35.95991332611051
South Dakota,2020-06-05,"Title 10, Article 3, Chapter 2",procedure,records destruction board,bureau of administration,Administration,2100004052,8,759,7,1,0,0,0,23.0,7.12,9.090909090909092,40.07868852459016
South Dakota,2020-06-05,"Title 10, Article 4, Chapter 1",general provisions,state records management program,bureau of administration,Administration,2100004053,3,769,1,0,1,0,1,23.0,7.04,6.0606060606060606,39.53375196232339
South Dakota,2020-06-05,"Title 10, Article 4, Chapter 2",standards for micrographic records,state records management program,bureau of administration,Administration,2100004054,68,3444,19,39,5,0,5,20.0,8.23,8.875739644970414,39.62009197028652
South Dakota,2020-06-05,"Title 10, Article 6, Chapter 1",landfill recycling requirements for state agencies,recycling,bureau of administration,"Environmental Protection, Public Utilities, and Natural Resources",2100004055,24,1423,12,11,0,0,1,15.0,7.05,3.0927835051546397,34.68946894689469
South Dakota,2020-06-05,"Title 10, Article 8, Chapter 1",requirements for use of capitol complex property or facilities tobacco use prohibited,requirements for use of capitol complex property or facilities tobacco use prohibited,bureau of administration,Administration,2100004056,10,528,5,0,0,1,4,18.0,6.68,20.0,36.62472885032538
South Dakota,2020-06-05,"Title 10, Article 9, Chapter 1",definitions,high performance building design and construction,bureau of administration,"Industry, Commerce, and Development",2100004057,1,441,0,0,0,0,1,74.0,7.19,0.0,40.945544554455445
South Dakota,2020-06-05,"Title 10, Article 9, Chapter 2",state building project certifications,high performance building design and construction,bureau of administration,"Industry, Commerce, and Development",2100004058,11,246,7,2,0,0,2,41.0,6.14,0.0,34.27522935779817
South Dakota,2020-06-05,"Title 10, Article 9, Chapter 3",waivers,high performance building design and construction,bureau of administration,"Industry, Commerce, and Development",2100004059,1,345,0,1,0,0,0,25.0,6.8,21.428571428571427,35.47404844290657
South Dakota,2020-06-05,"Title 10, Article 9, Chapter 4",method for calculating the initial costs and the decreased operational costs related to achieving high performance green building standards,high performance building design and construction,bureau of administration,"Industry, Commerce, and Development",2100004060,3,126,0,3,0,0,0,21.0,5.92,0.0,40.48181818181818
South Dakota,2020-06-05,"Title 10, Article 9, Chapter 5",additional requirements to obtain usgbc s leed certification,high performance building design and construction,bureau of administration,"Industry, Commerce, and Development",2100004061,5,238,0,1,1,0,3,18.0,6.35,30.76923076923077,44.014925373134325
South Dakota,2020-06-05,"Title 12, Article 10, Chapter 1",brand registration and use,brand board,department of agriculture,"Industry, Commerce, and Development",2100004106,5,474,0,0,0,0,5,15.0,5.96,0.0,37.32046332046332
South Dakota,2020-06-05,"Title 12, Article 10, Chapter 2",theft prevention,brand board,department of agriculture,"Industry, Commerce, and Development",2100004107,35,2703,15,15,0,0,5,18.0,7.84,14.473684210526317,34.58372530573848
South Dakota,2020-06-05,"Title 12, Article 10, Chapter 3",rodeo stock transportation permit,brand board,department of agriculture,"Industry, Commerce, and Development",2100004108,4,934,0,4,0,0,0,15.0,6.55,6.557377049180328,36.65395095367848
South Dakota,2020-06-05,"Title 12, Article 11, Chapter 1",frozen dairy desserts,frozen dairy desserts,department of agriculture,"Industry, Commerce, and Development",2100004109,27,1829,5,22,0,0,0,20.0,7.37,14.606741573033707,30.623061362103844
South Dakota,2020-06-05,"Title 12, Article 11, Chapter 2",requirements for plants,frozen dairy desserts,department of agriculture,"Industry, Commerce, and Development",2100004110,85,3203,72,11,0,1,1,15.0,8.09,9.66183574879227,36.30202854996244
South Dakota,2020-06-05,"Title 12, Article 11, Chapter 3",pasteurization and packaging,frozen dairy desserts,department of agriculture,"Industry, Commerce, and Development",2100004111,10,542,9,0,1,0,0,15.0,6.7,11.11111111111111,37.39408866995074
South Dakota,2020-06-05,"Title 12, Article 11, Chapter 4",adoption of documents and minimum requirements,frozen dairy desserts,department of agriculture,"Industry, Commerce, and Development",2100004112,3,345,0,3,0,0,0,17.0,7.01,0.0,43.82562277580071
South Dakota,2020-06-05,"Title 12, Article 12, Chapter 2",logging slash abandonment and treatment standards,forestry,department of agriculture,"Environmental Protection, Public Utilities, and Natural Resources",2100004113,11,985,3,8,0,0,0,21.0,7.54,14.583333333333334,35.99759615384615
South Dakota,2020-06-05,"Title 12, Article 13, Chapter 1",administration,wheat commission,department of agriculture,"Industry, Commerce, and Development",2100004114,3,373,3,0,0,0,0,18.0,6.51,9.523809523809524,37.16896551724138
