jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Tennessee,2020-04-07,"Title 1000, Chapter 1",rules and regulations of registered nurses,nursing,,Health Services,4300000824,257,19157,175,33,5,1,43,20.0,9.82,10.53191489361702,37.691922966369646
Tennessee,2020-04-07,"Title 1000, Chapter 2",rules and regulations of licensed practical nurses,nursing,,Health Services,4300000825,259,18283,184,30,4,0,41,19.0,9.81,10.979547900968784,37.53256010631871
Tennessee,2020-04-07,"Title 1000, Chapter 3",rules of procedure for hearing contested cases,nursing,,Health Services,4300000826,0,58,0,0,0,0,0,11.0,5.49,0.0,40.0
Tennessee,2020-04-07,"Title 1000, Chapter 4",advanced practice nurses and certificates of fitness to prescribe,nursing,,Health Services,4300000827,59,5446,40,9,0,0,10,27.0,8.8,13.861386138613865,40.44522821576764
Tennessee,2020-04-07,"Title 1000, Chapter 5",medication aides,nursing,,Health Services,4300000828,93,6301,65,11,1,1,15,25.0,8.79,10.714285714285714,38.47439305334042
Tennessee,2020-04-07,"Title 100, Chapter 1",rules for the sale of liquor by the drink,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000100,134,7552,96,21,0,6,11,21.0,9.2,14.24581005586592,34.68043670699321
Tennessee,2020-04-07,"Title 100, Chapter 10",direct shipment of wine to consumers in tennessee,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000109,15,1132,11,0,0,0,4,22.0,8.01,18.0,33.7992240543162
Tennessee,2020-04-07,"Title 100, Chapter 11",rules for sales of wine at retail food stores,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000110,92,5440,59,13,11,3,6,23.0,8.66,17.82608695652174,32.2971765183831
Tennessee,2020-04-07,"Title 100, Chapter 13",rules for manager permits,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000111,11,630,8,1,0,0,2,22.0,6.99,14.285714285714285,33.79368029739777
Tennessee,2020-04-07,"Title 100, Chapter 2",revenue rules for sale of alcoholic beverage for consumption on premises,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000101,0,75,0,0,0,0,0,19.0,5.34,0.0,37.66176470588236
Tennessee,2020-04-07,"Title 100, Chapter 3",local option liquor rules,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000102,202,12769,131,31,6,16,18,21.0,9.03,13.68948247078464,38.4096309059581
Tennessee,2020-04-07,"Title 100, Chapter 4",rules of procedure for hearing contested cases,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000103,18,1600,15,1,0,0,2,30.0,7.85,17.307692307692307,37.829268292682926
Tennessee,2020-04-07,"Title 100, Chapter 5",fines,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000104,11,2130,1,2,1,4,3,18.0,7.58,4.424778761061947,34.22016222479722
Tennessee,2020-04-07,"Title 100, Chapter 6",intra industry conduct and regulations,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000105,95,7048,46,17,11,19,2,23.0,8.96,12.987012987012983,36.78814352574103
Tennessee,2020-04-07,"Title 100, Chapter 7",production sale and transport of wine,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000106,35,2923,29,2,0,1,3,22.0,8.21,13.076923076923078,34.255319148936174
Tennessee,2020-04-07,"Title 100, Chapter 8",rules for professional alcohol server training,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000107,60,3029,24,21,3,1,11,18.0,8.4,9.63855421686747,39.844327176781
Tennessee,2020-04-07,"Title 100, Chapter 9",responsible beer vendor program,alcoholic beverage commission,,"Industry, Commerce, and Development",4300000108,94,4745,42,29,4,0,19,21.0,8.31,18.695652173913043,38.333933393339336
Tennessee,2020-04-07,"Title 1020, Chapter 1",general rules governing nursing home administrators,nursing home administrators,,Health Services,4300000829,242,16827,111,77,6,0,48,19.0,9.33,9.297052154195011,38.68839943247078
Tennessee,2020-04-07,"Title 1020, Chapter 2",rules of procedure for hearing contested cases,nursing home administrators,,Health Services,4300000830,0,62,0,0,0,0,0,12.0,5.61,0.0,43.224489795918366
Tennessee,2020-04-07,"Title 1030, Chapter 1",general provisions,occupational safety and health board,,Labor and Workforce Development,4300000831,32,1786,26,2,0,0,4,19.0,7.62,17.894736842105264,36.87759067357513
Tennessee,2020-04-07,"Title 1030, Chapter 2",parties and representatives,occupational safety and health board,,Labor and Workforce Development,4300000832,2,335,2,0,0,0,0,14.0,6.48,8.333333333333332,41.63235294117647
Tennessee,2020-04-07,"Title 1030, Chapter 3",pleadings and motions,occupational safety and health board,,Labor and Workforce Development,4300000833,25,1261,24,0,0,0,1,16.0,7.48,9.210526315789473,36.896164639850326
Tennessee,2020-04-07,"Title 1030, Chapter 4",pre hearing procedures and discovery,occupational safety and health board,,Labor and Workforce Development,4300000834,17,867,15,0,0,0,2,17.0,7.35,12.244897959183673,36.08433734939759
Tennessee,2020-04-07,"Title 1030, Chapter 5",hearings,occupational safety and health board,,Labor and Workforce Development,4300000835,49,2391,46,1,2,0,0,18.0,7.89,19.230769230769237,35.71061560833737
Tennessee,2020-04-07,"Title 1030, Chapter 7",miscellaneous provisions,occupational safety and health board,,Labor and Workforce Development,4300000836,11,788,9,0,0,1,1,14.0,7.07,9.25925925925926,43.083333333333336
