jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Texas,2020-06-11,"Title 10, Part 1, Chapter 1",administration,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000278,309,27723,85,121,12,1,90,30.0,10.04,29.56810631229236,37.73146075798269
Texas,2020-06-11,"Title 10, Part 1, Chapter 10",uniform multifamily rules,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000284,586,43282,54,334,15,9,174,35.0,9.96,38.118410381184106,36.25622724313376
Texas,2020-06-11,"Title 10, Part 1, Chapter 11",qualified allocation plan,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000285,980,81679,81,650,61,4,184,32.0,10.41,27.426326129666013,37.5810489581226
Texas,2020-06-11,"Title 10, Part 1, Chapter 12",multifamily housing revenue bond rules,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000286,96,5444,21,50,1,0,24,26.0,9.0,13.333333333333334,36.82129131437356
Texas,2020-06-11,"Title 10, Part 1, Chapter 13",multifamily direct loan rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000287,162,13255,24,67,17,2,52,35.0,9.45,38.70967741935484,36.29839538376413
Texas,2020-06-11,"Title 10, Part 1, Chapter 2",enforcement,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000279,73,6597,27,22,0,2,22,33.0,9.22,40.60913705583757,38.35849356427777
Texas,2020-06-11,"Title 10, Part 1, Chapter 20",single family programs umbrella rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000288,178,11555,25,114,7,0,32,28.0,9.62,27.9126213592233,38.43093775046754
Texas,2020-06-11,"Title 10, Part 1, Chapter 21",minimum energy efficiency requirements for single family construction activities,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000289,20,901,18,0,0,0,2,36.0,7.84,48.0,42.61666666666667
Texas,2020-06-11,"Title 10, Part 1, Chapter 23",single family home program,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000290,382,23130,60,226,21,3,72,41.0,9.5,30.28169014084507,38.51184834123223
Texas,2020-06-11,"Title 10, Part 1, Chapter 24",texas bootstrap loan program rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000291,73,4642,8,44,7,1,13,27.0,8.84,21.428571428571427,36.957774798927616
Texas,2020-06-11,"Title 10, Part 1, Chapter 25",colonia self help center program rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000292,77,6028,33,27,4,0,13,27.0,9.2,19.090909090909093,38.69477146814405
Texas,2020-06-11,"Title 10, Part 1, Chapter 26",texas housing trust fund rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000293,56,3698,13,30,2,1,10,29.0,9.05,22.4,39.0501549732319
Texas,2020-06-11,"Title 10, Part 1, Chapter 27",texas first time homebuyer program rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000294,25,1972,6,14,2,0,3,29.0,8.34,20.588235294117645,34.354788069073784
Texas,2020-06-11,"Title 10, Part 1, Chapter 28",taxable mortgage program,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000295,22,1729,6,11,2,0,3,29.0,8.27,20.33898305084746,34.74463007159905
Texas,2020-06-11,"Title 10, Part 1, Chapter 29",texas single family neighborhood stabilization program rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000296,3,937,1,1,1,0,0,23.0,7.82,15.0,41.5755237045204
Texas,2020-06-11,"Title 10, Part 1, Chapter 5",section 8 housing choice voucher program,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000280,9,917,0,9,0,0,0,29.0,7.39,16.129032258064516,34.90610859728507
Texas,2020-06-11,"Title 10, Part 1, Chapter 6",community affairs programs,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000281,334,26026,124,139,17,1,53,29.0,10.07,24.829931972789115,38.42943684986648
Texas,2020-06-11,"Title 10, Part 1, Chapter 7",homelessness programs,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000282,260,24838,30,160,16,3,51,30.0,9.61,34.71882640586797,38.60000830978893
Texas,2020-06-11,"Title 10, Part 1, Chapter 8",project rental assistance program rule,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000283,91,7646,25,50,2,2,12,22.0,9.45,16.666666666666664,37.07450980392157
Texas,2020-06-11,"Title 10, Part 1, Chapter 80",manufactured housing,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000297,436,22557,167,151,13,2,103,31.0,9.91,34.82517482517483,34.58657243816254
Texas,2020-06-11,"Title 10, Part 1, Chapter 90",migrant labor housing facilities,texas department of housing and community affairs,community development,"Industry, Commerce, and Development",500000298,78,3936,50,12,2,1,13,29.0,8.97,35.294117647058826,33.30252996005326
Texas,2020-06-11,"Title 10, Part 5, Chapter 175",defense economic readjustment zones,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000299,71,6322,15,46,2,0,8,45.0,8.36,25.36231884057971,38.52966032829514
Texas,2020-06-11,"Title 10, Part 5, Chapter 176",enterprise zone program,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000300,55,5230,6,36,5,0,8,41.0,8.59,20.47244094488189,36.8118870145155
Texas,2020-06-11,"Title 10, Part 5, Chapter 177",product development and small business incubator fund,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000301,55,3202,33,12,2,0,8,28.0,8.67,16.8141592920354,33.416317316994515
Texas,2020-06-11,"Title 10, Part 5, Chapter 178",single unified projects,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000302,7,663,1,4,0,0,2,33.0,6.85,20.0,35.223255813953486
Texas,2020-06-11,"Title 10, Part 5, Chapter 180",industrial projects,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000303,61,4815,40,8,0,0,13,39.0,8.77,34.42622950819672,35.05244313395114
Texas,2020-06-11,"Title 10, Part 5, Chapter 181",texas leverage fund program,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000304,53,3871,33,12,0,0,8,33.0,8.47,7.6923076923076925,32.341806381828015
Texas,2020-06-11,"Title 10, Part 5, Chapter 184",sports and events trust fund,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000305,106,8165,38,37,2,1,28,44.0,8.55,28.80434782608696,36.140579155504525
Texas,2020-06-11,"Title 10, Part 5, Chapter 187",capital access program,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000306,55,4343,33,10,4,0,8,40.0,8.14,28.971962616822427,37.84484002886697
Texas,2020-06-11,"Title 10, Part 5, Chapter 188",fuel ethanol and biodiesel production incentive program,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000307,18,1011,16,1,0,0,1,30.0,7.6,14.705882352941178,38.11330561330561
Texas,2020-06-11,"Title 10, Part 5, Chapter 190",governor s university research initiative grant program,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000308,87,5552,31,28,9,0,19,28.0,8.66,18.181818181818183,36.4279926335175
Texas,2020-06-11,"Title 10, Part 5, Chapter 198",advertising rules,office of the governor economic development and tourism office,community development,"Industry, Commerce, and Development",500000309,2,500,2,0,0,0,0,28.0,7.07,16.666666666666664,45.21848739495798
Texas,2020-06-11,"Title 13, Part 1, Chapter 1",library development,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000310,142,9540,53,76,3,1,9,36.0,9.14,17.760617760617762,36.149182333963736
Texas,2020-06-11,"Title 13, Part 1, Chapter 2",general policies and procedures,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000311,178,16389,66,81,10,1,20,23.0,9.7,14.285714285714285,37.295470251931896
Texas,2020-06-11,"Title 13, Part 1, Chapter 3",state publications depository program,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000312,45,3412,5,27,0,0,13,32.0,8.45,21.69811320754717,41.08728943338438
Texas,2020-06-11,"Title 13, Part 1, Chapter 4",school library programs,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000313,0,153,0,0,0,0,0,30.0,5.96,0.0,44.34666666666666
Texas,2020-06-11,"Title 13, Part 1, Chapter 6",state records,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000314,197,10524,16,157,0,0,24,34.0,9.13,32.903225806451616,37.81885434369689
Texas,2020-06-11,"Title 13, Part 1, Chapter 7",local records,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000315,278,12989,55,184,5,2,32,30.0,9.47,31.566820276497698,38.09024627349319
Texas,2020-06-11,"Title 13, Part 1, Chapter 8",texshare library consortium,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000316,26,2565,16,7,1,0,2,29.0,8.37,10.344827586206897,41.70957230142566
Texas,2020-06-11,"Title 13, Part 1, Chapter 9",talking book program,texas state library and archives commission,cultural resources,"Culture, Recreation, and the Arts",500000317,30,3994,1,22,1,0,6,26.0,8.43,22.22222222222222,35.21925545571245
Texas,2020-06-11,"Title 13, Part 2, Chapter 11",administration department,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000318,141,8797,97,20,6,0,18,36.0,9.22,30.0,36.73154677950165
Texas,2020-06-11,"Title 13, Part 2, Chapter 12",texas historic courthouse preservation program,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000319,24,2686,5,13,2,0,4,28.0,8.31,13.541666666666666,38.93474903474903
Texas,2020-06-11,"Title 13, Part 2, Chapter 13",texas historic preservation tax credit program,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000320,92,8035,54,20,0,0,18,31.0,8.77,31.25,39.69913559540704
Texas,2020-06-11,"Title 13, Part 2, Chapter 14",texas historical artifacts acquisition program,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000321,4,710,1,3,0,0,0,26.0,7.32,11.11111111111111,40.54714285714286
Texas,2020-06-11,"Title 13, Part 2, Chapter 15",administration of federal programs,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000322,55,3434,44,7,1,0,3,23.0,8.66,8.108108108108109,40.62229771463866
Texas,2020-06-11,"Title 13, Part 2, Chapter 16",historic sites,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000323,115,7880,44,28,16,3,24,27.0,9.46,21.305841924398624,38.10794270833333
Texas,2020-06-11,"Title 13, Part 2, Chapter 17",state architectural programs,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000324,126,5375,93,17,3,0,13,24.0,9.04,12.727272727272728,41.47082228116711
Texas,2020-06-11,"Title 13, Part 2, Chapter 19",texas main street program,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000325,18,1463,15,2,1,0,0,20.0,7.02,2.7777777777777777,37.35949544498949
Texas,2020-06-11,"Title 13, Part 2, Chapter 20",awards,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000326,14,952,11,2,0,0,1,20.0,7.32,8.51063829787234,37.72934782608696
Texas,2020-06-11,"Title 13, Part 2, Chapter 21",history programs,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000327,115,5998,87,18,3,0,7,24.0,9.25,18.65079365079365,38.48253535525643
Texas,2020-06-11,"Title 13, Part 2, Chapter 22",cemeteries,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000328,38,3437,23,10,2,0,3,29.0,8.53,28.8135593220339,36.24421748272754
Texas,2020-06-11,"Title 13, Part 2, Chapter 23",publications,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000329,0,69,0,0,0,0,0,23.0,5.1,66.66666666666666,40.869565217391305
Texas,2020-06-11,"Title 13, Part 2, Chapter 24",restricted cultural resource information,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000330,22,2642,6,12,1,0,3,25.0,8.35,19.81132075471698,38.25583203732504
Texas,2020-06-11,"Title 13, Part 2, Chapter 25",state archeological program,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000331,17,3411,10,1,1,0,5,29.0,8.82,16.23931623931624,42.72168382798304
Texas,2020-06-11,"Title 13, Part 2, Chapter 26",practice and procedure,texas historical commission,cultural resources,"Culture, Recreation, and the Arts",500000332,307,30751,110,122,5,1,69,28.0,9.91,23.95644283121597,40.55706440339491
