jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Utah,2020-03-12,"Title 105, Rule 1",attorney general s selection of outside counsel expert witnesses and other litigation support services,administration,attorney general,"Security, Justice, and Corrections",11100002358,55,4076,45,1,6,0,3,31.0,8.3,27.906976744186046,36.426826029216464
Utah,2020-03-12,"Title 105, Rule 2",records access and management,administration,attorney general,"Security, Justice, and Corrections",11100002359,3,216,2,1,0,0,0,13.0,6.42,0.0,40.74193548387097
Utah,2020-03-12,"Title 105, Rule 3",white collar crime registry,administration,attorney general,"Security, Justice, and Corrections",11100002360,60,3462,48,0,1,2,9,28.0,8.09,22.31404958677686,34.95969230769231
Utah,2020-03-12,"Title 105, Rule 4",child protection registry,administration,attorney general,"Security, Justice, and Corrections",11100002361,13,1049,7,3,1,0,2,28.0,7.31,5.405405405405405,34.40397350993378
Utah,2020-03-12,"Title 123, Rule 3",state auditor adjudicative proceedings,administration,auditor,"Security, Justice, and Corrections",11100002362,9,588,7,0,0,1,1,12.0,7.23,8.333333333333332,34.08226691042047
Utah,2020-03-12,"Title 123, Rule 4",public petitions for declaratory orders,administration,auditor,"Security, Justice, and Corrections",11100002363,5,538,3,0,1,0,1,15.0,7.07,20.0,38.895178197064986
Utah,2020-03-12,"Title 123, Rule 5",requirements for accounting services of political subdivisions and governmental nonprofit corporations,administration,auditor,"Security, Justice, and Corrections",11100002364,17,848,11,2,0,0,4,16.0,7.52,3.92156862745098,40.9647355163728
Utah,2020-03-12,"Title 123, Rule 6",allocation of money in the property tax valuation agency fund,administration,auditor,"Security, Justice, and Corrections",11100002365,6,326,5,0,0,0,1,12.0,6.74,7.6923076923076925,34.652482269503544
Utah,2020-03-12,"Title 131, Rule 1",procurement of architectural and engineering services,administration,capitol preservation board,"Culture, Recreation, and the Arts",11100002366,52,2073,46,1,0,0,5,21.0,8.09,18.0,39.41886988076724
Utah,2020-03-12,"Title 131, Rule 10",commercial solicitations,administration,capitol preservation board,"Culture, Recreation, and the Arts",11100002373,11,564,6,1,0,4,0,21.0,7.16,7.4074074074074066,42.19186046511628
