jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Vermont,2022-04-08,"Agency 10, Chapter 1",rules for state matching funds under the federal public assistance program,general,agency of administration,Administration,17800000099,12,1359,7,3,0,0,2,24.0,7.95,5.555555555555555,36.6093623890234
Vermont,2022-04-08,"Agency 10, Chapter 2",general rule for executive branch administrative hearing officers,general,agency of administration,Administration,17800000100,36,2456,32,1,0,1,2,24.0,8.18,26.47058823529412,38.815262718932445
Vermont,2022-04-08,"Agency 10, Subagency 20, Chapter 1",regulations for reimbursement of personal expenses,finance management department,agency of administration,Taxes and Public Finance,17800000101,60,3720,12,37,0,0,11,21.0,8.93,25.0,36.04592673592127
Vermont,2022-04-08,"Agency 10, Subagency 40, Chapter 1",employment of the handicapped,personnel department,agency of administration,Administration,17800000102,2,167,0,0,1,0,1,42.0,6.06,75.0,39.84146341463415
Vermont,2022-04-08,"Agency 10, Subagency 40, Chapter 2",certification of names from a register,personnel department,agency of administration,Administration,17800000103,3,330,3,0,0,0,0,36.0,6.57,,38.63636363636363
Vermont,2022-04-08,"Agency 10, Subagency 40, Chapter 3",registers,personnel department,agency of administration,Administration,17800000104,7,612,6,1,0,0,0,44.0,7.02,38.46153846153847,37.01441441441442
Vermont,2022-04-08,"Agency 10, Subagency 50, Chapter 1",administrative rules of state building division,department of buildings and general services,agency of administration,Administration,17800000105,36,1562,30,1,0,0,5,31.0,7.74,52.0,31.40144546649146
Vermont,2022-04-08,"Agency 10, Subagency 50, Chapter 2",policies of state builidng division,department of buildings and general services,agency of administration,Administration,17800000106,69,2604,58,4,0,0,7,22.0,8.69,12.82051282051282,34.54251170046802
Vermont,2022-04-08,"Agency 10, Subagency 50, Chapter 3",rules governing state facilities under the jurisdiction of the department of buildings and general services,department of buildings and general services,agency of administration,Administration,17800000107,25,1583,11,2,0,9,3,20.0,8.08,10.38961038961039,40.03907284768212
Vermont,2022-04-08,"Agency 10, Subagency 50, Chapter 4",rules for indexing of land plats and plans,department of buildings and general services,agency of administration,Administration,17800000108,5,197,5,0,0,0,0,32.0,6.12,50.0,24.068421052631574
Vermont,2022-04-08,"Agency 10, Subagency 50, Chapter 5",general specifications of purchasing division,department of buildings and general services,agency of administration,Administration,17800000109,15,700,4,8,0,0,3,15.0,7.83,15.217391304347828,37.64150943396226
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 10",exemption for military pay for full time active duty with the armed services,department of taxes,agency of administration,Taxes and Public Finance,17800000117,5,269,4,0,0,0,1,20.0,6.67,0.0,34.3531746031746
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 11",extension of time for filing corporate returns,department of taxes,agency of administration,Taxes and Public Finance,17800000118,10,386,4,1,0,0,5,55.0,6.29,,31.63733333333333
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 12",extension of time for filing individual returns,department of taxes,agency of administration,Taxes and Public Finance,17800000119,7,356,3,1,0,0,3,71.0,6.08,,31.994318181818183
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 13",fee for failure to file a return,department of taxes,agency of administration,Taxes and Public Finance,17800000120,3,223,3,0,0,0,0,22.0,5.96,50.0,23.384615384615383
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 14",form of vermont corporate income tax return,department of taxes,agency of administration,Taxes and Public Finance,17800000121,1,213,0,1,0,0,0,26.0,5.87,0.0,32.121212121212125
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 16",vermont income tax of nonresident shareholders of small business,department of taxes,agency of administration,Taxes and Public Finance,17800000122,0,180,0,0,0,0,0,30.0,6.0,16.666666666666664,38.87134502923977
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 17",vermont income tax regulation,department of taxes,agency of administration,Taxes and Public Finance,17800000123,1,231,1,0,0,0,0,19.0,6.25,8.333333333333332,38.39108910891089
Vermont,2022-04-08,"Agency 10, Subagency 60, Chapter 18",income tax credit for renewable energy resources,department of taxes,agency of administration,Taxes and Public Finance,17800000124,23,1048,23,0,0,0,0,31.0,7.11,57.57575757575758,31.05989847715736
