jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 10",delegation of certain authority to the commissioner of the bureau of financial institutions,state corporation commission,finance and financial institutions,Administration,5100033533,8,1630,3,1,0,0,4,13.0,7.42,0.8403361344537815,31.585954645208485
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 110",credit counseling,state corporation commission,finance and financial institutions,Administration,5100033542,64,2932,53,1,0,1,9,18.0,8.23,14.634146341463412,34.65996275605214
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 120",money order sellers and money transmitters,state corporation commission,finance and financial institutions,Administration,5100033543,82,3683,65,1,0,1,15,20.0,8.28,16.022099447513813,36.40538922155689
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 130",virginia financial institution holding companies,state corporation commission,finance and financial institutions,Administration,5100033544,5,380,4,0,0,0,1,18.0,6.64,0.0,34.47335423197492
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 140",financial service center banks,state corporation commission,finance and financial institutions,Administration,5100033545,10,621,9,0,0,0,1,21.0,7.18,13.79310344827586,35.35831809872029
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 160",rules governing mortgage lenders and brokers,state corporation commission,finance and financial institutions,Administration,5100033546,120,6872,93,3,0,1,23,22.0,8.69,18.15286624203821,34.25651555836361
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 161",mortgage loan originators,state corporation commission,finance and financial institutions,Administration,5100033547,70,4062,54,0,0,0,16,21.0,8.32,19.270833333333336,36.78947368421053
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 180",equal credit opportunity,state corporation commission,finance and financial institutions,Administration,5100033548,0,64,0,0,0,0,0,9.0,5.31,0.0,40.86
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 190",common trust funds,state corporation commission,finance and financial institutions,Administration,5100033549,60,2967,47,6,4,2,1,24.0,8.15,23.96694214876033,31.370837714686296
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 20",banking and savings institutions,state corporation commission,finance and financial institutions,Administration,5100033534,28,1461,26,0,1,0,1,18.0,7.95,8.641975308641975,35.187797147385105
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 200",short term lending,state corporation commission,finance and financial institutions,Administration,5100033550,324,18017,258,13,1,11,41,23.0,8.84,26.282051282051285,30.4018392168496
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 210",motor vehicle title lending,state corporation commission,finance and financial institutions,Administration,5100033551,182,10486,134,10,0,15,23,24.0,8.58,21.809744779582367,31.129416474827345
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 22",trust company regulations,state corporation commission,finance and financial institutions,Administration,5100033535,47,2244,23,5,10,5,4,16.0,7.79,11.851851851851851,35.02122283981809
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 30",savings institution holding companies,state corporation commission,finance and financial institutions,Administration,5100033536,14,1780,11,1,0,0,2,20.0,7.44,17.441860465116278,38.65303593556381
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 40",credit unions,state corporation commission,finance and financial institutions,Administration,5100033537,48,4168,44,0,0,1,3,20.0,8.54,19.79695431472081,35.44840626688276
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 50",industrial loan associations,state corporation commission,finance and financial institutions,Administration,5100033538,8,460,8,0,0,0,0,17.0,7.35,7.4074074074074066,35.63636363636363
Virginia,2020-06-09,"Title 10, Agency 5, Chapter 60",consumer finance companies,state corporation commission,finance and financial institutions,Administration,5100033539,42,1904,37,1,0,0,4,19.0,7.98,6.0606060606060606,32.15380184331797
