jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Washington,2020-04-28,"Title 100, Chapter 100",centennial commission,1989 centennial commission,,"Culture, Recreation, and the Arts",1900000239,161,7926,136,23,0,0,2,22.0,9.04,14.285714285714285,39.36942500343077
Washington,2020-04-28,"Title 106, Chapter 116",parking and traffic regulations,central washington university,,College and University,1900000244,73,9182,39,22,2,4,6,16.0,7.61,4.3893129770992365,33.97489126136813
Washington,2020-04-28,"Title 106, Chapter 121",substance use and drug testing,central washington university,,College and University,1900000245,8,1179,3,2,0,2,1,20.0,8.12,11.864406779661016,39.33657587548638
Washington,2020-04-28,"Title 106, Chapter 122",loss of eligibility student athletic participation,central washington university,,College and University,1900000246,1,98,1,0,0,0,0,19.0,5.84,0.0,41.72368421052632
Washington,2020-04-28,"Title 106, Chapter 124",general conduct rights and responsibilities of university community members,central washington university,,College and University,1900000247,21,1190,14,1,0,6,0,21.0,7.53,9.090909090909092,37.15219976218787
Washington,2020-04-28,"Title 106, Chapter 125",student conduct code,central washington university,,College and University,1900000248,81,7111,61,6,2,7,5,22.0,8.58,7.975460122699387,39.0076726342711
Washington,2020-04-28,"Title 106, Chapter 140",use of facilities,central washington university,,College and University,1900000249,59,4546,40,3,3,7,6,19.0,7.84,8.695652173913043,41.508639648130696
Washington,2020-04-28,"Title 106, Chapter 141",use of campus facilities for expressive activity,central washington university,,College and University,1900000250,17,1885,3,11,0,2,1,18.0,7.98,7.766990291262135,41.77504393673111
Washington,2020-04-28,"Title 106, Chapter 156",housing and dining hall services,central washington university,,College and University,1900000251,18,1196,10,1,0,0,7,21.0,7.31,7.4074074074074066,33.10180995475113
Washington,2020-04-28,"Title 106, Chapter 168",library policies,central washington university,,College and University,1900000252,1,307,0,1,0,0,0,14.0,6.07,0.0,38.84472049689441
Washington,2020-04-28,"Title 106, Chapter 20",organization,central washington university,,College and University,1900000241,0,256,0,0,0,0,0,18.0,6.85,7.142857142857142,41.116402116402114
Washington,2020-04-28,"Title 106, Chapter 276",public records,central washington university,,College and University,1900000253,19,3707,4,5,3,0,7,17.0,7.86,8.653846153846153,36.09923130677848
Washington,2020-04-28,"Title 106, Chapter 325",state environmental policy act rule,central washington university,,College and University,1900000254,3,111,3,0,0,0,0,18.0,5.85,0.0,43.61176470588235
Washington,2020-04-28,"Title 106, Chapter 50",rules coordinator,central washington university,,College and University,1900000242,1,112,1,0,0,0,0,17.0,5.87,16.666666666666664,35.46875
Washington,2020-04-28,"Title 106, Chapter 72",equal opportunity affirmative action,central washington university,,College and University,1900000243,1,140,0,0,0,1,0,19.0,6.37,14.285714285714285,50.71794871794872
Washington,2020-04-28,"Title 106, Chapter 8",practice and procedure,central washington university,,College and University,1900000240,89,5173,82,1,0,0,6,25.0,8.17,17.96116504854369,33.95383127870438
Washington,2020-04-28,"Title 108, Chapter 10",introduction,charter school commission,,Primary and Secondary Education,1900000255,4,501,0,2,1,0,1,20.0,7.18,8.333333333333332,40.35491606714629
Washington,2020-04-28,"Title 108, Chapter 20",application,charter school commission,,Primary and Secondary Education,1900000256,26,3844,3,16,1,0,6,30.0,8.68,27.77777777777778,40.81606648199446
Washington,2020-04-28,"Title 108, Chapter 30",performance framework,charter school commission,,Primary and Secondary Education,1900000257,14,2014,6,6,0,0,2,20.0,8.05,19.19191919191919,45.7289817232376
Washington,2020-04-28,"Title 108, Chapter 40",charter school oversight and corrective action policy renewal and nonrenewal policy revocation policy and termination protocol,charter school commission,,Primary and Secondary Education,1900000258,43,6188,12,23,1,0,7,28.0,8.29,20.0,37.72254772254772
Washington,2020-04-28,"Title 108, Chapter 50",public records,charter school commission,,Primary and Secondary Education,1900000259,15,2510,11,3,0,1,0,21.0,8.05,23.52941176470588,35.65052356020942
Washington,2020-04-28,"Title 10, Chapter 12",compliance with state environmental policy act,office of administrative hearings,,Administration,1900000007,0,182,0,0,0,0,0,14.0,5.68,0.0,39.14
Washington,2020-04-28,"Title 10, Chapter 16",complaint procedures,office of administrative hearings,,Administration,1900000008,14,542,12,2,0,0,0,22.0,6.59,12.0,40.994140625
Washington,2020-04-28,"Title 10, Chapter 20",firearms and weapons in administrative hearings,office of administrative hearings,,Administration,1900000009,6,385,2,0,0,4,0,20.0,6.22,5.555555555555555,39.42950819672132
Washington,2020-04-28,"Title 10, Chapter 24",access to oah facilities and services,office of administrative hearings,,Administration,1900000010,10,1783,6,2,0,1,1,33.0,7.65,32.075471698113205,43.93383633197911
Washington,2020-04-28,"Title 10, Chapter 4",agency organization public records,office of administrative hearings,,Administration,1900000005,19,3319,0,12,1,2,4,17.0,7.49,9.72972972972973,33.41749246014649
Washington,2020-04-28,"Title 10, Chapter 8",model rules of procedure,office of administrative hearings,,Administration,1900000006,119,7884,107,5,2,0,5,22.0,8.42,21.66172106824926,35.864038491386
Washington,2020-04-28,"Title 110, Chapter 1",public disclosure,department of children youth and families,,Social Assistance,1900000260,14,3988,2,6,0,1,5,19.0,7.73,14.57286432160804,34.51928281461434
Washington,2020-04-28,"Title 110, Chapter 110",indian child welfare service,department of children youth and families,,Social Assistance,1900000273,15,2144,0,15,0,0,0,19.0,7.43,9.174311926605505,37.18018018018018
Washington,2020-04-28,"Title 110, Chapter 145",licensing requirements for group care facilities,department of children youth and families,,Social Assistance,1900000274,641,44045,6,554,14,3,64,24.0,8.45,20.489296636085623,33.21227486747226
Washington,2020-04-28,"Title 110, Chapter 147",licensing requirements for child placing agency and adoption services,department of children youth and families,,Social Assistance,1900000275,272,21044,2,227,2,1,40,25.0,8.26,18.904823989569756,34.10225005160669
Washington,2020-04-28,"Title 110, Chapter 148",licensing requirements for child foster homes,department of children youth and families,,Social Assistance,1900000276,300,21177,2,255,16,2,25,22.0,8.46,21.75925925925926,31.466829493695958
Washington,2020-04-28,"Title 110, Chapter 15",working connections and seasonal child care subsidy programs,department of children youth and families,,Social Assistance,1900000265,178,44920,6,114,5,0,53,22.0,8.56,17.29758149316509,32.79408665876465
Washington,2020-04-28,"Title 110, Chapter 150",standards for health and safety reviews of the washington state school for the deaf,department of children youth and families,,Social Assistance,1900000277,29,2255,0,24,0,0,5,21.0,7.59,8.737864077669903,38.49939320388349
Washington,2020-04-28,"Title 110, Chapter 16",license exempt care family friends and neighbors ffn in home relative child care providers,department of children youth and families,,Social Assistance,1900000266,64,4918,0,54,0,0,10,36.0,8.93,34.58646616541353,34.10177777777778
Washington,2020-04-28,"Title 110, Chapter 3",administrative hearings,department of children youth and families,,Social Assistance,1900000261,145,14688,0,121,4,0,20,24.0,8.6,29.91735537190083,30.580915791124355
Washington,2020-04-28,"Title 110, Chapter 30",child protective services,department of children youth and families,,Social Assistance,1900000267,74,8589,5,62,3,0,4,23.0,8.11,18.055555555555557,33.540050062578224
Washington,2020-04-28,"Title 110, Chapter 300",foundational quality standards for early learning programs,department of children youth and families,,Social Assistance,1900000278,888,52535,5,825,6,4,48,32.0,9.68,32.98653610771114,34.27687192275721
Washington,2020-04-28,"Title 110, Chapter 300D",outdoor preschool pilot project,department of children youth and families,,Social Assistance,1900000279,11,1331,4,7,0,0,0,28.0,7.49,17.391304347826086,37.39981701738335
Washington,2020-04-28,"Title 110, Chapter 305",licensed school age child care standards,department of children youth and families,,Social Assistance,1900000280,550,35355,3,451,8,7,81,23.0,9.0,20.444154147615937,34.57490961677512
Washington,2020-04-28,"Title 110, Chapter 4",background check requirements child welfare,department of children youth and families,,Social Assistance,1900000262,8,4105,0,5,1,0,2,21.0,7.81,16.48936170212766,37.071268775966765
Washington,2020-04-28,"Title 110, Chapter 40",family reconciliation services,department of children youth and families,,Social Assistance,1900000268,3,813,0,3,0,0,0,21.0,7.21,18.421052631578945,36.86184210526316
Washington,2020-04-28,"Title 110, Chapter 400",early support for infants and toddlers program,department of children youth and families,,Social Assistance,1900000281,21,2190,0,11,1,1,8,16.0,7.58,3.10077519379845,39.26242920075519
Washington,2020-04-28,"Title 110, Chapter 420",state funding of local head start programs,department of children youth and families,,Social Assistance,1900000282,9,1238,5,3,0,0,1,15.0,6.84,0.0,37.05120481927711
Washington,2020-04-28,"Title 110, Chapter 425",early childhood education and assistance program,department of children youth and families,,Social Assistance,1900000283,26,3998,2,22,1,0,1,20.0,8.1,7.894736842105263,38.15723941657773
