jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Wisconsin,2020-04-14,"Agency AB, Chapter 1",eligibility requirements,arts board,,"Culture, Recreation, and the Arts",5200002091,63,4923,59,0,0,0,4,11.0,8.42,5.8165548098434,36.861066605630576
Wisconsin,2020-04-14,"Agency AB, Chapter 2",arts challenge initiative grants,arts board,,"Culture, Recreation, and the Arts",5200002092,30,1455,27,0,1,0,2,10.0,7.48,2.877697841726619,36.08154859967051
Wisconsin,2020-04-14,"Agency AB, Chapter 3",regranting program,arts board,,"Culture, Recreation, and the Arts",5200002093,17,653,16,0,1,0,0,9.0,6.99,0.0,39.4141592920354
Wisconsin,2020-04-14,"Agency Accy, Chapter 1",rules of conduct,accounting examining board,,"Industry, Commerce, and Development",5200001906,48,7829,29,6,0,5,8,12.0,8.68,8.074534161490684,35.957637056581646
Wisconsin,2020-04-14,"Agency Accy, Chapter 2",individual certification and licensure,accounting examining board,,"Industry, Commerce, and Development",5200001907,70,6064,41,8,8,0,13,10.0,8.49,3.754266211604096,37.108145512060105
Wisconsin,2020-04-14,"Agency Accy, Chapter 3",endorsement,accounting examining board,,"Industry, Commerce, and Development",5200001908,9,1544,3,4,0,0,2,10.0,7.71,7.638888888888889,41.35978004713276
Wisconsin,2020-04-14,"Agency Accy, Chapter 4",enforcement,accounting examining board,,"Industry, Commerce, and Development",5200001909,3,639,1,0,0,0,2,16.0,7.62,5.0,38.64124783362218
Wisconsin,2020-04-14,"Agency Accy, Chapter 5",firm licensure,accounting examining board,,"Industry, Commerce, and Development",5200001910,12,1551,9,0,0,0,3,8.0,7.2,3.825136612021858,29.83074407195421
Wisconsin,2020-04-14,"Agency Accy, Chapter 6",peer review,accounting examining board,,"Industry, Commerce, and Development",5200001911,11,1578,7,0,0,0,4,13.0,7.84,5.88235294117647,38.84022424667134
Wisconsin,2020-04-14,"Agency Adm, Chapter 1",parking,department of administration,,Administration,5200001912,28,1674,20,1,2,4,1,9.0,7.59,8.47457627118644,34.10157367668097
Wisconsin,2020-04-14,"Agency Adm, Chapter 10",contractual services,department of administration,,Administration,5200001920,71,4350,60,2,2,0,7,13.0,8.64,7.418397626112759,36.946680338374776
Wisconsin,2020-04-14,"Agency Adm, Chapter 11",surplus state property,department of administration,,Administration,5200001921,9,781,8,0,0,0,1,9.0,7.18,8.641975308641975,35.25898203592814
Wisconsin,2020-04-14,"Agency Adm, Chapter 12",electronic records management standards and requirements,department of administration,,Administration,5200001922,3,1044,2,0,0,0,1,12.0,7.65,6.8181818181818175,41.06263498920087
Wisconsin,2020-04-14,"Agency Adm, Chapter 2",use of state buildings and facilities,department of administration,,Administration,5200001913,78,6963,68,3,2,5,0,16.0,9.05,14.545454545454543,35.56822400990099
Wisconsin,2020-04-14,"Agency Adm, Chapter 20",selecting and contracting architect engineer services,department of administration,,Administration,5200001923,56,3722,50,1,0,0,5,15.0,8.17,9.053497942386832,41.28004736530492
Wisconsin,2020-04-14,"Agency Adm, Chapter 21",advertising bidding and award of construction contracts,department of administration,,Administration,5200001924,46,3572,38,1,0,0,7,13.0,8.37,10.909090909090908,34.1809375
Wisconsin,2020-04-14,"Agency Adm, Chapter 24",debarment suspension and ineligibility of department of administration contractors,department of administration,,Administration,5200001925,61,4158,54,0,6,0,1,16.0,8.26,15.530303030303031,38.97383130081301
Wisconsin,2020-04-14,"Agency Adm, Chapter 3",population determination,department of administration,,Administration,5200001914,11,723,11,0,0,0,0,9.0,6.85,2.5974025974025974,42.610820244328096
Wisconsin,2020-04-14,"Agency Adm, Chapter 30",payroll deductions for charitable purposes,department of administration,,Administration,5200001926,58,2387,37,13,0,1,7,10.0,7.86,4.932735426008969,42.03367003367004
Wisconsin,2020-04-14,"Agency Adm, Chapter 35",clean water fund,department of administration,,Administration,5200001927,19,2098,14,0,3,0,2,15.0,7.99,12.781954887218044,36.858500527983104
Wisconsin,2020-04-14,"Agency Adm, Chapter 40",energy information,department of administration,,Administration,5200001928,3,538,3,0,0,0,0,10.0,7.14,5.660377358490567,37.19956616052061
Wisconsin,2020-04-14,"Agency Adm, Chapter 42",nuclear power plants,department of administration,,Administration,5200001929,2,259,2,0,0,0,0,10.0,6.53,0.0,29.97959183673469
