jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Wyoming,2020-06-05,"Agency 10, Program 10, Chapter 15",regulations governing the rangeland health assessment program,rangeland health assessment program,dept of agriculture,"Industry, Commerce, and Development",4100000140,26,2007,16,7,0,0,3,20.0,8.57,8.080808080808081,41.1432911392405
Wyoming,2020-06-05,"Agency 10, Program 11, Chapter 1",operation for wyoming lean beef program,lean beef committee,dept of agriculture,"Industry, Commerce, and Development",4100000131,29,1201,28,0,0,0,1,20.0,8.13,15.517241379310343,34.26979982593559
Wyoming,2020-06-05,"Agency 10, Program 11, Chapter 2",premium beef program,lean beef committee,dept of agriculture,"Industry, Commerce, and Development",4100000132,21,1107,20,0,0,0,1,20.0,7.98,14.814814814814811,33.817061611374406
Wyoming,2020-06-05,"Agency 10, Program 12, Chapter 1",wyoming bean commission regulations,wyoming bean commission,dept of agriculture,"Industry, Commerce, and Development",4100000141,31,1012,30,0,0,0,1,18.0,7.59,11.11111111111111,33.68574401664932
Wyoming,2020-06-05,"Agency 10, Program 12, Chapter 2",uniform procedures fees costs and charges for inspecting copying and producing public records,wyoming bean commission,dept of agriculture,"Industry, Commerce, and Development",4100000142,19,1252,13,2,1,0,3,17.0,7.72,18.30985915492958,37.22859589041096
Wyoming,2020-06-05,"Agency 10, Program 13, Chapter 56",10 13 56,dept of agriculture,agriculture dept of,"Industry, Commerce, and Development",4100000130,29,1718,25,2,0,0,2,25.0,7.92,30.88235294117647,33.02246508803886
Wyoming,2020-06-05,"Agency 10, Program 14, Chapter 1",beef council,beef council,dept of agriculture,"Industry, Commerce, and Development",4100000092,38,2458,34,2,1,0,1,19.0,8.45,13.953488372093023,35.34346378018318
Wyoming,2020-06-05,"Agency 10, Program 14, Chapter 2",uniform procedures fees costs and charges for inspecting copying and producing public records,beef council,dept of agriculture,"Industry, Commerce, and Development",4100000093,19,1251,13,2,1,0,3,16.0,7.72,17.333333333333336,37.087403598971726
Wyoming,2020-06-05,"Agency 10, Program 2, Chapter 1",wyoming conservation districts financial policies,conservation districts financial policies,dept of agriculture,"Industry, Commerce, and Development",4100000094,16,855,10,4,0,0,2,15.0,7.74,1.851851851851852,37.47799511002445
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 1",purpose variances definitions demonstration of knowledge and health status,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000095,71,14792,45,8,1,2,15,36.0,9.99,23.0,35.42207656369849
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 10",hazard analysis and critical control points haccp,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000104,11,600,5,0,0,0,6,35.0,7.28,17.647058823529413,36.83802816901409
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 11",bottled water requirements,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000105,20,714,19,0,0,0,1,22.0,7.45,12.5,35.524517087667164
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 12",bulk water requirements,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000106,58,1926,41,14,0,0,3,26.0,8.35,26.02739726027397,31.228464419475657
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 13",food salvage,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000107,32,1194,24,5,0,0,3,26.0,8.21,30.434782608695656,35.74679213002566
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 14",incorporation by reference of federal codes standards rules and regulations,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000108,2,1777,0,0,0,2,0,13.0,8.32,0.7874015748031495,43.76109215017065
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 15",egg grading requirements,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000109,93,4462,58,25,5,0,5,22.0,8.91,21.31979695431472,28.899810964083176
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 2",requirements for plan submission license application and issuance inspection,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000096,97,5519,79,3,0,0,15,33.0,8.62,31.09756097560976,38.23818489926568
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 3",food care,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000097,193,12800,149,6,27,4,7,36.0,9.3,40.80459770114943,32.69424066110128
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 4",labeling,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000098,66,2849,47,6,1,3,9,29.0,8.79,20.40816326530612,33.727962427745666
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 5",personal hygiene,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000099,22,1482,15,0,6,0,1,32.0,7.89,51.11111111111111,32.688559322033896
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 6",equipment and utensils,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000100,89,4115,71,0,17,0,1,21.0,8.96,17.616580310880828,34.42772936955407
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 7",cleaning sanitization and storage of equipment and utensils,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000101,102,5131,87,1,10,0,4,27.0,8.63,30.851063829787236,36.230705906565134
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 8",sanitary facilities and controls,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000102,134,5187,116,0,11,0,7,17.0,8.85,18.30065359477124,35.41106639839034
Wyoming,2020-06-05,"Agency 10, Program 3, Chapter 9",construction and maintenance of physical facilities,food safety wyoming,dept of agriculture,"Industry, Commerce, and Development",4100000103,86,4248,70,0,12,0,4,19.0,8.87,22.22222222222222,35.45876288659794
Wyoming,2020-06-05,"Agency 10, Program 5, Chapter 14",predatory animal control regulations,general agency board or commission rules,dept of agriculture,"Industry, Commerce, and Development",4100000110,20,1244,12,4,0,1,3,13.0,7.94,5.434782608695652,34.71922428330523
Wyoming,2020-06-05,"Agency 10, Program 5, Chapter 16",nursery stock,general agency board or commission rules,dept of agriculture,"Industry, Commerce, and Development",4100000111,7,284,2,1,0,0,4,10.0,6.87,0.0,36.630522088353416
